date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,1,0,0
2020-03-21,0,1,0,0
2020-03-22,0,2,0,0
2020-03-23,0,3,0,0
2020-03-24,0,3,0,0
2020-03-25,0,7,0,1
2020-03-26,0,10,0,1
2020-03-27,0,10,0,1
2020-03-28,0,10,0,1
2020-03-29,0,18,0,1
2020-03-30,0,27,0,3
2020-03-31,0,27,0,3
2020-04-01,0,74,0,5
2020-04-02,0,98,0,5
2020-04-03,0,120,0,5
2020-04-04,0,144,0,8
2020-04-05,0,184,13,10
2020-04-06,0,253,26,10
2020-04-07,0,278,26,11
2020-04-08,0,342,28,11
2020-04-09,0,410,40,11
2020-04-10,0,438,41,11
2020-04-11,0,491,41,11
2020-04-12,0,529,75,12
2020-04-13,0,529,75,12
2020-04-14,0,570,90,14
2020-04-15,0,584,90,14
2020-04-16,0,584,90,14
2020-04-17,0,627,110,18
2020-04-18,0,639,113,19
2020-04-19,0,648,117,20
2020-04-20,0,648,117,20
2020-04-21,0,657,127,20
2020-04-22,0,662,193,22
2020-04-23,0,671,256,24
2020-04-24,0,681,289,24
2020-04-25,0,684,325,27
2020-04-26,0,696,350,29
2020-04-27,0,701,385,29
2020-04-28,0,709,403,31
2020-04-29,0,713,435,32
2020-04-30,0,719,452,32
2020-05-01,0,728,478,33
2020-05-02,0,736,507,35
2020-05-03,0,750,518,36
2020-05-04,0,755,534,37
2020-05-05,0,763,543,38
2020-05-06,0,770,561,38
2020-05-07,0,781,586,42
2020-05-08,0,795,600,44
2020-05-09,0,815,617,45
2020-05-10,0,821,624,46
2020-05-11,0,832,637,46
2020-05-12,0,854,648,47
2020-05-13,0,860,658,49
2020-05-14,0,876,677,50
2020-05-15,0,885,684,51
2020-05-16,0,889,689,51
2020-05-17,0,904,698,54
2020-05-18,0,909,714,55
2020-05-19,0,914,734,55
2020-05-20,0,920,738,58
2020-05-21,0,924,753,60
2020-05-22,0,937,764,60
2020-05-23,0,943,775,61
2020-05-24,0,945,783,61
2020-05-25,0,951,786,62
2020-05-26,0,952,796,63
2020-05-27,0,952,796,63
2020-05-28,0,955,803,64
2020-05-29,0,955,813,64
2020-05-30,0,956,818,64
2020-05-31,0,958,839,64
2020-06-01,0,958,844,65
2020-06-02,0,960,848,65
2020-06-03,0,961,857,65
2020-06-04,0,963,860,65
2020-06-05,0,966,863,65
2020-06-06,0,970,867,65
2020-06-07,0,973,867,65
2020-06-08,0,973,869,65
2020-06-09,0,974,871,65
2020-06-10,0,974,876,65
2020-06-11,0,974,878,65
2020-06-12,0,978,881,65
2020-06-13,0,980,881,66
2020-06-14,0,980,885,66
2020-06-15,0,980,885,66
2020-06-16,0,1016,885,66
2020-06-17,0,1020,893,67
2020-06-18,0,1020,901,67
2020-06-19,0,1020,901,67
2020-06-20,0,1035,911,67
2020-06-21,0,1036,911,67
2020-06-22,0,1046,913,67
2020-06-23,0,1051,913,67
2020-06-24,0,1051,913,67
2020-06-25,0,1056,917,67
2020-06-26,0,1059,919,67
2020-06-27,0,1062,924,67
2020-06-28,0,1074,939,67
2020-06-29,0,1075,939,67
2020-06-30,0,1075,943,67
2020-07-01,0,1075,943,67
2020-07-02,0,1081,959,68
2020-07-03,0,1082,963,68
2020-07-04,0,1082,963,68
2020-07-05,0,1088,965,68
2020-07-06,0,1093,968,68
2020-07-07,0,1094,974,68
2020-07-08,0,1097,976,68
2020-07-09,0,1097,976,68
2020-07-10,0,1099,978,68
2020-07-11,0,1099,992,68
2020-07-12,0,1099,992,68
2020-07-13,0,1099,992,68
2020-07-14,0,1099,992,68
2020-07-15,0,1100,993,69
2020-07-16,0,1102,993,69
2020-07-17,0,1102,1013,69
2020-07-18,0,1104,1014,69
2020-07-19,0,1104,1014,69
2020-07-20,0,1105,1014,69
2020-07-21,0,1113,1018,69
2020-07-22,0,1122,1018,69
2020-07-23,0,1124,1022,69
2020-07-24,0,1124,1024,69
2020-07-25,0,1124,1025,69
2020-07-26,0,1136,1027,69
2020-07-27,0,1132,1027,69
2020-07-28,0,1132,1027,69
2020-07-29,0,1132,1027,69
2020-07-30,0,1134,1028,69
2020-07-31,0,1134,1028,69
2020-08-01,0,1136,1028,69
2020-08-02,0,1147,1032,69
2020-08-03,0,1152,1032,69
2020-08-04,0,1152,1037,69
2020-08-05,0,1152,1057,69
2020-08-06,0,1153,1057,69
2020-08-07,0,1153,1057,69
2020-08-08,0,1157,1057,69
2020-08-09,0,1158,1057,69
2020-08-10,0,1158,1062,69
2020-08-11,0,1158,1065,69
2020-08-12,0,1161,1075,69
2020-08-13,0,1161,1075,69
2020-08-14,0,1161,1075,69
2020-08-15,0,1165,1077,69
2020-08-16,0,1167,1078,69
2020-08-17,0,1167,1078,69
2020-08-18,0,1167,1079,69
2020-08-19,0,1167,1079,69
2020-08-20,0,1169,1082,69
2020-08-21,0,1172,1083,69
2020-08-22,0,1172,1083,69
2020-08-23,0,1172,1083,69
2020-08-24,0,1172,1084,69
2020-08-25,0,1173,1084,69
2020-08-26,0,1173,1084,69
2020-08-27,0,1173,1084,69
2020-08-28,0,1175,1085,69
2020-08-29,0,1175,1085,69
2020-08-30,0,1175,1085,69
2020-08-31,0,1176,1088,69
2020-09-01,0,1176,1088,69
2020-09-02,0,1176,1088,69
2020-09-03,0,1177,1091,69
2020-09-04,0,1177,1091,69
2020-09-05,0,1177,1091,69
2020-09-06,0,1177,1091,69
2020-09-07,0,1177,1091,69
2020-09-08,0,1178,1099,69
2020-09-09,0,1178,1099,69
2020-09-10,0,1178,1099,69
2020-09-11,0,1178,1100,69
2020-09-12,0,1178,1100,69
2020-09-13,0,1180,1104,69
2020-09-14,0,1180,1104,69
2020-09-15,0,1182,1104,69
2020-09-16,0,1182,1104,69
2020-09-17,0,1183,1104,69
2020-09-18,0,1183,1104,69
2020-09-19,0,1183,1104,69
2020-09-20,0,1188,1104,69
2020-09-21,0,1189,1104,69
2020-09-22,0,1193,1104,69
2020-09-23,0,1193,1107,69
2020-09-24,0,1194,1107,69
2020-09-25,0,1194,1107,69
2020-09-26,0,1194,1107,69
2020-09-27,0,1196,1107,69
2020-09-28,0,1196,1110,69
2020-09-29,0,1196,1110,69
2020-09-30,0,1197,1114,69
2020-10-01,0,1197,1114,69
2020-10-02,0,1198,1115,69
2020-10-03,0,1200,1115,69
2020-10-04,0,1200,1115,69
2020-10-05,0,1200,1115,69
2020-10-06,0,1200,1115,69
2020-10-07,0,1200,1115,69
