date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,1,0,0
2020-03-10,0,1,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,0,0
2020-03-13,0,1,1,0
2020-03-14,0,1,1,0
2020-03-15,0,8,1,0
2020-03-16,0,17,1,0
2020-03-17,0,34,1,0
2020-03-18,0,52,1,0
2020-03-19,0,69,1,0
2020-03-20,0,85,1,0
2020-03-21,0,85,1,0
2020-03-22,0,112,1,0
2020-03-23,0,127,1,0
2020-03-24,0,154,1,0
2020-03-25,0,172,1,0
2020-03-26,0,212,1,0
2020-03-27,0,235,18,1
2020-03-28,0,246,18,1
2020-03-29,0,259,18,3
2020-03-30,0,268,26,5
2020-03-31,0,274,30,5
2020-04-01,0,278,36,5
2020-04-02,0,299,45,5
2020-04-03,0,310,58,5
2020-04-04,0,323,74,5
2020-04-05,0,345,110,5
2020-04-06,0,349,126,6
2020-04-07,0,353,138,6
2020-04-08,0,358,150,6
2020-04-09,0,372,161,7
2020-04-10,0,372,170,7
2020-04-11,0,381,177,7
2020-04-12,0,389,201,7
2020-04-13,0,391,215,7
2020-04-14,0,397,235,7
2020-04-15,0,401,250,7
2020-04-16,0,402,259,7
2020-04-17,0,407,265,7
2020-04-18,0,413,269,7
2020-04-19,0,417,276,7
2020-04-20,0,425,282,7
2020-04-21,0,428,297,7
2020-04-22,0,435,315,7
2020-04-23,0,437,318,7
2020-04-24,0,441,326,7
2020-04-25,0,444,332,7
2020-04-26,0,447,337,7
2020-04-27,0,449,342,7
2020-04-28,0,449,348,8
2020-04-29,0,451,356,8
2020-04-30,0,453,362,8
2020-05-01,78885,459,364,8
2020-05-02,78885,460,367,9
2020-05-03,78885,461,367,9
2020-05-04,78885,465,370,9
2020-05-05,78885,471,375,9
2020-05-06,78885,473,377,9
2020-05-07,78885,494,381,9
2020-05-08,78885,508,385,9
2020-05-09,78885,522,387,9
2020-05-10,78885,540,389,9
2020-05-11,78885,562,390,9
2020-05-12,78885,576,390,9
2020-05-13,78885,582,392,9
2020-05-14,78885,586,393,9
2020-05-15,78885,596,401,9
2020-05-16,78885,607,404,9
2020-05-17,78885,613,408,9
2020-05-18,78885,629,413,9
2020-05-19,78885,649,417,9
2020-05-20,78885,672,446,9
2020-05-21,78885,684,457,9
2020-05-22,78885,700,461,9
2020-05-23,78885,704,470,9
2020-05-24,78885,708,471,9
2020-05-25,78885,711,479,9
2020-05-26,78885,718,586,9
2020-05-27,78885,720,586,9
2020-05-28,78885,728,497,9
2020-05-29,78885,730,507,9
2020-05-30,78885,734,507,9
2020-05-31,78885,739,522,9
2020-06-01,78885,746,535,9
2020-06-02,78885,755,549,9
2020-06-03,78885,757,561,9
2020-06-04,78885,765,566,9
2020-06-05,78885,784,571,9
2020-06-06,78885,795,586,9
2020-06-07,78885,808,607,9
2020-06-08,78885,831,627,9
2020-06-09,78885,845,657,9
2020-06-10,78885,863,663,9
2020-06-11,78885,890,670,9
2020-06-12,78885,915,671,9
2020-06-13,78885,953,678,9
2020-06-14,78885,961,682,9
2020-06-15,78885,979,692,9
2020-06-16,78885,981,693,9
2020-06-17,78885,987,693,9
2020-06-18,78885,1001,697,9
2020-06-19,78885,1008,708,9
2020-06-20,78885,1015,722,9
2020-06-21,78885,1033,739,9
2020-06-22,78885,1042,751,9
2020-06-23,78885,1047,772,9
2020-06-24,78885,1071,782,9
2020-06-25,78885,1086,797,9
2020-06-26,78885,1104,830,9
2020-06-27,78885,1111,841,9
2020-06-28,78885,1121,860,9
2020-06-29,78885,1128,867,9
2020-06-30,78885,1132,882,9
2020-07-01,78885,1133,886,9
2020-07-02,78885,1136,889,9
2020-07-03,78885,1147,897,10
2020-07-04,78885,1150,902,10
2020-07-05,78885,1164,942,10
2020-07-06,78885,1167,957,10
2020-07-07,78885,1169,969,10
2020-07-08,78885,1169,977,10
2020-07-09,78885,1169,982,10
2020-07-10,78885,1173,986,10
2020-07-11,78885,1176,991,10
2020-07-12,78885,1179,997,10
2020-07-13,78885,1183,1008,10
2020-07-14,78885,1198,1013,10
2020-07-15,78885,1201,1016,10
2020-07-16,78885,1206,1019,10
2020-07-17,78885,1209,1021,10
2020-07-18,78885,1214,1022,11
2020-07-19,78885,1218,1024,11
2020-07-20,78885,1223,1028,11
2020-07-21,78885,1113,1034,11
2020-07-22,78885,1120,1035,11
2020-07-23,78885,1131,1035,11
2020-07-24,78885,1146,1035,11
2020-07-25,78885,1154,1036,11
2020-07-26,78885,1168,1041,11
2020-07-27,78885,1176,1041,11
2020-07-28,78885,1182,1042,11
2020-07-29,78885,1187,1049,11
2020-07-30,78885,1191,1072,11
2020-07-31,78885,1193,1084,11
2020-08-01,78885,1208,1094,11
2020-08-02,78885,1213,1099,11
2020-08-03,78885,1218,1131,11
2020-08-04,78885,1224,1155,11
2020-08-05,78885,1231,1160,11
2020-08-06,78885,1232,1171,11
2020-08-07,78885,1237,1178,11
2020-08-08,78885,1246,1178,11
2020-08-09,78885,1252,1187,11
2020-08-10,78885,1268,1187,11
2020-08-11,78885,1283,1189,11
2020-08-12,78885,1303,1215,11
2020-08-13,78885,1320,1222,11
2020-08-14,78885,1329,1229,11
2020-08-15,78885,1339,1229,11
2020-08-16,78885,1378,1236,11
2020-08-17,78885,1398,1241,11
2020-08-18,78885,1438,1243,11
2020-08-19,78885,1482,1259,11
2020-08-20,78885,1498,1261,11
2020-08-21,78885,1532,1262,11
2020-08-22,78885,1576,1268,11
2020-08-23,78885,1609,1320,12
2020-08-24,78885,1639,1335,14
2020-08-25,78885,1716,1344,14
2020-08-26,78885,1756,1355,15
2020-08-27,78885,1801,1364,15
2020-08-28,78885,1869,1367,15
2020-08-29,78885,1893,1447,15
2020-08-30,78885,1966,1468,15
2020-08-31,78885,2034,1508,15
2020-09-01,78885,2097,1564,15
2020-09-02,78885,2161,1610,15
2020-09-03,78885,2233,1648,15
2020-09-04,78885,2301,1676,16
2020-09-05,78885,2353,1700,16
2020-09-06,78885,2411,1756,16
2020-09-07,78885,2478,1817,17
2020-09-08,78885,2581,1885,19
2020-09-09,78885,2659,1919,19
2020-09-10,78885,2739,1981,20
2020-09-11,78885,2945,2084,21
2020-09-12,78885,3062,2156,22
2020-09-13,78885,3314,2206,24
2020-09-14,78885,3528,2255,26
2020-09-15,78885,3677,2311,26
2020-09-16,78885,3852,2349,26
2020-09-17,78885,4131,2415,26
2020-09-18,78885,4344,2511,29
2020-09-19,78885,4540,2672,30
2020-09-20,78885,4779,2844,30
2020-09-21,78885,5045,3527,32
2020-09-22,78885,5679,3707,33
2020-09-23,78885,6042,3812,35
2020-09-24,78885,6591,3937,36
2020-09-25,78885,7211,4035,39
2020-09-26,78885,8061,4131,43
2020-09-27,78885,8492,4222,45
2020-09-28,78885,9226,4359,51
2020-09-29,78885,10049,4496,57
2020-09-30,78885,11825,4626,61
2020-10-01,78885,13101,4752,69
2020-10-02,78885,13650,4929,79
2020-10-03,78885,14749,5101,88
2020-10-04,78885,15640,5240,101
2020-10-05,78885,17464,5292,110
2020-10-06,78885,19001,5386,122
2020-10-07,78885,19001,5386,122
