date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,1,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,1,0,0
2020-03-19,0,1,0,0
2020-03-20,0,1,0,0
2020-03-21,0,2,0,0
2020-03-22,0,2,0,0
2020-03-23,0,4,0,0
2020-03-24,0,4,0,0
2020-03-25,0,4,0,0
2020-03-26,0,4,0,0
2020-03-27,0,8,0,0
2020-03-28,0,8,0,0
2020-03-29,0,16,0,0
2020-03-30,0,22,0,0
2020-03-31,0,22,0,0
2020-04-01,0,30,0,0
2020-04-02,0,52,0,0
2020-04-03,0,73,2,0
2020-04-04,0,111,5,0
2020-04-05,0,121,5,0
2020-04-06,0,128,5,0
2020-04-07,0,144,5,0
2020-04-08,0,164,5,0
2020-04-09,0,194,11,0
2020-04-10,0,212,15,0
2020-04-11,0,250,17,0
2020-04-12,0,250,17,0
2020-04-13,0,319,17,0
2020-04-14,0,363,31,0
2020-04-15,0,404,31,1
2020-04-16,0,438,49,1
2020-04-17,0,477,59,3
2020-04-18,0,518,65,3
2020-04-19,0,579,87,5
2020-04-20,0,622,122,5
2020-04-21,0,688,127,6
2020-04-22,0,761,164,6
2020-04-23,0,862,170,6
2020-04-24,0,954,191,6
2020-04-25,0,996,208,7
2020-04-26,0,996,208,7
2020-04-27,0,1163,246,7
2020-04-28,0,1240,269,7
2020-04-29,0,1351,313,7
2020-04-30,0,1495,329,7
2020-05-01,0,1537,342,7
2020-05-02,0,1586,405,7
2020-05-03,0,1586,405,7
2020-05-04,0,1710,450,9
2020-05-05,0,1811,498,10
2020-05-06,0,1856,597,11
2020-05-07,0,1927,629,11
2020-05-08,0,2009,663,11
2020-05-09,0,2042,698,11
2020-05-10,0,2146,714,11
2020-05-11,0,2146,714,11
2020-05-12,0,2298,816,11
2020-05-13,0,2374,856,14
2020-05-14,0,2473,895,15
2020-05-15,0,2473,895,15
2020-05-16,0,2658,1133,16
2020-05-17,0,2658,1133,16
2020-05-18,0,2796,1263,16
2020-05-19,0,2863,1525,18
2020-05-20,0,2863,1525,18
2020-05-21,0,3067,1575,18
2020-05-22,0,3067,1575,19
2020-05-23,0,3176,1631,20
2020-05-24,0,3275,1673,20
2020-05-25,0,3275,1673,20
2020-05-26,0,3275,1673,20
2020-05-27,0,3275,1673,20
2020-05-28,0,3553,1950,22
2020-05-29,0,3656,2000,22
2020-05-30,0,3706,2030,23
2020-05-31,0,3706,2030,23
2020-06-01,0,3844,2135,23
2020-06-02,0,3886,2267,23
2020-06-03,0,3933,2332,23
2020-06-04,0,3991,2512,23
2020-06-05,0,4060,2667,23
2020-06-06,0,4117,2857,23
2020-06-07,0,4117,2877,23
2020-06-08,0,4216,2918,23
2020-06-09,0,4258,2942,23
2020-06-10,0,4258,2942,23
2020-06-11,0,4372,3033,23
2020-06-12,0,4426,3106,24
2020-06-13,0,4484,3213,25
2020-06-14,0,4532,3234,25
2020-06-15,0,4572,3259,26
2020-06-16,0,4639,3327,26
2020-06-17,0,4668,3364,26
2020-06-18,0,4841,3467,26
2020-06-19,0,4904,3522,27
2020-06-20,0,4960,3630,27
2020-06-21,0,4988,3669,27
2020-06-22,0,4988,3669,27
2020-06-23,0,5040,3685,28
2020-06-24,0,5174,3861,29
2020-06-25,0,5174,3861,29
2020-06-26,0,5260,4155,29
2020-06-27,0,5291,4215,30
2020-06-28,0,5342,4282,31
2020-06-29,0,5351,4296,31
2020-06-30,0,5391,4326,33
2020-07-01,0,5404,4346,33
2020-07-02,0,5450,4392,33
2020-07-03,0,5521,4446,33
2020-07-04,0,5570,4496,34
2020-07-05,0,5610,4522,34
2020-07-06,0,5610,4522,34
2020-07-07,0,5636,4542,34
2020-07-08,0,5697,4577,34
2020-07-09,0,5881,4672,36
2020-07-10,0,5969,4732,37
2020-07-11,0,6044,4802,37
2020-07-12,0,6141,4862,37
2020-07-13,0,6141,4862,37
2020-07-14,0,6200,4951,38
2020-07-15,0,6276,4981,38
2020-07-16,0,6359,5012,39
2020-07-17,0,6430,5233,39
2020-07-18,0,6491,5257,39
2020-07-19,0,6544,5511,39
2020-07-20,0,6590,5591,40
2020-07-21,0,6652,5771,41
2020-07-22,0,6747,5891,41
2020-07-23,0,6806,5999,42
2020-07-24,0,6867,6063,42
2020-07-25,0,6927,6098,42
2020-07-26,0,7008,6152,43
2020-07-27,0,7055,6257,45
2020-07-28,0,7126,6312,46
2020-07-29,0,7183,6404,46
2020-07-30,0,7242,6438,46
2020-07-31,0,7308,6458,46
2020-08-01,0,7308,6458,46
2020-08-02,0,7317,6480,46
2020-08-03,0,7364,6505,46
2020-08-04,0,7489,6591,48
2020-08-05,0,7575,6632,49
2020-08-06,0,7664,6757,49
2020-08-07,0,7777,6800,50
2020-08-08,0,7875,6828,50
2020-08-09,0,7930,6898,50
2020-08-10,0,7930,6898,50
2020-08-11,0,8018,7020,50
2020-08-12,0,8116,7060,50
2020-08-13,0,8198,7120,50
2020-08-14,0,8260,7177,50
2020-08-15,0,8343,7210,50
2020-08-16,0,8482,7364,51
2020-08-17,0,8620,7472,51
2020-08-18,0,8715,7532,52
2020-08-19,0,8792,7574,53
2020-08-20,0,8876,7628,53
2020-08-21,0,8932,7648,53
2020-08-22,0,8932,7648,53
2020-08-23,0,8967,7708,53
2020-08-24,0,9076,7928,55
2020-08-25,0,9128,8040,57
2020-08-26,0,9167,8150,57
2020-08-27,0,9213,8180,58
2020-08-28,0,9251,8282,59
2020-08-29,0,9251,8282,59
2020-08-30,0,9371,8387,59
2020-08-31,0,9409,8447,59
2020-09-01,0,9479,8527,59
2020-09-02,0,9479,8527,59
2020-09-03,0,9579,8726,61
2020-09-04,0,9649,8832,61
2020-09-05,0,9649,8832,61
2020-09-06,0,9798,8928,61
2020-09-07,0,9816,8956,62
2020-09-08,0,9848,9009,63
2020-09-09,0,9885,9068,63
2020-09-10,0,9946,9100,63
2020-09-11,0,9979,9189,63
2020-09-12,0,10020,9251,63
2020-09-13,0,10045,9292,63
2020-09-14,0,10061,9352,63
2020-09-15,0,10111,9444,63
2020-09-16,0,10154,9612,63
2020-09-17,0,10154,9612,63
2020-09-18,0,10231,9660,63
2020-09-19,0,10286,9681,63
2020-09-20,0,10325,9692,64
2020-09-21,0,10344,9757,65
2020-09-22,0,10387,9780,65
2020-09-23,0,10434,9801,65
2020-09-24,0,10434,9801,65
2020-09-25,0,10478,9816,65
2020-09-26,0,10512,9836,65
2020-09-27,0,10580,9892,66
2020-09-28,0,10598,9940,66
2020-09-29,0,10634,9960,66
2020-09-30,0,10652,9996,66
2020-10-01,0,10652,9996,66
2020-10-02,0,10735,10066,66
2020-10-03,0,10735,10066,66
2020-10-04,0,10754,10098,66
2020-10-05,0,10800,10161,67
2020-10-06,0,10863,10176,68
2020-10-07,0,10863,10176,68
