date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,2,0,0
2020-03-21,0,2,0,0
2020-03-22,0,2,0,0
2020-03-23,0,6,0,0
2020-03-24,0,7,0,0
2020-03-25,0,8,0,0
2020-03-26,0,8,0,0
2020-03-27,0,8,0,0
2020-03-28,0,8,0,0
2020-03-29,0,15,1,0
2020-03-30,0,15,1,0
2020-03-31,0,15,1,0
2020-04-01,0,16,1,0
2020-04-02,0,16,1,0
2020-04-03,0,18,1,0
2020-04-04,0,20,1,0
2020-04-05,0,21,1,1
2020-04-06,0,24,1,1
2020-04-07,0,25,1,1
2020-04-08,0,27,1,1
2020-04-09,0,30,1,2
2020-04-10,0,31,1,2
2020-04-11,0,33,1,2
2020-04-12,0,33,1,3
2020-04-13,0,40,1,3
2020-04-14,0,40,1,3
2020-04-15,0,41,1,3
2020-04-16,0,41,1,3
2020-04-17,0,43,1,3
2020-04-18,0,44,1,3
2020-04-19,0,47,1,3
2020-04-20,0,57,1,3
2020-04-21,0,57,1,3
2020-04-22,0,62,2,4
2020-04-23,0,72,2,5
2020-04-24,0,72,2,5
2020-04-25,0,72,6,6
2020-04-26,0,74,7,6
2020-04-27,0,76,8,6
2020-04-28,0,76,8,6
2020-04-29,0,76,8,6
2020-04-30,0,81,8,8
2020-05-01,0,85,10,8
2020-05-02,0,85,10,8
2020-05-03,0,88,10,9
2020-05-04,0,100,10,11
2020-05-05,0,101,10,12
2020-05-06,0,101,10,12
2020-05-07,0,129,16,12
2020-05-08,0,146,17,12
2020-05-09,0,151,17,12
2020-05-10,0,182,17,15
2020-05-11,0,209,17,16
2020-05-12,0,209,17,16
2020-05-13,0,234,17,18
2020-05-14,0,273,18,20
2020-05-15,0,310,29,20
2020-05-16,0,358,29,20
2020-05-17,0,456,21,20
2020-05-18,0,533,21,21
2020-05-19,0,533,21,21
2020-05-20,0,596,21,22
2020-05-21,0,734,21,25
2020-05-22,0,812,22,25
2020-05-23,0,865,22,26
2020-05-24,0,865,22,26
2020-05-25,0,958,22,27
2020-05-26,0,1174,22,33
2020-05-27,0,1320,22,34
2020-05-28,0,1320,22,34
2020-05-29,0,1584,22,35
2020-05-30,0,1865,24,41
2020-05-31,0,2124,24,44
2020-06-01,0,2226,24,45
2020-06-02,0,2226,24,45
2020-06-03,0,2507,24,48
2020-06-04,0,2640,24,50
2020-06-05,0,2740,24,50
2020-06-06,0,3072,24,50
2020-06-07,0,3334,24,51
2020-06-08,0,3538,24,54
2020-06-09,0,3662,24,56
2020-06-10,0,3796,24,58
2020-06-11,0,3941,24,64
2020-06-12,0,3941,24,64
2020-06-13,0,4165,24,70
2020-06-14,0,4165,24,70
2020-06-15,0,4441,24,76
2020-06-16,0,4547,24,80
2020-06-17,0,4688,24,82
2020-06-18,0,4916,24,84
2020-06-19,0,4980,24,87
2020-06-20,0,5077,24,88
2020-06-21,0,5077,24,88
2020-06-22,0,5211,24,88
2020-06-23,0,5324,436,89
2020-06-24,0,5429,512,92
2020-06-25,0,5543,512,96
2020-06-26,0,5722,641,98
2020-06-27,0,5777,706,100
2020-06-28,0,5777,706,100
2020-06-29,0,5933,839,105
2020-06-30,0,5975,931,105
2020-07-01,0,6040,1032,107
2020-07-02,0,6101,1141,110
2020-07-03,0,6230,1286,110
2020-07-04,0,6294,1408,113
2020-07-05,0,6333,1549,113
2020-07-06,0,6371,1824,113
2020-07-07,0,6432,2080,117
2020-07-08,0,6486,2181,123
2020-07-09,0,6486,2181,123
2020-07-10,0,6617,2590,135
2020-07-11,0,6690,2590,139
2020-07-12,0,6727,2924,139
2020-07-13,0,6727,3022,141
2020-07-14,0,6727,3022,141
2020-07-15,0,6831,3283,143
2020-07-16,0,6948,3606,145
2020-07-17,0,6975,3738,146
2020-07-18,0,7053,3877,146
2020-07-19,0,7053,3877,146
2020-07-20,0,7053,3877,146
2020-07-21,0,7100,4095,151
2020-07-22,0,7167,4095,154
2020-07-23,0,7197,4236,154
2020-07-24,0,7260,4236,156
2020-07-25,0,7297,4365,157
2020-07-26,0,7315,4365,157
2020-07-27,0,7340,4365,158
2020-07-28,0,7340,4365,158
2020-07-29,0,7378,4467,159
2020-07-30,0,7412,4467,161
2020-07-31,0,7424,4606,161
2020-08-01,0,7468,4606,165
2020-08-02,0,7468,4606,165
2020-08-03,0,7511,4832,166
2020-08-04,0,7511,4832,166
2020-08-05,0,7544,4832,171
2020-08-06,0,7582,4832,171
2020-08-07,0,7599,4893,177
2020-08-08,0,7611,4893,182
2020-08-09,0,7634,4982,183
2020-08-10,0,7634,4982,183
2020-08-11,0,7649,4982,183
2020-08-12,0,7743,5123,187
2020-08-13,0,7781,5123,192
2020-08-14,0,7810,5123,192
2020-08-15,0,7831,5235,196
2020-08-16,0,7879,5235,196
2020-08-17,0,7897,5235,196
2020-08-18,0,7921,5235,196
2020-08-19,0,7949,5337,196
2020-08-20,0,7997,5447,196
2020-08-21,0,8016,5447,196
2020-08-22,0,8050,5447,196
2020-08-23,0,8082,5624,196
2020-08-24,0,8110,5624,196
2020-08-25,0,8112,5624,196
2020-08-26,0,8122,5677,197
2020-08-27,0,8151,5743,200
2020-08-28,0,8161,5743,201
2020-08-29,0,8174,5743,201
2020-08-30,0,8209,5828,201
2020-08-31,0,8224,5828,201
2020-09-01,0,8230,5828,203
2020-09-02,0,8258,5870,206
2020-09-03,0,8301,5870,210
2020-09-04,0,8326,5870,212
2020-09-05,0,8336,5933,212
2020-09-06,0,8360,5933,214
2020-09-07,0,8376,5991,214
2020-09-08,0,8376,5991,214
2020-09-09,0,8384,5991,214
2020-09-10,0,8429,5991,215
2020-09-11,0,8457,6120,216
2020-09-12,0,8478,6120,219
2020-09-13,0,8493,6120,219
2020-09-14,0,8499,6120,219
2020-09-15,0,8530,6181,220
2020-09-16,0,8541,6258,220
2020-09-17,0,8556,6315,220
2020-09-18,0,8600,6363,221
2020-09-19,0,8600,6363,221
2020-09-20,0,8619,6363,221
2020-09-21,0,8624,6482,221
2020-09-22,0,8633,6482,223
2020-09-23,0,8646,6551,225
2020-09-24,0,8668,6551,227
2020-09-25,0,8684,6551,227
2020-09-26,0,8723,6551,227
2020-09-27,0,8740,6688,227
2020-09-28,0,8740,6757,227
2020-09-29,0,8740,6757,227
2020-09-30,0,8766,6829,229
2020-10-01,0,8781,6907,229
2020-10-02,0,8792,6949,229
2020-10-03,0,8811,6949,229
2020-10-04,0,8819,6992,229
2020-10-05,0,8827,6992,229
2020-10-06,0,8838,7013,229
2020-10-07,0,8838,7013,229
2020-10-08,0,8838,7013,229
