date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,1,0,0
2020-03-10,0,1,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,0,0
2020-03-13,0,3,0,1
2020-03-14,0,3,0,1
2020-03-15,0,3,0,1
2020-03-16,0,7,0,1
2020-03-17,0,14,0,2
2020-03-18,0,14,0,2
2020-03-19,0,16,0,2
2020-03-20,0,29,0,3
2020-03-21,0,47,1,3
2020-03-22,0,73,1,3
2020-03-23,0,73,1,3
2020-03-24,0,97,1,3
2020-03-25,0,145,1,5
2020-03-26,0,196,1,5
2020-03-27,0,310,5,5
2020-03-28,0,356,5,9
2020-03-29,0,475,6,10
2020-03-30,0,548,8,13
2020-03-31,0,645,10,17
2020-04-01,0,794,13,20
2020-04-02,0,897,19,22
2020-04-03,0,1072,22,27
2020-04-04,0,1225,25,32
2020-04-05,0,1308,28,37
2020-04-06,0,1319,28,38
2020-04-07,0,1462,28,45
2020-04-08,0,1668,35,52
2020-04-09,20608,1892,45,57
2020-04-10,23522,2203,61,69
2020-04-11,23522,2511,79,73
2020-04-12,23522,2777,89,83
2020-04-13,35153,3102,97,93
2020-04-14,35153,3372,119,98
2020-04-15,35153,3764,143,108
2020-04-16,42823,4161,186,116
2020-04-17,47096,4662,246,125
2020-04-18,47096,5106,275,133
2020-04-19,57111,5449,347,141
2020-04-20,57111,5710,359,151
2020-04-21,57111,6125,367,161
2020-04-22,57111,6592,424,174
2020-04-23,72296,7170,504,187
2020-04-24,72296,7647,782,201
2020-04-25,72296,8125,782,201
2020-04-26,89373,8617,840,209
2020-04-27,93519,9009,864,220
2020-04-28,98719,9410,992,239
2020-04-29,104544,9866,1103,250
2020-04-30,111859,10406,1238,261
2020-05-01,118545,10861,1413,272
2020-05-02,122752,11411,1498,279
2020-05-03,129723,11913,1548,288
2020-05-04,134592,12331,1619,303
2020-05-05,139759,12697,1875,316
2020-05-06,144283,13184,2097,327
2020-05-07,151569,13691,2396,340
2020-05-08,159155,14195,2706,361
2020-05-09,167107,14710,2909,376
2020-05-10,176403,15232,3060,391
2020-05-11,181552,15648,3288,408
2020-05-12,187307,16023,3373,425
2020-05-13,192247,16425,3716,439
2020-05-14,202495,16847,4143,456
2020-05-15,211614,17330,4473,476
2020-05-16,220638,17858,4906,497
2020-05-17,227801,18291,5116,514
2020-05-18,232899,18616,5276,535
2020-05-19,239961,18876,5632,548
2020-05-20,248529,19230,5955,564
2020-05-21,248529,19706,6227,579
2020-05-22,267185,20148,6585,588
2020-05-23,277712,20580,6929,605
2020-05-24,285626,20986,7108,617
2020-05-25,291868,21245,7234,623
2020-05-26,301736,21584,7575,644
2020-05-27,312532,21905,7995,658
2020-05-28,322746,22382,8439,669
2020-05-29,337318,22811,8934,679
2020-05-30,348279,23204,9311,696
2020-05-31,348279,23672,9538,708
2020-06-01,356187,24562,10053,724
2020-06-02,371668,24895,10461,733
2020-06-03,381552,25385,10838,742
2020-06-04,392316,25981,11468,755
2020-06-05,403551,26542,11815,770
2020-06-06,414542,27101,12265,785
2020-06-07,424046,27599,12513,796
2020-06-08,431085,28077,12657,805
2020-06-09,437444,28479,12892,818
2020-06-10,445940,29015,13257,841
2020-06-11,456509,29706,13642,864
2020-06-12,468172,30415,14075,880
2020-06-13,479111,31177,14489,890
2020-06-14,489334,31851,14596,899
2020-06-15,497284,32536,14771,911
2020-06-16,507251,33209,15054,922
2020-06-17,507251,33986,15485,953
2020-06-18,530442,34833,16001,976
2020-06-19,542247,35755,16588,995
2020-06-20,553737,36615,16974,1004
2020-06-21,563194,37361,17078,1012
2020-06-22,569589,38056,17211,1022
2020-06-23,580814,38901,17538,1045
2020-06-24,594002,39852,18009,1061
2020-06-25,606766,40854,18365,1078
2020-06-26,606766,41975,18927,1097
2020-06-27,631966,42932,19350,1121
2020-06-28,641911,43856,19585,1142
2020-06-29,649150,44538,19679,1161
2020-06-30,656122,45254,19792,1173
2020-07-01,666147,45924,20244,1188
2020-07-02,677257,46821,20755,1200
2020-07-03,690953,47705,21296,1227
2020-07-04,690953,48628,21907,1243
2020-07-05,715770,49468,22131,1265
2020-07-06,722513,50053,22462,1278
2020-07-07,731858,50622,22970,1299
2020-07-08,745313,51457,23912,1323
2020-07-09,760247,52285,24606,1344
2020-07-10,773831,53116,25634,1362
2020-07-11,786843,53941,26513,1389
2020-07-12,796680,54647,26971,1400
2020-07-13,803657,55285,27356,1415
2020-07-14,813396,55931,28021,1429
2020-07-15,827157,56779,29005,1444
2020-07-16,840332,57640,29822,1462
2020-07-17,854064,58466,30675,1473
2020-07-18,864596,59333,31479,1496
2020-07-19,877262,60077,31836,1504
2020-07-20,881997,60767,32397,1517
2020-07-21,894393,61454,33186,1537
2020-07-22,907360,62295,34176,1553
2020-07-23,921858,63169,35035,1570
2020-07-24,937006,64173,35932,1591
2020-07-25,951082,65317,36573,1610
2020-07-26,963641,66261,36885,1625
2020-07-27,970705,67096,37202,1636
2020-07-28,983350,68030,37852,1650
2020-07-29,998299,69078,38523,1673
2020-07-30,1013793,70300,39327,1697
2020-07-31,1029220,71404,39945,1717
2020-08-01,1046080,72609,40516,1733
2020-08-02,1058383,73761,40755,1749
2020-08-03,1067006,74781,41097,1762
2020-08-04,1067006,75880,41849,1788
2020-08-05,1098665,77169,42784,1813
2020-08-06,1116641,78515,43812,1846
2020-08-07,1135051,80018,44369,1879
2020-08-08,1154378,81534,45006,1906
2020-08-09,1169351,82767,45335,1925
2020-08-10,1179434,83812,45723,1950
2020-08-11,1195561,85023,46313,1979
2020-08-12,1214941,86504,47084,1999
2020-08-13,1233925,88136,47678,2023
2020-08-14,1252842,89917,48288,2042
2020-08-15,1273821,91795,48946,2076
2020-08-16,1289589,93490,49346,2100
2020-08-17,1300289,95007,49692,2122
2020-08-18,1315409,96653,50508,2152
2020-08-19,1335000,98658,51358,2182
2020-08-20,1356698,100810,52086,2225
2020-08-21,1378519,102948,52769,2248
2020-08-22,1400726,105337,53458,2286
2020-08-23,1416001,107379,53968,2313
2020-08-24,1425351,109234,54262,2335
2020-08-25,1436206,110949,54657,2362
2020-08-26,1452006,112653,55327,2399
2020-08-27,1472736,114663,56149,2449
2020-08-28,1494243,117172,57051,2499
2020-08-29,1516712,119751,58156,2540
2020-08-30,1536171,121930,58775,2575
2020-08-31,1550280,124132,59162,2605
2020-09-01,1556655,126279,59904,2654
2020-09-02,1597707,128833,60943,2705
2020-09-03,1621697,131300,61828,2759
2020-09-04,1621697,134069,62828,2812
2020-09-05,1673316,136966,63891,2863
2020-09-06,1693793,139171,64496,2898
2020-09-07,1709017,141424,64886,2930
2020-09-08,1731877,143914,65849,2988
2020-09-09,1751931,146511,67092,3034
2020-09-10,1778483,149146,68289,3079
2020-09-11,1806428,152373,69466,3132
2020-09-12,1834165,155558,70881,3206
2020-09-13,1856467,158122,71434,3239
2020-09-14,1870790,160679,72091,3273
2020-09-15,1897688,163678,73422,3326
2020-09-16,1925482,166694,74981,3404
2020-09-17,1955211,170373,76636,3465
2020-09-18,1985802,173703,78273,3535
2020-09-19,2014923,177048,79671,3585
2020-09-20,2038850,180119,80438,3626
2020-09-21,2058638,182900,81131,3652
2020-09-22,2079482,185890,82927,3716
2020-09-23,2102377,189488,84767,3784
2020-09-24,2129156,192966,86624,3838
2020-09-25,2156653,196631,88324,3910
2020-09-26,2189926,200566,90142,3988
2020-09-27,2209975,203799,91179,4044
2020-09-28,2226508,206579,91754,4082
2020-09-29,2250676,210309,93664,4154
2020-09-30,2278248,214446,95829,4221
2020-10-01,2308415,218625,97956,4288
2020-10-02,2337942,223376,100163,4357
