date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,1,0,0
2020-03-23,0,1,0,0
2020-03-24,0,1,0,0
2020-03-25,0,5,0,0
2020-03-26,0,5,0,0
2020-03-27,0,5,0,0
2020-03-28,0,5,0,0
2020-03-29,0,9,0,1
2020-03-30,0,10,0,2
2020-03-31,0,10,0,2
2020-04-01,0,10,0,2
2020-04-02,0,16,0,2
2020-04-03,0,16,0,2
2020-04-04,0,16,2,2
2020-04-05,0,19,2,2
2020-04-06,0,19,2,2
2020-04-07,0,19,3,2
2020-04-08,0,19,4,2
2020-04-09,0,19,4,2
2020-04-10,0,19,4,2
2020-04-11,0,25,5,2
2020-04-12,0,25,5,2
2020-04-13,0,25,5,2
2020-04-14,0,29,5,2
2020-04-15,0,33,5,2
2020-04-16,0,33,5,2
2020-04-17,0,38,5,2
2020-04-18,0,38,5,2
2020-04-19,0,39,5,3
2020-04-20,0,39,5,3
2020-04-21,0,42,6,3
2020-04-22,0,42,6,3
2020-04-23,0,42,6,3
2020-04-24,0,42,6,3
2020-04-25,0,42,11,3
2020-04-26,0,43,14,3
2020-04-27,0,43,19,3
2020-04-28,0,43,21,3
2020-04-29,0,43,21,3
2020-04-30,0,43,21,3
2020-05-01,0,44,27,3
2020-05-02,0,44,27,3
2020-05-03,0,44,27,3
2020-05-04,0,44,27,3
2020-05-05,0,44,27,3
2020-05-06,0,45,27,3
2020-05-07,0,45,27,3
2020-05-08,0,47,29,3
2020-05-09,0,47,29,3
2020-05-10,0,47,29,3
2020-05-11,0,47,29,3
2020-05-12,0,47,29,3
2020-05-13,0,48,29,3
2020-05-14,0,48,29,3
2020-05-15,0,50,36,3
2020-05-16,0,51,36,3
2020-05-17,0,58,36,3
2020-05-18,0,58,36,3
2020-05-19,0,58,36,3
2020-05-20,0,58,36,3
2020-05-21,0,58,36,3
2020-05-22,0,59,37,4
2020-05-23,0,70,37,4
2020-05-24,0,86,41,4
2020-05-25,0,106,41,4
2020-05-26,0,121,41,4
2020-05-27,0,121,43,4
2020-05-28,0,122,43,4
2020-05-29,0,122,43,4
2020-05-30,0,122,43,4
2020-05-31,0,122,46,5
2020-06-01,0,123,46,5
2020-06-02,0,123,50,6
2020-06-03,0,123,53,6
2020-06-04,0,124,53,6
2020-06-05,0,124,53,6
2020-06-06,0,125,58,6
2020-06-07,0,141,58,6
2020-06-08,0,144,62,6
2020-06-09,0,146,62,6
2020-06-10,0,152,68,6
2020-06-11,0,164,68,6
2020-06-12,0,164,68,6
2020-06-13,0,170,71,6
2020-06-14,0,177,74,6
2020-06-15,0,177,78,6
2020-06-16,0,177,78,6
2020-06-17,0,178,78,7
2020-06-18,0,187,78,7
2020-06-19,0,187,78,7
2020-06-20,0,198,83,7
2020-06-21,0,204,83,7
2020-06-22,0,219,83,7
2020-06-23,0,231,94,7
2020-06-24,0,231,94,7
2020-06-25,0,242,96,7
2020-06-26,0,255,102,8
2020-06-27,0,256,102,9
2020-06-28,0,256,102,9
2020-06-29,0,269,102,9
2020-06-30,0,279,105,9
2020-07-01,0,293,110,9
2020-07-02,0,312,113,9
2020-07-03,0,328,123,10
2020-07-04,0,338,123,10
2020-07-05,0,358,126,13
2020-07-06,0,372,126,14
2020-07-07,0,372,126,14
2020-07-08,0,372,126,14
2020-07-09,0,372,126,14
2020-07-10,0,394,126,16
2020-07-11,0,394,126,16
2020-07-12,0,394,126,16
2020-07-13,0,417,136,19
2020-07-14,0,439,138,21
2020-07-15,0,458,140,22
2020-07-16,0,477,140,22
2020-07-17,0,496,144,25
2020-07-18,0,496,144,25
2020-07-19,0,496,144,25
2020-07-20,0,522,154,29
2020-07-21,0,540,160,31
2020-07-22,0,561,165,32
2020-07-23,0,584,174,35
2020-07-24,0,608,184,35
2020-07-25,0,627,191,36
2020-07-26,0,650,200,38
2020-07-27,0,674,210,40
2020-07-28,0,694,220,40
2020-07-29,0,717,229,40
2020-07-30,0,738,229,41
2020-07-31,0,757,237,43
2020-08-01,0,780,237,43
2020-08-02,0,809,256,44
2020-08-03,0,847,268,46
2020-08-04,0,892,283,46
2020-08-05,0,944,296,48
2020-08-06,0,999,311,48
2020-08-07,0,1060,311,48
2020-08-08,0,1125,331,50
2020-08-09,0,1188,346,52
2020-08-10,0,1255,364,52
2020-08-11,0,1327,385,53
2020-08-12,0,1327,385,53
2020-08-13,0,1432,395,55
2020-08-14,0,1515,403,58
2020-08-15,0,1593,408,60
2020-08-16,0,1677,417,64
2020-08-17,0,1764,425,68
2020-08-18,0,1844,425,73
2020-08-19,0,1927,445,78
2020-08-20,0,2008,460,82
2020-08-21,0,2073,475,83
2020-08-22,0,2143,490,85
2020-08-23,0,2217,505,89
2020-08-24,0,2293,519,92
2020-08-25,0,2365,533,95
2020-08-26,0,2440,550,98
2020-08-27,0,2504,569,100
2020-08-28,0,2563,584,103
2020-08-29,0,2628,599,106
2020-08-30,0,2703,614,109
2020-08-31,0,2765,629,112
2020-09-01,0,2830,646,116
2020-09-02,0,2898,661,120
2020-09-03,0,2973,681,124
2020-09-04,0,3041,698,127
2020-09-05,0,3104,715,130
2020-09-06,0,3171,730,134
2020-09-07,0,3229,744,137
2020-09-08,0,3289,760,140
2020-09-09,0,3351,780,143
2020-09-10,0,3416,797,147
2020-09-11,0,3476,812,150
2020-09-12,0,3506,827,152
2020-09-13,0,3540,842,155
2020-09-14,0,3576,858,157
2020-09-15,0,3614,871,160
2020-09-16,0,3654,889,163
2020-09-17,0,3691,903,165
2020-09-18,0,3731,918,168
2020-09-19,0,3765,932,170
2020-09-20,0,3800,946,172
2020-09-21,0,3833,963,175
2020-09-22,0,3877,983,178
2020-09-23,0,3924,998,181
2020-09-24,0,3966,1013,183
2020-09-25,0,4001,1028,185
2020-09-26,0,4038,1048,188
2020-09-27,0,4072,1062,192
2020-09-28,0,4102,1074,194
2020-09-29,0,4148,1088,197
2020-09-30,0,4200,1103,200
2020-10-01,0,4247,1117,202
2020-10-02,0,4289,1130,203
2020-10-03,0,4329,1143,204
2020-10-04,0,4366,1155,205
2020-10-05,0,4411,1168,207
2020-10-06,0,4457,1183,209
2020-10-07,0,4457,1183,209
