date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,2,0,0
2020-03-09,0,2,0,0
2020-03-10,0,2,0,0
2020-03-11,0,2,0,0
2020-03-12,0,2,0,0
2020-03-13,0,2,0,0
2020-03-14,0,2,0,0
2020-03-15,0,2,0,0
2020-03-16,0,4,0,0
2020-03-17,0,10,0,0
2020-03-18,0,10,0,0
2020-03-19,0,13,0,0
2020-03-20,0,20,0,0
2020-03-21,0,27,0,0
2020-03-22,0,40,0,0
2020-03-23,0,56,0,0
2020-03-24,0,66,0,0
2020-03-25,0,75,2,1
2020-03-26,0,75,2,1
2020-03-27,0,91,2,2
2020-03-28,0,91,2,2
2020-03-29,0,139,5,6
2020-03-30,0,139,5,6
2020-03-31,0,193,5,6
2020-04-01,0,233,10,6
2020-04-02,0,306,10,7
2020-04-03,0,509,17,8
2020-04-04,0,555,17,9
2020-04-05,0,650,17,9
2020-04-06,0,658,17,9
2020-04-07,0,658,43,9
2020-04-08,0,730,60,10
2020-04-09,0,730,60,10
2020-04-10,0,820,98,12
2020-04-11,0,820,98,12
2020-04-12,0,820,98,12
2020-04-13,0,820,98,12
2020-04-14,0,848,130,14
2020-04-15,0,848,165,17
2020-04-16,0,996,164,22
2020-04-17,0,996,164,22
2020-04-18,0,1017,177,22
2020-04-19,0,1017,305,42
2020-04-20,0,1163,305,42
2020-04-21,0,1163,329,43
2020-04-22,0,1163,397,43
2020-04-23,0,1334,668,43
2020-04-24,0,1430,668,43
2020-04-25,0,1518,697,53
2020-04-26,0,1621,786,56
2020-04-27,0,1705,805,58
2020-04-28,0,1705,915,58
2020-04-29,0,1832,934,61
2020-04-30,0,1832,934,61
2020-05-01,0,1832,934,61
2020-05-02,0,2077,953,64
2020-05-03,0,2077,953,64
2020-05-04,0,2104,953,64
2020-05-05,0,2104,953,64
2020-05-06,0,2265,1000,108
2020-05-07,0,2267,1002,108
2020-05-08,0,2267,1002,108
2020-05-09,0,2274,1232,108
2020-05-10,0,2579,1465,114
2020-05-11,0,2689,1524,125
2020-05-12,0,2689,1524,125
2020-05-13,0,2800,1543,136
2020-05-14,0,2954,1553,139
2020-05-15,0,3105,1567,140
2020-05-16,0,3105,1567,140
2020-05-17,0,3105,1567,140
2020-05-18,0,3529,1567,140
2020-05-19,0,3529,1567,140
2020-05-20,0,3733,1595,146
2020-05-21,0,4288,1808,156
2020-05-22,0,4400,1822,159
2020-05-23,0,4400,1822,159
2020-05-24,0,4890,1865,165
2020-05-25,0,4890,1865,165
2020-05-26,0,5436,1996,175
2020-05-27,0,5436,1996,175
2020-05-28,0,5436,1996,175
2020-05-29,0,5436,3326,177
2020-05-30,0,5904,3568,191
2020-05-31,0,5904,3568,191
2020-06-01,0,6397,3629,199
2020-06-02,0,6585,3676,200
2020-06-03,0,6585,3676,200
2020-06-04,0,6789,3705,203
2020-06-05,0,7392,4575,205
2020-06-06,0,7599,4587,212
2020-06-07,0,7908,4735,212
2020-06-08,0,8060,4748,212
2020-06-09,0,8312,4794,212
2020-06-10,0,8681,4836,212
2020-06-11,0,8681,4836,212
2020-06-12,0,8681,4836,212
2020-06-13,0,8681,4836,212
2020-06-14,0,8681,4836,212
2020-06-15,0,9864,5570,276
2020-06-16,0,9864,5570,276
2020-06-17,0,9864,5570,276
2020-06-18,0,9864,5570,276
2020-06-19,0,10638,7548,282
2020-06-20,0,11610,7702,301
2020-06-21,0,11892,7710,303
2020-06-22,0,12041,7740,308
2020-06-23,0,12270,7774,313
2020-06-24,0,12592,10100,313
2020-06-25,0,12592,10100,313
2020-06-26,0,12592,10100,313
2020-06-27,0,12592,10100,313
2020-06-28,0,12592,10100,313
2020-06-29,0,12592,10100,313
2020-06-30,0,12592,10100,313
2020-07-01,0,12592,10100,313
2020-07-02,0,12592,10100,313
2020-07-03,0,12592,10100,313
2020-07-04,0,12592,10100,313
2020-07-05,0,12592,10100,313
2020-07-06,0,12592,10100,313
2020-07-07,0,14916,11525,359
2020-07-08,0,14916,11525,359
2020-07-09,0,14916,11525,359
2020-07-10,0,14916,11525,359
2020-07-11,0,15173,11928,359
2020-07-12,0,15173,11928,359
2020-07-13,0,15173,11928,359
2020-07-14,0,15173,11928,359
2020-07-15,0,15173,11928,359
2020-07-16,0,16157,13728,373
2020-07-17,0,16157,13728,373
2020-07-18,0,16157,13728,373
2020-07-19,0,16157,13728,373
2020-07-20,0,16157,13728,373
2020-07-21,0,16522,13728,382
2020-07-22,0,16522,13728,382
2020-07-23,0,16522,13728,382
2020-07-24,0,16708,14539,385
2020-07-25,0,16708,14539,385
2020-07-26,0,16708,14539,385
2020-07-27,0,17110,14539,391
2020-07-28,0,17179,14539,391
2020-07-29,0,17255,15320,391
2020-07-30,0,17255,15320,391
2020-07-31,0,17255,15320,391
2020-08-01,0,17255,15320,391
2020-08-02,0,17255,15320,391
2020-08-03,0,17255,15320,391
2020-08-04,0,17718,15320,391
2020-08-05,0,17718,15320,391
2020-08-06,0,17718,15320,391
2020-08-07,0,17718,15320,391
2020-08-08,0,18042,15320,395
2020-08-09,0,18042,15320,395
2020-08-10,0,18042,15320,395
2020-08-11,0,18213,15320,398
2020-08-12,0,18263,15320,401
2020-08-13,0,18308,15320,401
2020-08-14,0,18469,15320,401
2020-08-15,0,18469,16540,401
2020-08-16,0,18469,16540,401
2020-08-17,0,18582,16540,403
2020-08-18,0,18599,16540,406
2020-08-19,0,18624,16540,406
2020-08-20,0,18762,16540,408
2020-08-21,0,18762,16540,408
2020-08-22,0,18762,16540,408
2020-08-23,0,18762,16540,408
2020-08-24,0,18762,16540,408
2020-08-25,0,18973,16540,410
2020-08-26,0,18973,16540,410
2020-08-27,0,19142,17651,411
2020-08-28,0,19142,17651,411
2020-08-29,0,19142,17651,411
2020-08-30,0,19142,17651,411
2020-08-31,0,19142,17651,411
2020-09-01,0,19409,17651,414
2020-09-02,0,19460,17651,415
2020-09-03,0,19604,18448,415
2020-09-04,0,19604,18448,415
2020-09-05,0,19604,18448,415
2020-09-06,0,19604,18448,415
2020-09-07,0,19604,18448,415
2020-09-08,0,19848,18448,415
2020-09-09,0,19848,18448,415
2020-09-10,0,20009,18837,415
2020-09-11,0,20009,18837,415
2020-09-12,0,20009,18837,415
2020-09-13,0,20167,18837,415
2020-09-14,0,20228,18837,415
2020-09-15,0,20271,18837,415
2020-09-16,0,20303,18837,415
2020-09-17,0,20303,18837,415
2020-09-18,0,20371,19124,416
2020-09-19,0,20431,19124,416
2020-09-20,0,20431,19124,416
2020-09-21,0,20598,19124,416
2020-09-22,0,20598,19124,416
2020-09-23,0,20690,19124,416
2020-09-24,0,20712,19440,418
2020-09-25,0,20712,19440,418
2020-09-26,0,20735,19440,418
2020-09-27,0,20735,19440,418
2020-09-28,0,20838,19440,418
2020-09-29,0,20838,19440,418
2020-09-30,0,20838,19440,418
2020-10-01,0,20838,19440,418
2020-10-02,0,20924,19764,420
2020-10-03,0,20924,19764,420
2020-10-04,0,20924,19764,420
2020-10-05,0,20924,19764,420
2020-10-06,0,20924,19764,420
2020-10-07,0,20924,19764,420
2020-10-08,0,20924,19764,420
