date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,2,0,0
2020-03-10,0,2,0,0
2020-03-11,0,2,0,0
2020-03-12,0,2,0,0
2020-03-13,0,2,0,0
2020-03-14,0,2,0,0
2020-03-15,0,2,0,0
2020-03-16,0,2,0,0
2020-03-17,0,3,0,0
2020-03-18,0,8,1,0
2020-03-19,0,8,1,0
2020-03-20,0,12,1,0
2020-03-21,0,22,1,0
2020-03-22,0,30,2,0
2020-03-23,0,40,2,1
2020-03-24,0,44,2,1
2020-03-25,0,51,2,1
2020-03-26,0,65,2,1
2020-03-27,0,70,3,1
2020-03-28,0,89,3,1
2020-03-29,0,111,3,1
2020-03-30,0,131,8,2
2020-03-31,0,135,8,2
2020-04-01,0,174,9,2
2020-04-02,0,184,20,2
2020-04-03,0,210,25,4
2020-04-04,0,214,25,4
2020-04-05,0,232,33,5
2020-04-06,0,238,35,5
2020-04-07,0,254,44,6
2020-04-08,5000,276,44,6
2020-04-09,5000,288,51,7
2020-04-10,5000,305,58,7
2020-04-11,5000,318,70,10
2020-04-12,5000,323,85,10
2020-04-13,5000,343,91,10
2020-04-14,5000,373,99,11
2020-04-15,5000,407,128,12
2020-04-16,6649,442,152,13
2020-04-17,7153,493,159,17
2020-04-18,7153,542,166,19
2020-04-19,7153,627,170,21
2020-04-20,7153,665,188,22
2020-04-21,7153,665,188,22
2020-04-22,7153,873,197,28
2020-04-23,10061,981,197,31
2020-04-24,10061,1095,208,32
2020-04-25,10918,1182,222,35
2020-04-26,10918,1273,239,40
2020-04-27,10918,1337,255,40
2020-04-28,12004,1532,255,44
2020-04-29,12828,1728,307,51
2020-04-30,12828,1932,319,58
2020-05-01,15759,2170,351,68
2020-05-02,15759,2388,351,85
2020-05-03,16588,2558,400,87
2020-05-04,18536,2802,417,93
2020-05-05,19512,2950,481,98
2020-05-06,21208,3145,534,103
2020-05-07,22492,3526,601,107
2020-05-08,23835,3912,679,117
2020-05-09,23835,4151,745,128
2020-05-10,23835,4399,778,143
2020-05-11,27078,4641,902,150
2020-05-12,28418,4787,959,158
2020-05-13,29408,4971,1070,164
2020-05-14,30657,5162,1180,167
2020-05-15,30657,5450,1320,171
2020-05-16,32942,5621,1472,176
2020-05-17,33970,5959,1594,182
2020-05-18,35345,6175,1644,191
2020-05-19,36899,6401,1734,192
2020-05-20,38231,6677,1840,200
2020-05-21,38231,7016,1907,211
2020-05-22,41907,7261,2007,221
2020-05-23,43328,7526,2174,221
2020-05-24,44458,7839,2263,226
2020-05-25,45683,8068,2311,233
2020-05-26,46803,8344,2385,249
2020-05-27,48544,8733,2501,254
2020-05-28,49966,8915,2592,259
2020-05-29,58726,9302,2697,261
2020-05-30,60825,9855,2856,273
2020-05-31,60825,10162,3007,287
2020-06-01,63882,10578,3122,299
2020-06-02,65885,10819,3240,314
2020-06-03,69801,11166,3329,315
2020-06-04,71336,11516,3535,323
2020-06-05,73064,11844,3696,333
2020-06-06,74999,12233,3826,342
2020-06-07,76802,12486,3959,354
2020-06-08,78244,12801,4040,361
2020-06-09,79948,13464,4206,365
2020-06-10,82935,13873,4351,382
2020-06-11,85375,14554,4494,387
2020-06-12,85375,15181,4891,399
2020-06-13,90464,15682,5101,407
2020-06-14,92924,16085,5220,420
2020-06-15,94323,16658,5349,424
2020-06-16,96402,17148,5623,455
2020-06-17,96402,17735,5967,469
2020-06-18,106006,18480,6307,475
2020-06-19,108548,19147,6581,487
2020-06-20,111052,19808,6718,506
2020-06-21,113575,20244,6879,518
2020-06-22,115760,20919,7109,525
2020-06-23,117569,21371,7338,533
2020-06-24,120108,22020,7613,542
2020-06-25,122155,22614,7822,549
2020-06-26,122155,23298,8253,554
2020-06-27,127158,24077,8625,558
2020-06-28,130164,24567,9007,565
2020-06-29,132304,25133,9402,573
2020-06-30,134257,25694,9746,590
2020-07-01,138462,26484,10152,603
2020-07-02,141525,27110,10801,616
2020-07-03,144833,27564,11069,628
2020-07-04,148188,28167,11462,634
2020-07-05,151121,28711,11665,645
2020-07-06,152952,29286,11828,654
2020-07-07,152952,29789,12108,669
2020-07-08,169629,30249,12373,684
2020-07-09,171931,30748,12546,689
2020-07-10,175656,31323,12795,709
2020-07-11,178265,31987,13103,724
2020-07-12,181248,32558,13447,740
2020-07-13,183294,33153,13671,744
2020-07-14,183294,33616,13792,754
2020-07-15,199016,34259,13999,760
2020-07-16,202097,34854,14292,769
2020-07-17,206422,35454,14633,772
2020-07-18,209446,36107,14938,778
2020-07-19,212201,36663,15105,789
2020-07-20,212201,37225,15333,801
2020-07-21,218223,37801,15677,805
2020-07-22,247825,38344,15815,813
2020-07-23,251893,38948,16061,833
2020-07-24,256038,39539,16559,845
2020-07-25,259516,39977,16948,856
2020-07-26,262579,40532,17374,858
2020-07-27,267842,41180,18203,860
2020-07-28,272748,41804,18764,868
2020-07-29,276053,42208,19004,873
2020-07-30,279675,42689,19270,878
2020-07-31,279675,43151,19565,879
2020-08-01,286091,43537,20087,883
2020-08-02,287532,43841,20308,888
2020-08-03,289133,44129,20663,896
2020-08-04,304221,44433,31851,910
2020-08-05,304221,44890,32165,927
2020-08-06,306894,45244,32430,930
2020-08-07,310729,45687,32637,936
2020-08-08,314632,46140,33044,942
2020-08-09,317496,46577,33186,945
2020-08-10,319851,46867,33346,950
2020-08-11,319851,47290,33609,956
2020-08-12,338084,47743,33943,956
2020-08-13,341421,48116,34309,966
2020-08-14,344397,48445,35998,973
2020-08-15,344397,48770,36290,974
2020-08-16,350589,49068,36497,975
2020-08-17,352625,49485,36834,977
2020-08-18,355196,49895,37051,981
2020-08-19,363331,50488,37304,985
2020-08-20,366244,50964,37569,992
2020-08-21,369904,51304,37885,996
2020-08-22,374077,51905,38767,997
2020-08-23,378023,52227,38945,1002
2020-08-24,379542,52548,39257,1004
2020-08-25,383130,52800,39964,1007
2020-08-26,388346,53021,40281,1010
2020-08-27,391502,53317,40726,1011
2020-08-28,394524,53477,41017,1011
2020-08-29,398304,53727,41314,1011
2020-08-30,402070,53865,41513,1013
2020-08-31,403347,54008,41638,1013
2020-09-01,403347,54247,42010,1023
2020-09-02,411077,54463,42439,1027
2020-09-03,413265,54588,42627,1048
2020-09-04,413265,54743,42816,1051
2020-09-05,417398,54905,42922,1054
2020-09-06,420543,55005,43013,1057
2020-09-07,424186,55160,43231,1061
2020-09-08,426803,55456,43334,1067
2020-09-09,430712,55632,43610,1070
2020-09-10,433206,55829,43810,1075
2020-09-11,436231,56017,43998,1076
2020-09-12,438135,56177,44088,1078
2020-09-13,440248,56256,44152,1082
2020-09-14,442075,56388,44337,1083
2020-09-15,443987,56478,44430,1088
2020-09-16,443987,56604,47872,1091
2020-09-17,443987,56735,48092,1093
2020-09-18,472191,56956,48305,1094
2020-09-19,472191,57145,48431,1095
2020-09-20,472191,57242,48569,1098
2020-09-21,480874,57437,48674,1100
2020-09-22,480874,57613,48836,1100
2020-09-23,484051,57724,48985,1102
2020-09-24,484051,57849,49098,1102
2020-09-25,494577,58062,49606,1103
2020-09-26,502545,58198,49722,1106
2020-09-27,502545,58324,49794,1108
2020-09-28,507006,58460,49895,1111
2020-09-29,509555,58647,49937,1111
2020-09-30,509555,58848,50358,1112
2020-10-01,509555,59001,50452,1112
2020-10-02,509555,59127,50593,1112
2020-10-03,520797,59287,50718,1113
2020-10-04,532765,59345,50768,1113
2020-10-05,536695,59465,50951,1113
2020-10-06,536695,59583,51308,1113
2020-10-07,543415,59738,51403,1113
2020-10-08,543415,59738,51403,1113
