date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,3,0,0
2020-03-19,0,3,0,0
2020-03-20,0,6,0,0
2020-03-21,0,14,0,0
2020-03-22,0,14,0,0
2020-03-23,0,16,0,0
2020-03-24,0,42,0,0
2020-03-25,0,44,0,0
2020-03-26,0,44,0,0
2020-03-27,0,58,0,0
2020-03-28,0,58,0,0
2020-03-29,0,84,0,0
2020-03-30,0,94,3,0
2020-03-31,0,107,3,0
2020-04-01,0,111,3,0
2020-04-02,0,116,5,1
2020-04-03,0,130,6,1
2020-04-04,0,144,9,1
2020-04-05,0,147,9,1
2020-04-06,0,216,33,4
2020-04-07,0,228,33,4
2020-04-08,0,270,33,4
2020-04-09,0,280,35,4
2020-04-10,0,298,35,5
2020-04-11,0,339,44,5
2020-04-12,0,377,54,5
2020-04-13,0,419,67,5
2020-04-14,0,430,71,5
2020-04-15,0,449,78,5
2020-04-16,0,466,91,5
2020-04-17,0,489,114,5
2020-04-18,0,506,130,5
2020-04-19,0,554,133,5
2020-04-20,0,568,201,7
2020-04-21,0,590,216,7
2020-04-22,0,612,254,7
2020-04-23,0,631,302,8
2020-04-24,0,665,345,8
2020-04-25,0,665,345,8
2020-04-26,0,682,370,8
2020-04-27,0,695,395,8
2020-04-28,0,708,416,8
2020-04-29,0,729,437,8
2020-04-30,0,746,462,8
2020-05-01,0,756,504,8
2020-05-02,0,769,527,8
2020-05-03,0,795,564,10
2020-05-04,0,830,575,10
2020-05-05,0,843,600,11
2020-05-06,0,871,614,12
2020-05-07,0,895,637,12
2020-05-08,0,906,650,12
2020-05-09,0,931,658,12
2020-05-10,0,1002,675,12
2020-05-11,0,1016,688,12
2020-05-12,0,1037,709,12
2020-05-13,0,1044,726,12
2020-05-14,0,1082,735,12
2020-05-15,0,1111,745,14
2020-05-16,0,1117,783,14
2020-05-17,0,1138,804,14
2020-05-18,0,1216,827,14
2020-05-19,0,1243,898,14
2020-05-20,0,1270,910,14
2020-05-21,0,1313,923,14
2020-05-22,0,1350,939,14
2020-05-23,0,1365,957,14
2020-05-24,0,1403,980,14
2020-05-25,0,1433,992,16
2020-05-26,0,1468,1015,16
2020-05-27,0,1520,1043,16
2020-05-28,0,1594,1066,16
2020-05-29,0,1662,1088,16
2020-05-30,0,1722,1113,16
2020-05-31,0,1748,1170,16
2020-06-01,0,1817,1181,16
2020-06-02,0,1845,1219,17
2020-06-03,0,1871,1265,20
2020-06-04,0,1899,1292,20
2020-06-05,0,1936,1340,22
2020-06-06,0,1974,1360,22
2020-06-07,0,2007,1425,22
2020-06-08,0,2032,1445,23
2020-06-09,0,2055,1483,24
2020-06-10,0,2093,1572,26
2020-06-11,0,2166,1668,26
2020-06-12,0,2166,1668,26
2020-06-13,0,2207,1722,27
2020-06-14,0,2285,1791,27
2020-06-15,0,2472,1847,28
2020-06-16,0,2562,1902,30
2020-06-17,0,2657,1933,31
2020-06-18,0,2657,1933,31
2020-06-19,0,2789,1961,32
2020-06-20,0,2981,1981,35
2020-06-21,0,3356,2021,40
2020-06-22,0,3356,2021,40
2020-06-23,0,3726,2082,42
2020-06-24,0,3954,2112,43
2020-06-25,0,4204,2162,43
2020-06-26,0,4446,2194,46
2020-06-27,0,4513,2212,46
2020-06-28,0,5017,2294,50
2020-06-29,0,5296,2370,57
2020-06-30,0,5506,2443,61
2020-07-01,0,6261,2530,66
2020-07-02,0,6767,2655,76
2020-07-03,0,6878,2671,76
2020-07-04,0,7094,2714,78
2020-07-05,0,7377,2802,88
2020-07-06,0,8141,2916,99
2020-07-07,0,8279,2967,107
2020-07-08,0,8847,3053,116
2020-07-09,0,9358,3134,122
2020-07-10,0,9910,3236,125
2020-07-11,0,10410,3253,129
2020-07-12,0,11117,3460,147
2020-07-13,0,11444,3538,149
2020-07-14,0,11444,3538,149
2020-07-15,0,12282,3712,165
2020-07-16,0,12498,3735,167
2020-07-17,0,13101,3821,173
2020-07-18,0,24606,10704,900
2020-07-19,0,27143,13109,1037
2020-07-20,0,27143,13109,1037
2020-07-21,0,28251,14776,1079
2020-07-22,0,28980,15536,1111
2020-07-23,0,31247,18038,1211
2020-07-24,0,31247,18038,1211
2020-07-25,0,32124,19203,1249
2020-07-26,0,32813,20388,1277
2020-07-27,0,33296,21205,1301
2020-07-28,0,33844,22296,1329
2020-07-29,0,34592,22296,1347
2020-07-30,0,35223,23985,1364
2020-07-31,0,35805,25037,1378
2020-08-01,0,36299,26419,1397
2020-08-02,0,36719,27274,1409
2020-08-03,0,37129,27927,1420
2020-08-04,0,37541,28743,1427
2020-08-05,0,38110,29513,1438
2020-08-06,0,38659,30099,1447
2020-08-07,0,39162,30764,1451
2020-08-08,0,39571,31062,1459
2020-08-09,0,39919,31822,1468
2020-08-10,0,40085,32126,1474
2020-08-11,0,40455,32734,1478
2020-08-12,0,40759,32997,1484
2020-08-13,0,41069,33288,1487
2020-08-14,0,41373,33592,1491
2020-08-15,0,41645,33951,1493
2020-08-16,0,41856,34276,1495
2020-08-17,0,41991,34537,1496
2020-08-18,0,42146,34855,1498
2020-08-19,0,42325,35197,1498
2020-08-20,0,42507,35486,1498
2020-08-21,0,42703,35831,1055
2020-08-22,0,42889,36056,1055
2020-08-23,0,43023,36397,1056
2020-08-24,0,43126,36615,1057
2020-08-25,0,43245,36925,1057
2020-08-26,0,43358,37217,1057
2020-08-27,0,43459,37492,1057
2020-08-28,0,43587,37726,1057
2020-08-29,0,43712,37973,1057
2020-08-30,0,43820,38198,1058
2020-08-31,0,43898,38459,1058
2020-09-01,0,43958,38649,1059
2020-09-02,0,44036,38895,1059
2020-09-03,0,44135,39174,1059
2020-09-04,0,44199,39389,1060
2020-09-05,0,44293,39599,1060
2020-09-06,0,44403,39826,1060
2020-09-07,0,44458,39960,1060
2020-09-08,0,44487,40092,1060
2020-09-09,0,44613,40336,1061
2020-09-10,0,44684,40487,1061
2020-09-11,0,44761,40631,1063
2020-09-12,0,44828,40779,1063
2020-09-13,0,44881,40922,1063
2020-09-14,0,44928,41023,1063
2020-09-15,0,44999,41103,1063
2020-09-16,0,45072,41210,1063
2020-09-17,0,45153,41317,1063
2020-09-18,0,45244,41415,1063
2020-09-19,0,45335,41484,1063
2020-09-20,0,45335,41484,1063
2020-09-21,0,45471,41682,1063
2020-09-22,0,45542,41796,1063
2020-09-23,0,45630,41904,1063
2020-09-24,0,45757,42005,1063
2020-09-25,0,45932,42147,1063
2020-09-26,0,46090,42302,1063
2020-09-27,0,46251,42453,1063
2020-09-28,0,46355,42613,1064
2020-09-29,0,46522,42761,1064
2020-09-30,0,46669,42879,1064
2020-10-01,0,46841,42983,1065
2020-10-02,0,47056,43137,1065
2020-10-03,0,47184,43278,1066
2020-10-04,0,47428,43418,1066
2020-10-05,0,47635,43521,1066
2020-10-06,0,47799,43644,1066
2020-10-07,0,48097,43798,1069
2020-10-08,0,48097,43798,1069
