date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,0,0
2020-03-13,0,5,0,0
2020-03-14,0,6,0,0
2020-03-15,0,18,0,1
2020-03-16,0,47,0,1
2020-03-17,8002,98,0,2
2020-03-18,10017,191,0,3
2020-03-19,11998,359,0,4
2020-03-20,15624,670,0,9
2020-03-21,18604,947,0,21
2020-03-22,20345,1236,0,30
2020-03-23,24017,1529,0,37
2020-03-24,27969,1872,26,44
2020-03-25,33004,2433,0,59
2020-03-26,40290,3629,0,75
2020-03-27,47823,5698,42,92
2020-03-28,55464,7402,70,108
2020-03-29,65446,9217,105,131
2020-03-30,76981,10827,162,168
2020-03-31,92403,13531,243,214
2020-04-01,106799,15679,333,277
2020-04-02,125556,18315,415,356
2020-04-03,141716,20921,484,425
2020-04-04,161380,23934,786,501
2020-04-05,181446,27069,1042,574
2020-04-06,202845,30217,1326,649
2020-04-07,222868,34109,1582,725
2020-04-08,247768,38226,1846,812
2020-04-09,276346,42282,2142,908
2020-04-10,307210,47029,2423,1006
2020-04-11,340380,52167,2965,1101
2020-04-12,376100,56956,3446,1198
2020-04-13,410556,61049,3957,1296
2020-04-14,443626,65111,4799,1403
2020-04-15,477716,69392,5674,1518
2020-04-16,518143,74193,7089,1643
2020-04-17,558413,78546,8631,1769
2020-04-18,598933,82329,10453,1890
2020-04-19,634277,86306,11976,2017
2020-04-20,673980,90980,13430,2140
2020-04-21,713409,95591,14918,2259
2020-04-22,750944,98674,16477,2376
2020-04-23,791906,101790,18491,2491
2020-04-24,830257,104912,21737,2600
2020-04-25,868565,107773,25582,2706
2020-04-26,898742,110130,29140,2805
2020-04-27,918885,112261,33791,2900
2020-04-28,948115,114653,38809,2992
2020-04-29,991613,117589,44040,3081
2020-04-30,1033617,120204,48886,3174
2020-05-01,1075048,122392,53808,3258
2020-05-02,1111366,124375,58259,3336
2020-05-03,1135367,126045,63151,3397
2020-05-04,1171138,127659,68166,3461
2020-05-05,1204421,129491,73285,3520
2020-05-06,1234724,131744,78202,3584
2020-05-07,1265119,133721,82984,3641
2020-05-08,1298806,135569,86396,3689
2020-05-09,1334411,137115,89480,3739
2020-05-10,1370598,138657,92691,3786
2020-05-11,1403320,139771,95780,3841
2020-05-12,1440671,141475,98889,3894
2020-05-13,1474003,143114,101715,3952
2020-05-14,1508824,144749,104030,4007
2020-05-15,1547389,146457,106133,4055
2020-05-16,1589625,148067,108137,4096
2020-05-17,1624994,149435,109962,4140
2020-05-18,1650135,150593,111577,4171
2020-05-19,1675517,151615,112895,4199
2020-05-20,1696355,152587,113987,4222
2020-05-21,1729988,153548,114990,4249
2020-05-22,1767495,154500,116111,4276
2020-05-23,1807673,155686,117602,4308
2020-05-24,1832262,156827,118694,4340
2020-05-25,1853754,157814,120015,4369
2020-05-26,1873607,158762,121507,4397
2020-05-27,1894650,159797,122793,4431
2020-05-28,1928209,160979,124369,4461
2020-05-29,1964364,162120,125963,4489
2020-05-30,2003594,163103,126984,4515
2020-05-31,2039194,163942,127973,4540
2020-06-01,2070719,164769,128947,4563
2020-06-02,2103044,165555,129921,4585
2020-06-03,2155349,166422,130852,4609
2020-06-04,2209583,167410,131778,4630
2020-06-05,2267412,168340,133400,4648
2020-06-06,2303258,169218,135322,4669
2020-06-07,2338593,170132,137969,4692
2020-06-08,2377954,171121,141380,4711
2020-06-09,2415179,172114,144598,4729
2020-06-10,2451700,173036,146839,4746
2020-06-11,2500890,174023,147860,4763
2020-06-12,2541903,175218,149102,4778
2020-06-13,2586995,176677,150087,4792
2020-06-14,2632171,178239,151417,4807
2020-06-15,2674203,179831,152364,4825
2020-06-16,2721004,181298,153379,4842
2020-06-17,2773904,182727,154640,4861
2020-06-18,2822316,184031,156022,4882
2020-06-19,2863632,185245,157516,4905
2020-06-20,2904744,186493,158828,4927
2020-06-21,2945240,187685,160240,4950
2020-06-22,2986653,188897,161533,4974
2020-06-23,3029635,190165,162848,5001
2020-06-24,3083121,191657,164234,5025
2020-06-25,3135424,193115,165706,5046
2020-06-26,3186622,194511,167198,5065
2020-06-27,3231835,195883,169182,5082
2020-06-28,3280144,197239,170595,5097
2020-06-29,3331158,198613,171809,5115
2020-06-30,3381650,199906,173111,5131
2020-07-01,3433963,201098,175422,5150
2020-07-02,3483677,202284,176965,5167
2020-07-03,3535818,203456,178278,5186
2020-07-04,3584066,204610,179492,5206
2020-07-05,3630480,205758,180680,5225
2020-07-06,3682673,206844,182995,5241
2020-07-07,3733218,207897,185292,5260
2020-07-08,3782520,208938,187511,5282
2020-07-09,3832623,209962,190390,5300
2020-07-10,3881410,210965,191883,5323
2020-07-11,3930223,211981,193217,5344
2020-07-12,3975455,212993,194515,5363
2020-07-13,4021947,214001,195671,5382
2020-07-14,4065178,214993,196720,5402
2020-07-15,4107498,215940,197733,5419
2020-07-16,4149909,216873,198820,5440
2020-07-17,4191124,217799,199834,5458
2020-07-18,4232067,218717,201013,5475
2020-07-19,4273377,219641,202010,5491
2020-07-20,4316781,220572,203002,5508
2020-07-21,4359627,221500,204011,5526
2020-07-22,4403031,222402,205214,5545
2020-07-23,4446374,223315,206365,5563
2020-07-24,4489360,224252,207374,5580
2020-07-25,4532672,225173,208477,5596
2020-07-26,4572688,226100,209487,5613
2020-07-27,4617971,227019,210469,5630
2020-07-28,4665383,227982,211561,5645
2020-07-29,4711095,228924,212557,5659
2020-07-30,4754331,229891,213539,5674
2020-07-31,4800823,230873,214535,5691
2020-08-01,4845669,231869,215516,5710
2020-08-02,4885916,232856,216494,5728
2020-08-03,4927217,233851,217497,5747
2020-08-04,4973466,234934,218491,5765
2020-08-05,5027308,236112,219506,5784
2020-08-06,5081802,237265,220546,5798
2020-08-07,5138528,238450,221574,5813
2020-08-08,5202370,239622,222656,5829
2020-08-09,5263816,240804,223759,5844
2020-08-10,5326035,241997,224970,5858
2020-08-11,5387751,243180,226155,5873
2020-08-12,5454988,244392,227089,5891
2020-08-13,5521880,245635,228057,5912
2020-08-14,5592072,246861,228980,5934
2020-08-15,5659286,248117,229972,5955
2020-08-16,5725242,249309,230969,5974
2020-08-17,5800088,250542,231971,5996
2020-08-18,5882406,251805,232913,6016
2020-08-19,5969629,253108,233915,6039
2020-08-20,6061930,254520,234797,6058
2020-08-21,6154157,255723,235569,6080
2020-08-22,6247164,257032,236370,6102
2020-08-23,6327466,258249,237165,6121
2020-08-24,6423409,259692,237908,6139
2020-08-25,6521640,261194,238795,6163
2020-08-26,6621749,262507,239797,6183
2020-08-27,6727860,263998,240792,6209
2020-08-28,6835674,265515,241809,6245
2020-08-29,6937088,267064,242812,6284
2020-08-30,7028390,268546,243839,6326
2020-08-31,7138492,270133,244926,6370
2020-09-01,7247935,271705,245929,6417
2020-09-02,7355862,273301,246876,6462
2020-09-03,7466087,274943,248087,6511
2020-09-04,7583200,276555,249108,6564
2020-09-05,7682697,278228,250092,6620
2020-09-06,7779539,279806,251105,6673
2020-09-07,7883464,281509,252152,6730
2020-09-08,7994029,283270,253245,6782
2020-09-09,8105222,284943,254188,6837
2020-09-10,8212924,286455,255407,6895
2020-09-11,8325137,288126,256524,6951
2020-09-12,8423463,289635,257731,6999
2020-09-13,8519560,291162,258833,7056
2020-09-14,8632123,292878,260058,7119
2020-09-15,8742535,294620,261260,7186
2020-09-16,8855180,296391,262602,7249
2020-09-17,8965165,298039,263745,7315
2020-09-18,9076278,299810,264805,7377
2020-09-19,9173694,301348,266117,7445
2020-09-20,9269015,302867,267233,7506
2020-09-21,9381957,304610,268435,7574
