date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,3,0,0
2020-03-09,0,3,0,0
2020-03-10,0,7,0,0
2020-03-11,0,10,0,0
2020-03-12,0,16,0,0
2020-03-13,0,32,0,0
2020-03-14,0,44,0,0
2020-03-15,1545,54,0,0
2020-03-16,1913,63,0,0
2020-03-17,1913,72,0,0
2020-03-18,1991,105,0,1
2020-03-19,2439,123,0,1
2020-03-20,2707,137,0,1
2020-03-21,3247,178,0,1
2020-03-22,3489,185,7,0
2020-03-23,3518,186,7,0
2020-03-24,3518,204,7,0
2020-03-25,3518,216,7,0
2020-03-26,5664,226,2,0
2020-03-27,5664,269,2,0
2020-03-28,7131,292,2,0
2020-03-29,7131,314,2,0
2020-03-30,7131,336,7,0
2020-03-31,7131,363,3,0
2020-04-01,7131,400,3,1
2020-04-02,11742,426,5,1
2020-04-03,13631,450,10,1
2020-04-04,15155,471,10,1
2020-04-05,15155,485,10,1
2020-04-06,15155,534,8,2
2020-04-07,15155,581,13,2
2020-04-08,21371,682,16,2
2020-04-09,23672,701,23,2
2020-04-10,25846,715,23,2
2020-04-11,27426,728,23,2
2020-04-12,28750,742,23,2
2020-04-13,30052,769,107,2
2020-04-14,31491,835,113,2
2020-04-15,34458,863,151,6
2020-04-16,37809,977,167,8
2020-04-17,40953,1049,175,9
2020-04-18,44276,1089,213,11
2020-04-19,46734,1161,229,12
2020-04-20,49428,1173,251,13
2020-04-21,53893,1199,258,14
2020-04-22,53893,1244,284,14
2020-04-23,57421,1325,288,15
2020-04-24,61261,1360,355,17
2020-04-25,66089,1373,386,17
2020-04-26,70928,1379,394,18
2020-04-27,74099,1381,403,18
2020-04-28,75866,1384,423,20
2020-04-29,81338,1391,484,22
2020-04-30,85922,1396,524,23
2020-05-01,91072,1403,558,23
2020-05-02,94770,1407,608,24
2020-05-03,96220,1408,619,24
2020-05-04,97804,1413,643,25
2020-05-05,99864,1421,741,25
2020-05-06,104606,1429,762,25
2020-05-07,109767,1445,806,26
2020-05-08,114461,1455,905,26
2020-05-09,118371,1455,919,26
2020-05-10,119859,1457,941,26
2020-05-11,120645,1457,959,26
2020-05-12,122708,1465,983,27
2020-05-13,127034,1469,1060,27
2020-05-14,131910,1477,1112,27
2020-05-15,135902,1480,1131,27
2020-05-16,139986,1493,1151,28
2020-05-17,142462,1494,1163,28
2020-05-18,143433,1495,1185,28
2020-05-19,145474,1495,1192,28
2020-05-20,148845,1496,1231,28
2020-05-21,148845,1502,1245,28
2020-05-22,154529,1503,1256,28
2020-05-23,156765,1504,1280,28
2020-05-24,158414,1509,1301,28
2020-05-25,159059,1511,1307,28
2020-05-26,160523,1513,1322,28
2020-05-27,163362,1515,1327,28
2020-05-28,165714,1520,1332,28
2020-05-29,167562,1520,1338,28
2020-05-30,170995,1521,1356,28
2020-05-31,172601,1521,1366,28
2020-06-01,172875,1522,1368,28
2020-06-02,179293,1522,1372,28
2020-06-03,181629,1525,1375,28
2020-06-04,183764,1526,1376,28
2020-06-05,185596,1526,1379,28
2020-06-06,188235,1528,1379,28
2020-06-07,189415,1528,1389,28
2020-06-08,189575,1530,1396,28
2020-06-09,190426,1531,1402,28
2020-06-10,191971,1533,1404,28
2020-06-11,193471,1541,1409,28
2020-06-12,194733,1542,1409,28
2020-06-13,196244,1545,1410,28
2020-06-14,196723,1548,1410,28
2020-06-15,196770,1552,1410,28
2020-06-16,197617,1552,1426,28
2020-06-17,198780,1561,1437,28
2020-06-18,199567,1562,1443,28
2020-06-19,200373,1576,1447,28
2020-06-20,201651,1586,1447,28
2020-06-21,201952,1587,1447,28
2020-06-22,201993,1588,1447,28
2020-06-23,202654,1589,1448,28
2020-06-24,203911,1607,1448,28
2020-06-25,204847,1630,1452,28
2020-06-26,206362,1643,1455,28
2020-06-27,207973,1657,1455,28
2020-06-28,208904,1664,1461,28
2020-06-29,208966,1665,1464,28
2020-06-30,209750,1667,1464,28
2020-07-01,211813,1687,1466,28
2020-07-02,213521,1700,1466,28
2020-07-03,215322,1720,1466,28
2020-07-04,217538,1749,1466,28
2020-07-05,218346,1764,1466,28
2020-07-06,218396,1765,1466,28
2020-07-07,219269,1767,1473,28
2020-07-08,221494,1798,1473,28
2020-07-09,223778,1851,1477,28
2020-07-10,225950,1870,1481,28
2020-07-11,228829,1893,1493,28
2020-07-12,229789,1901,1493,28
2020-07-13,230068,1902,1493,28
2020-07-14,231231,1908,1493,28
2020-07-15,233436,1927,1507,28
2020-07-16,235772,1951,1514,28
2020-07-17,237634,1965,1523,28
2020-07-18,239795,1976,1523,28
2020-07-19,240205,1979,1530,28
2020-07-20,240229,1980,1538,28
2020-07-21,243562,2021,1538,28
2020-07-22,246133,2058,1556,28
2020-07-23,248384,2089,1556,28
2020-07-24,250433,2118,1577,28
2020-07-25,252708,2141,1577,28
2020-07-26,253475,2179,1577,28
2020-07-27,253691,2181,1616,28
2020-07-28,255239,2204,1644,28
2020-07-29,257535,2245,1660,28
2020-07-30,259386,2265,1675,28
2020-07-31,261562,2292,1695,29
2020-08-01,264446,2337,1742,29
2020-08-02,265031,2344,1742,29
2020-08-03,265797,2354,1746,29
2020-08-04,267117,2368,1771,29
2020-08-05,269655,2417,1777,29
2020-08-06,272322,2480,1824,29
2020-08-07,274795,2523,1846,31
2020-08-08,277894,2566,1861,31
2020-08-09,278962,2596,1864,31
2020-08-10,279526,2599,1866,31
2020-08-11,280980,2615,1874,31
2020-08-12,284111,2690,1884,31
2020-08-13,286852,2739,1939,31
2020-08-14,289590,2801,1944,31
2020-08-15,292825,2855,1969,31
2020-08-16,294838,2902,1969,31
2020-08-17,295319,2907,1969,31
2020-08-18,296902,2922,1980,31
2020-08-19,300586,3022,1997,33
2020-08-20,304021,3102,2014,33
2020-08-21,304086,3225,2045,33
2020-08-22,311099,3316,2147,33
2020-08-23,312822,3356,2148,33
2020-08-24,312822,3424,2153,33
2020-08-25,315854,3452,2167,33
2020-08-26,319944,3536,2192,33
2020-08-27,327940,3626,2206,33
2020-08-28,327940,3728,2225,33
2020-08-29,332393,3842,2254,33
2020-08-30,334344,3876,2278,33
2020-08-31,334932,3917,2377,33
2020-09-01,337695,3989,2478,33
2020-09-02,340123,4042,2523,33
2020-09-03,343642,4163,2617,37
2020-09-04,348414,4300,2693,37
2020-09-05,354361,4526,2797,37
2020-09-06,356823,4614,2802,37
2020-09-07,357745,4636,2836,37
2020-09-08,360636,4727,2913,37
2020-09-09,365945,4888,2947,37
2020-09-10,370966,5066,3001,37
2020-09-11,375232,5252,3081,37
2020-09-12,381423,5453,3114,38
2020-09-13,384503,5532,3124,38
2020-09-14,385928,5580,3129,38
2020-09-15,390251,5768,3214,38
2020-09-16,393486,5860,3220,38
2020-09-17,397513,6021,3288,39
2020-09-18,403055,6256,3390,39
2020-09-19,408805,6546,3519,39
2020-09-20,412248,6677,3548,39
2020-09-21,414200,6756,3571,39
2020-09-22,416864,6931,3668,40
2020-09-23,423095,7269,3888,41
2020-09-24,428308,7629,3978,41
2020-09-25,433848,8048,4036,41
2020-09-26,440331,8600,4098,44
2020-09-27,445986,9078,4178,44
2020-09-28,447940,9343,4213,44
2020-09-29,450501,9574,4329,45
2020-09-30,457851,10141,4395,48
2020-10-01,467021,10938,4620,48
2020-10-02,474845,11617,4756,54
2020-10-03,474845,12321,4793,54
2020-10-04,492902,13139,4828,55
2020-10-05,496284,13492,4865,55
2020-10-06,500034,13812,5027,55
2020-10-07,500034,13812,5027,55
