date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,2,0,0
2020-03-09,0,2,0,0
2020-03-10,150,5,0,0
2020-03-11,178,7,0,0
2020-03-12,249,7,0,0
2020-03-13,291,16,0,0
2020-03-14,361,18,0,0
2020-03-15,392,18,0,0
2020-03-16,459,20,0,0
2020-03-17,529,24,0,0
2020-03-18,615,29,0,0
2020-03-19,694,39,0,1
2020-03-20,820,54,0,1
2020-03-21,955,60,0,1
2020-03-22,1087,75,1,3
2020-03-23,1225,89,1,3
2020-03-24,1454,114,1,4
2020-03-25,1763,173,2,5
2020-03-26,2045,197,2,6
2020-03-27,2769,227,2,6
2020-03-28,3305,278,2,8
2020-03-29,3752,312,2,8
2020-03-30,4194,312,3,8
2020-03-31,4744,394,3,10
2020-04-01,5130,423,5,12
2020-04-02,5736,455,5,14
2020-04-03,6485,495,5,18
2020-04-04,7145,553,5,18
2020-04-05,8274,574,5,22
2020-04-06,8878,596,5,22
2020-04-07,9570,623,25,23
2020-04-08,10087,628,25,24
2020-04-09,10676,643,25,25
2020-04-10,11238,671,25,25
2020-04-11,11825,685,43,28
2020-04-12,12415,707,43,31
2020-04-13,13137,726,43,34
2020-04-14,13930,747,43,34
2020-04-15,14640,780,43,35
2020-04-16,15332,822,43,37
2020-04-17,16098,864,43,37
2020-04-18,17287,864,43,37
2020-04-19,18165,879,43,38
2020-04-20,18861,884,148,38
2020-04-21,19411,884,148,38
2020-04-22,19849,909,190,38
2020-04-23,20408,918,190,38
2020-04-24,20818,922,194,38
2020-04-25,21081,939,207,38
2020-04-26,21477,949,216,38
2020-04-27,22062,967,279,39
2020-04-28,22957,975,279,40
2020-04-29,23526,980,294,40
2020-04-30,24055,994,305,41
2020-05-01,24406,998,316,41
2020-05-02,24853,1009,323,42
2020-05-03,25165,1013,328,42
2020-05-04,25555,1018,406,43
2020-05-05,25967,1022,482,43
2020-05-06,27420,1025,591,43
2020-05-07,29297,1026,600,44
2020-05-08,32818,1030,638,45
2020-05-09,33266,1032,660,45
2020-05-10,33880,1032,700,45
2020-05-11,34323,1032,727,45
2020-05-12,36523,1032,740,45
2020-05-13,37862,1032,759,45
2020-05-14,39778,1032,770,45
2020-05-15,40559,1035,802,45
2020-05-16,41620,1037,807,45
2020-05-17,42489,1037,816,45
2020-05-18,43723,1043,819,46
2020-05-19,45308,1044,826,47
2020-05-20,46628,1045,862,47
2020-05-21,47649,1046,883,47
2020-05-22,47816,1048,903,47
2020-05-23,48476,1048,914,48
2020-05-24,49113,1051,917,48
2020-05-25,49951,1051,919,48
2020-05-26,50380,1051,929,48
2020-05-27,51171,1051,929,48
2020-05-28,51881,1068,938,48
2020-05-29,52503,1071,946,48
2020-05-30,52874,1076,950,48
2020-05-31,53161,1077,960,48
2020-06-01,53539,1084,964,48
2020-06-02,54150,1086,965,48
2020-06-03,54653,1087,965,49
2020-06-04,55358,1087,968,49
2020-06-05,55419,1087,969,49
2020-06-06,55579,1087,977,49
2020-06-07,55891,1087,982,49
2020-06-08,56210,1087,982,49
2020-06-09,57273,1087,982,49
2020-06-10,58770,1087,983,49
2020-06-11,59887,1087,989,49
2020-06-12,60872,1093,995,49
2020-06-13,61430,1094,995,49
2020-06-14,62922,1096,998,49
2020-06-15,63631,1110,999,49
2020-06-16,64910,1125,1002,49
2020-06-17,65515,1128,1004,50
2020-06-18,67045,1132,1006,50
2020-06-19,67234,1146,1014,50
2020-06-20,67456,1156,1017,50
2020-06-21,68104,1157,1020,50
2020-06-22,68321,1159,1020,50
2020-06-23,68542,1159,1023,50
2020-06-24,68784,1160,1023,50
2020-06-25,69137,1162,1023,50
2020-06-26,69219,1164,1023,50
2020-06-27,69527,1168,1025,50
2020-06-28,70040,1169,1029,50
2020-06-29,70614,1172,1029,50
2020-06-30,71198,1174,1031,50
2020-07-01,71689,1175,1038,50
2020-07-02,72902,1178,1039,50
2020-07-03,73352,1181,1045,50
2020-07-04,73610,1186,1046,50
2020-07-05,74408,1188,1048,50
2020-07-06,75539,1199,1049,50
2020-07-07,76418,1205,1049,50
2020-07-08,77593,1221,1050,50
2020-07-09,78567,1231,1055,50
2020-07-10,79144,1240,1067,50
2020-07-11,79747,1245,1076,50
2020-07-12,80538,1263,1076,50
2020-07-13,81281,1302,1082,50
2020-07-14,82418,1306,1087,50
2020-07-15,83054,1319,1091,50
2020-07-16,83823,1327,1093,50
2020-07-17,84245,1336,1095,50
2020-07-18,85091,1348,1095,50
2020-07-19,85917,1374,1097,50
2020-07-20,86862,1381,1099,50
2020-07-21,87861,1389,1103,50
2020-07-22,89318,1394,1108,50
2020-07-23,89848,1406,1118,50
2020-07-24,90175,1425,1124,50
2020-07-25,91256,1443,1133,50
2020-07-26,92710,1452,1142,50
2020-07-27,94271,1455,1157,50
2020-07-28,95858,1468,1168,50
2020-07-29,96189,1488,1178,50
2020-07-30,96288,1514,1187,50
2020-07-31,96537,1535,1195,50
2020-08-01,97245,1552,1217,51
2020-08-02,98823,1561,1221,51
2020-08-03,100298,1565,1225,51
2020-08-04,102041,1584,1227,51
2020-08-05,103423,1601,1233,51
2020-08-06,104706,1642,1241,51
2020-08-07,105356,1656,1251,51
2020-08-08,106332,1678,1259,51
2020-08-09,107534,1697,1263,51
2020-08-10,108823,1717,1265,51
2020-08-11,110023,1738,1272,52
2020-08-12,111517,1780,1278,52
2020-08-13,113025,1847,1302,53
2020-08-14,113972,1903,1320,53
2020-08-15,115376,2023,1327,54
2020-08-16,117086,2107,1358,54
2020-08-17,119193,2185,1362,56
2020-08-18,120892,2314,1370,57
2020-08-19,122899,2427,1395,60
2020-08-20,125135,2543,1397,63
2020-08-21,126596,2607,1420,64
2020-08-22,129104,2738,1434,68
2020-08-23,131355,2818,1443,71
2020-08-24,133944,2893,1454,71
2020-08-25,136941,3069,1456,71
2020-08-26,139527,3206,1476,71
2020-08-27,142194,3323,1504,73
2020-08-28,144042,3461,1522,74
2020-08-29,146307,3572,1536,76
2020-08-30,148212,3685,1562,76
2020-08-31,150795,3803,1573,77
2020-09-01,153392,3963,1624,80
2020-09-02,155862,4196,1628,81
2020-09-03,158679,4394,1681,84
2020-09-04,159597,4542,1699,87
2020-09-05,162200,4776,1701,93
2020-09-06,165423,5041,1752,93
2020-09-07,168475,5124,1788,94
2020-09-08,171786,5417,1862,96
2020-09-09,177904,5417,1862,96
2020-09-10,179035,5882,1862,99
2020-09-11,179035,6259,1956,103
2020-09-12,179035,6635,1991,107
2020-09-13,190241,6635,1991,107
2020-09-14,194127,7382,2175,117
2020-09-15,200459,7623,2262,123
2020-09-16,203051,8100,2309,129
2020-09-17,203051,8570,2342,133
2020-09-18,203051,8570,2342,133
2020-09-19,203051,9110,2366,138
2020-09-20,203051,10732,2386,159
2020-09-21,203051,11260,2386,164
2020-09-22,203051,11260,2386,164
2020-09-23,203051,12479,2386,174
2020-09-24,203051,13305,5032,180
2020-09-25,225033,14392,5032,191
2020-09-26,225033,14392,5032,191
2020-09-27,225033,16114,5032,214
2020-09-28,225033,16114,5032,214
2020-09-29,225033,17405,5032,246
2020-09-30,225033,18413,5032,265
2020-10-01,225033,18413,5032,265
2020-10-02,225033,19721,5032,271
2020-10-03,225033,20944,5032,276
2020-10-04,225033,22230,5032,321
2020-10-05,225033,22230,5032,321
2020-10-06,225033,22230,5032,321
2020-10-07,225033,24542,5032,364
2020-10-08,225033,24542,5032,364
