date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,1,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,0,0
2020-03-13,0,1,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,1,0,0
2020-03-17,0,5,0,0
2020-03-18,0,6,0,0
2020-03-19,0,6,0,0
2020-03-20,0,6,0,0
2020-03-21,0,10,0,0
2020-03-22,0,10,0,0
2020-03-23,0,10,0,0
2020-03-24,0,10,0,0
2020-03-25,0,10,0,0
2020-03-26,0,11,0,0
2020-03-27,0,11,0,0
2020-03-28,0,12,0,0
2020-03-29,0,12,0,0
2020-03-30,0,12,2,0
2020-03-31,0,12,2,0
2020-04-01,0,14,2,0
2020-04-02,0,14,2,0
2020-04-03,0,14,2,0
2020-04-04,0,14,2,0
2020-04-05,0,14,2,0
2020-04-06,0,15,2,0
2020-04-07,0,15,4,0
2020-04-08,0,16,4,0
2020-04-09,0,16,4,0
2020-04-10,0,16,4,0
2020-04-11,0,16,4,0
2020-04-12,0,16,4,0
2020-04-13,0,17,4,0
2020-04-14,0,30,5,0
2020-04-15,0,30,5,0
2020-04-16,0,31,5,0
2020-04-17,0,31,5,0
2020-04-18,0,31,5,0
2020-04-19,0,32,7,0
2020-04-20,0,33,7,0
2020-04-21,0,34,8,0
2020-04-22,0,35,8,0
2020-04-23,0,36,9,0
2020-04-24,0,37,9,0
2020-04-25,0,37,9,0
2020-04-26,0,38,9,0
2020-04-27,0,38,10,0
2020-04-28,0,38,10,0
2020-04-29,0,38,10,0
2020-04-30,0,38,10,0
2020-05-01,0,38,10,0
2020-05-02,0,39,10,0
2020-05-03,0,39,10,0
2020-05-04,0,40,12,0
2020-05-05,0,41,13,0
2020-05-06,0,41,13,0
2020-05-07,0,41,13,0
2020-05-08,0,42,13,0
2020-05-09,0,42,14,0
2020-05-10,0,42,14,0
2020-05-11,0,42,14,0
2020-05-12,0,42,15,0
2020-05-13,0,42,15,0
2020-05-14,0,98,15,0
2020-05-15,0,98,20,0
2020-05-16,0,135,20,0
2020-05-17,0,136,21,0
2020-05-18,0,140,24,0
2020-05-19,0,140,26,0
2020-05-20,0,140,26,0
2020-05-21,0,140,26,0
2020-05-22,0,141,28,0
2020-05-23,0,141,30,0
2020-05-24,0,141,32,0
2020-05-25,0,141,33,0
2020-05-26,0,141,37,0
2020-05-27,0,148,43,0
2020-05-28,0,161,43,0
2020-05-29,0,179,43,0
2020-05-30,0,179,44,0
2020-05-31,0,179,44,0
2020-06-01,0,185,44,0
2020-06-02,0,185,44,0
2020-06-03,0,185,44,0
2020-06-04,0,186,65,0
2020-06-05,0,191,70,0
2020-06-06,0,193,75,0
2020-06-07,0,193,75,0
2020-06-08,0,194,75,0
2020-06-09,0,194,87,0
2020-06-10,0,194,89,0
2020-06-11,0,197,95,0
2020-06-12,0,197,95,0
2020-06-13,0,197,98,0
2020-06-14,0,197,98,0
2020-06-15,0,197,109,0
2020-06-16,0,197,111,0
2020-06-17,0,201,127,0
2020-06-18,0,204,132,0
2020-06-19,0,204,139,0
2020-06-20,0,206,139,0
2020-06-21,0,213,153,0
2020-06-22,0,215,158,0
2020-06-23,0,215,168,0
2020-06-24,0,216,169,0
2020-06-25,0,219,170,0
2020-06-26,0,219,175,0
2020-06-27,0,219,175,0
2020-06-28,0,220,175,0
2020-06-29,0,220,175,0
2020-06-30,0,220,176,0
2020-07-01,0,220,177,0
2020-07-02,0,220,179,0
2020-07-03,0,220,183,0
2020-07-04,0,220,185,0
2020-07-05,0,220,188,0
2020-07-06,0,225,194,0
2020-07-07,0,227,195,0
2020-07-08,0,227,197,0
2020-07-09,0,227,197,0
2020-07-10,0,227,200,0
2020-07-11,0,230,202,0
2020-07-12,0,230,203,0
2020-07-13,0,243,204,0
2020-07-14,0,261,207,0
2020-07-15,0,261,209,0
2020-07-16,0,262,211,0
2020-07-17,0,287,211,0
2020-07-18,0,287,213,0
2020-07-19,0,287,213,0
2020-07-20,0,287,213,0
2020-07-21,0,287,213,0
2020-07-22,0,287,214,0
2020-07-23,0,288,217,0
2020-07-24,0,288,218,0
2020-07-25,0,288,218,0
2020-07-26,0,288,218,0
2020-07-27,0,289,222,0
2020-07-28,0,291,225,0
2020-07-29,0,291,225,0
2020-07-30,0,291,225,0
2020-07-31,0,291,230,0
2020-08-01,0,293,230,0
2020-08-02,0,293,230,0
2020-08-03,0,293,230,0
2020-08-04,0,293,244,0
2020-08-05,0,293,260,0
2020-08-06,0,293,260,0
2020-08-07,0,293,260,0
2020-08-08,0,293,260,0
2020-08-09,0,293,263,0
2020-08-10,0,293,263,0
2020-08-11,0,293,269,0
2020-08-12,0,297,269,0
2020-08-13,0,297,269,0
2020-08-14,0,298,272,0
2020-08-15,0,298,276,0
2020-08-16,0,298,276,0
2020-08-17,0,298,278,0
2020-08-18,0,298,281,0
2020-08-19,0,298,281,0
2020-08-20,0,298,283,0
2020-08-21,0,298,288,0
2020-08-22,0,298,288,0
2020-08-23,0,298,289,0
2020-08-24,0,298,289,0
2020-08-25,0,300,289,0
2020-08-26,0,301,291,0
2020-08-27,0,301,291,0
2020-08-28,0,301,291,0
2020-08-29,0,301,295,0
2020-08-30,0,301,295,0
2020-08-31,0,304,295,0
2020-09-01,0,306,296,0
2020-09-02,0,306,296,0
2020-09-03,0,310,296,0
2020-09-04,0,310,296,0
2020-09-05,0,310,296,0
2020-09-06,0,310,296,0
2020-09-07,0,310,296,0
2020-09-08,0,310,296,0
2020-09-09,0,310,298,0
2020-09-10,0,311,298,0
2020-09-11,0,311,298,0
2020-09-12,0,311,298,0
2020-09-13,0,311,300,0
2020-09-14,0,311,301,0
2020-09-15,0,311,301,0
2020-09-16,0,311,301,0
2020-09-17,0,311,302,0
2020-09-18,0,311,302,0
2020-09-19,0,312,302,0
2020-09-20,0,312,302,0
2020-09-21,0,313,302,0
2020-09-22,0,313,302,0
2020-09-23,0,313,302,0
2020-09-24,0,313,303,0
2020-09-25,0,313,303,0
2020-09-26,0,313,303,0
2020-09-27,0,313,305,0
2020-09-28,0,313,305,0
2020-09-29,0,313,305,0
2020-09-30,0,313,307,0
2020-10-01,0,313,307,0
2020-10-02,0,313,307,0
2020-10-03,0,313,307,0
2020-10-04,0,314,307,0
2020-10-05,0,315,307,0
2020-10-06,0,315,308,0
2020-10-07,0,315,308,0
2020-10-08,0,315,308,0
