date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,1,0,0
2020-03-23,0,1,0,0
2020-03-24,0,3,0,0
2020-03-25,0,5,0,0
2020-03-26,0,7,0,0
2020-03-27,0,7,0,0
2020-03-28,205,8,0,0
2020-03-29,205,8,0,0
2020-03-30,233,8,0,0
2020-03-31,269,8,0,0
2020-04-01,288,10,0,0
2020-04-02,306,10,0,0
2020-04-03,321,10,0,0
2020-04-04,345,10,1,0
2020-04-05,367,10,1,0
2020-04-06,371,10,1,0
2020-04-07,428,10,1,0
2020-04-08,471,17,1,0
2020-04-09,487,17,1,0
2020-04-10,541,20,2,0
2020-04-11,551,20,2,0
2020-04-12,679,21,2,0
2020-04-13,683,21,2,0
2020-04-14,762,28,2,0
2020-04-15,793,29,2,0
2020-04-16,855,31,2,0
2020-04-17,898,34,2,0
2020-04-18,952,35,4,0
2020-04-19,1037,39,8,0
2020-04-20,1110,39,8,0
2020-04-21,1163,39,8,0
2020-04-22,1247,41,8,0
2020-04-23,1325,46,9,0
2020-04-24,1439,65,12,0
2020-04-25,1575,70,12,0
2020-04-26,1644,76,12,0
2020-04-27,1688,76,12,0
2020-04-28,1772,76,12,0
2020-04-29,1896,76,12,0
2020-04-30,2076,76,12,0
2020-05-01,2246,79,12,0
2020-05-02,2337,79,18,0
2020-05-03,2466,80,19,0
2020-05-04,2598,80,19,0
2020-05-05,2867,81,19,0
2020-05-06,3041,81,21,0
2020-05-07,3188,81,24,0
2020-05-08,3356,82,27,0
2020-05-09,3749,87,34,0
2020-05-10,3923,91,34,0
2020-05-11,4173,103,34,0
2020-05-12,4365,104,34,0
2020-05-13,4740,104,34,0
2020-05-14,5119,115,35,0
2020-05-15,5361,119,42,0
2020-05-16,5735,129,43,0
2020-05-17,6011,137,44,0
2020-05-18,6272,145,44,0
2020-05-19,6537,146,44,0
2020-05-20,6769,156,48,0
2020-05-21,7063,162,48,0
2020-05-22,7480,164,48,0
2020-05-23,7947,168,48,0
2020-05-24,8463,194,51,0
2020-05-25,8796,209,71,1
2020-05-26,9036,213,71,1
2020-05-27,9330,227,71,1
2020-05-28,9818,233,82,2
2020-05-29,10234,234,84,2
2020-05-30,10261,244,90,2
2020-05-31,10878,254,91,2
2020-06-01,10970,254,97,2
2020-06-02,11239,307,98,2
2020-06-03,11572,316,109,2
2020-06-04,12126,352,114,2
2020-06-05,12343,354,119,2
2020-06-06,13398,409,126,2
2020-06-07,14010,424,127,2
2020-06-08,14580,433,131,2
2020-06-09,15190,453,136,2
2020-06-10,15544,472,138,2
2020-06-11,16035,489,144,2
2020-06-12,16919,509,145,2
2020-06-13,18061,553,151,2
2020-06-14,18620,583,151,3
2020-06-15,19581,609,157,3
2020-06-16,20263,638,160,4
2020-06-17,21014,651,160,4
2020-06-18,21780,662,175,4
2020-06-19,22263,668,177,4
2020-06-20,23104,688,177,4
2020-06-21,23760,733,181,5
2020-06-22,24348,737,181,5
2020-06-23,25042,757,206,5
2020-06-24,25446,762,220,5
2020-06-25,26204,788,221,5
2020-06-26,27123,816,223,5
2020-06-27,27956,839,225,5
2020-06-28,28647,859,228,5
2020-06-29,29404,883,229,6
2020-06-30,29577,889,232,6
2020-07-01,30334,903,248,6
2020-07-02,30939,918,249,6
2020-07-03,31784,939,249,6
2020-07-04,32498,969,256,7
2020-07-05,33125,987,256,8
2020-07-06,34036,1012,277,8
2020-07-07,35140,1040,280,8
2020-07-08,35696,1071,337,8
2020-07-09,36698,1092,340,9
2020-07-10,38010,1111,344,9
2020-07-11,39091,1135,349,9
2020-07-12,40948,1157,364,9
2020-07-13,40861,1219,369,9
2020-07-14,41745,1268,373,9
2020-07-15,42551,1330,375,9
2020-07-16,43694,1383,375,9
2020-07-17,44222,1402,397,9
2020-07-18,45180,1435,408,10
2020-07-19,46556,1491,472,10
2020-07-20,47787,1507,505,11
2020-07-21,48653,1536,506,11
2020-07-22,49492,1557,523,11
2020-07-23,50121,1582,528,11
2020-07-24,50853,1590,532,11
2020-07-25,51444,1616,543,11
2020-07-26,52422,1669,593,11
2020-07-27,53465,1701,596,11
2020-07-28,54081,1720,602,11
2020-07-29,55211,1748,616,11
2020-07-30,56160,1808,638,11
2020-07-31,57730,1864,641,11
2020-08-01,58911,1907,645,12
2020-08-02,59642,1946,654,13
2020-08-03,60473,1973,676,14
2020-08-04,62373,2029,765,15
2020-08-05,63725,2079,778,15
2020-08-06,65151,2120,795,15
2020-08-07,66542,2213,827,15
2020-08-08,67403,2241,832,16
2020-08-09,68686,2269,840,16
2020-08-10,70459,2411,860,16
2020-08-11,71351,2481,910,17
2020-08-12,72461,2559,951,19
2020-08-13,73479,2638,1015,19
2020-08-14,75430,2708,1075,19
2020-08-15,76614,2791,1136,19
2020-08-16,77584,2855,1163,19
2020-08-17,78877,2914,1196,19
2020-08-18,79504,2991,1245,19
2020-08-19,80913,3045,1291,19
2020-08-20,82264,3115,1380,20
2020-08-21,83886,3195,1406,20
2020-08-22,85137,3304,1474,20
2020-08-23,86549,3395,1503,20
2020-08-24,87565,3440,1661,21
2020-08-25,89158,3508,1809,21
2020-08-26,90566,3590,1927,21
2020-08-27,91130,3651,1968,21
2020-08-28,92046,3697,2055,21
2020-08-29,92998,3760,2078,22
2020-08-30,94696,3821,2100,23
2020-08-31,96387,3916,2170,23
2020-09-01,98455,4039,2170,23
2020-09-02,99365,4117,2170,25
2020-09-03,100873,4207,2370,26
2020-09-04,101888,4265,2511,26
2020-09-05,102456,4341,2579,26
2020-09-06,104376,4444,2615,27
2020-09-07,106382,4557,2697,27
2020-09-08,107083,4647,2715,28
2020-09-09,107758,4764,2763,28
2020-09-10,108745,4832,2857,31
2020-09-11,110310,4918,2899,31
2020-09-12,112238,5040,2905,35
2020-09-13,114333,5269,2960,35
2020-09-14,115588,5482,3024,35
2020-09-15,117029,5713,3181,37
2020-09-16,118657,5994,3267,39
2020-09-17,119689,6161,3393,39
2020-09-18,121398,6264,3502,40
2020-09-19,123212,6537,3620,41
2020-09-20,124785,6771,3622,43
2020-09-21,125633,6912,3738,44
2020-09-22,127378,7114,4064,45
2020-09-23,128805,7262,4350,49
2020-09-24,130060,7399,4558,51
2020-09-25,131579,7589,4649,53
2020-09-26,132979,7757,4769,54
2020-09-27,134011,7983,4807,58
2020-09-28,135406,8288,4836,59
2020-09-29,136683,8556,5205,59
2020-09-30,138386,8728,5232,61
2020-10-01,140310,8888,5573,62
2020-10-02,142028,8979,5595,64
2020-10-03,143281,9049,5736,64
2020-10-04,144618,9196,5852,66
2020-10-05,146106,9296,6104,66
2020-10-06,147458,9398,6358,67
2020-10-07,147458,9398,6358,67
