date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,3,0,0
2020-03-13,0,4,0,0
2020-03-14,0,4,0,0
2020-03-15,0,4,0,0
2020-03-16,0,4,0,0
2020-03-17,0,5,0,0
2020-03-18,0,7,0,1
2020-03-19,0,11,0,1
2020-03-20,0,16,0,1
2020-03-21,0,21,0,1
2020-03-22,518,35,0,1
2020-03-23,625,40,0,1
2020-03-24,738,48,1,1
2020-03-25,893,57,1,1
2020-03-26,1039,67,1,2
2020-03-27,1368,80,4,2
2020-03-28,1665,119,4,3
2020-03-29,2007,139,4,3
2020-03-30,2322,170,4,4
2020-03-31,2766,186,8,6
2020-04-01,3342,212,12,6
2020-04-02,4145,233,13,6
2020-04-03,5202,269,15,6
2020-04-04,6403,288,15,6
2020-04-05,7167,320,15,8
2020-04-06,8223,350,18,9
2020-04-07,9410,396,27,11
2020-04-08,10725,457,27,12
2020-04-09,12023,515,28,15
2020-04-10,13162,564,51,15
2020-04-11,15057,620,77,16
2020-04-12,17133,669,92,18
2020-04-13,18767,726,121,21
2020-04-14,20451,766,132,21
2020-04-15,21837,814,151,24
2020-04-16,23317,862,171,27
2020-04-17,25212,923,192,31
2020-04-18,26982,986,227,32
2020-04-19,28598,1035,255,34
2020-04-20,30416,1087,285,36
2020-04-21,32276,1137,309,38
2020-04-22,34243,1189,341,40
2020-04-23,36134,1235,365,43
2020-04-24,37991,1285,416,49
2020-04-25,39828,1337,437,51
2020-04-26,41651,1369,501,54
2020-04-27,43508,1389,525,56
2020-04-28,45344,1437,575,58
2020-04-29,47347,1467,617,58
2020-04-30,49409,1501,681,61
2020-05-01,51506,1537,714,64
2020-05-02,53545,1611,765,66
2020-05-03,55542,1649,827,67
2020-05-04,57711,1668,876,69
2020-05-05,59648,1685,954,69
2020-05-06,61613,1703,1001,69
2020-05-07,63560,1729,1031,73
2020-05-08,65509,1741,1078,74
2020-05-09,67335,1754,1140,74
2020-05-10,69182,1766,1193,77
2020-05-11,71157,1783,1229,77
2020-05-12,73129,1804,1277,78
2020-05-13,75142,1810,1326,79
2020-05-14,77374,1830,1383,79
2020-05-15,79834,1840,1425,79
2020-05-16,81917,1862,1460,79
2020-05-17,83868,1872,1495,79
2020-05-18,85556,1881,1505,79
2020-05-19,87288,1887,1538,79
2020-05-20,89031,1900,1573,79
2020-05-21,90911,1908,1603,80
2020-05-22,92629,1916,1631,81
2020-05-23,94060,1931,1671,81
2020-05-24,95511,1941,1689,82
2020-05-25,97003,1947,1704,82
2020-05-26,98381,1963,1709,82
2020-05-27,99745,1974,1724,82
2020-05-28,101108,1983,1734,82
2020-05-29,103123,2005,1760,82
2020-05-30,105274,2025,1795,83
2020-05-31,107037,2045,1809,83
2020-06-01,108389,2083,1826,83
2020-06-02,110349,2092,1827,83
2020-06-03,112449,2107,1830,83
2020-06-04,114464,2119,1839,83
2020-06-05,116468,2133,1848,83
2020-06-06,118488,2173,1855,83
2020-06-07,120536,2191,1862,83
2020-06-08,122603,2200,1868,83
2020-06-09,124947,2205,1880,83
2020-06-10,127042,2211,1886,83
2020-06-11,129132,2219,1893,84
2020-06-12,131628,2233,1902,84
2020-06-13,133763,2238,1923,84
2020-06-14,136249,2248,1948,84
2020-06-15,138831,2262,1965,84
2020-06-16,141151,2273,1994,84
2020-06-17,143733,2280,1999,84
2020-06-18,146276,2295,2020,85
2020-06-19,148812,2305,2037,85
2020-06-20,151164,2309,2071,85
2020-06-21,153233,2312,2103,85
2020-06-22,155381,2315,2113,85
2020-06-23,157387,2318,2123,85
2020-06-24,159571,2319,2130,85
2020-06-25,161674,2321,2171,85
2020-06-26,163962,2325,2180,85
2020-06-27,166335,2330,2187,86
2020-06-28,168545,2332,2201,86
2020-06-29,170791,2340,2211,86
2020-06-30,173063,2341,2214,86
2020-07-01,175372,2348,2218,86
2020-07-02,178062,2353,2221,86
2020-07-03,180697,2361,2224,86
2020-07-04,183143,2369,2227,86
2020-07-05,186518,2372,2229,86
2020-07-06,189599,2380,2234,86
2020-07-07,192443,2395,2240,86
2020-07-08,195534,2399,2242,86
2020-07-09,198675,2403,2244,86
2020-07-10,202014,2413,2249,86
2020-07-11,205120,2420,2254,87
2020-07-12,208098,2426,2258,87
2020-07-13,211427,2428,2268,87
2020-07-14,214799,2432,2275,87
2020-07-15,217560,2438,2277,87
2020-07-16,220739,2440,2285,87
2020-07-17,223698,2444,2300,87
2020-07-18,226443,2445,2304,87
2020-07-19,229357,2446,2308,87
2020-07-20,232103,2446,2308,87
2020-07-21,234817,2449,2321,87
2020-07-22,237819,2462,2326,87
2020-07-23,240894,2466,2339,87
2020-07-24,244020,2469,2341,87
2020-07-25,247203,2478,2345,87
2020-07-26,250415,2495,2349,87
2020-07-27,253761,2532,2351,87
2020-07-28,256996,2555,2352,87
2020-07-29,260451,2588,2353,87
2020-07-30,264147,2597,2355,87
2020-07-31,267649,2608,2355,87
2020-08-01,270989,2633,2367,87
2020-08-02,274474,2646,2369,87
2020-08-03,277863,2670,2373,87
2020-08-04,281595,2701,2382,88
2020-08-05,285471,2726,2396,88
2020-08-06,289412,2775,2409,88
2020-08-07,293069,2829,2429,88
2020-08-08,297331,2888,2442,88
2020-08-09,301598,2953,2451,88
2020-08-10,305652,3046,2460,88
2020-08-11,309908,3093,2472,88
2020-08-12,314499,3128,2504,88
2020-08-13,319440,3174,2525,89
2020-08-14,324043,3229,2547,88
2020-08-15,327689,3292,2568,88
2020-08-16,332039,3316,2620,88
2020-08-17,336333,3364,2692,88
2020-08-18,341323,3408,2794,88
2020-08-19,346439,3482,2863,88
2020-08-20,351663,3565,2894,88
2020-08-21,356225,3582,2951,89
2020-08-22,361092,3617,3006,89
2020-08-23,365353,3682,3044,91
2020-08-24,369889,3717,3079,91
2020-08-25,372945,3744,3102,91
2020-08-26,377494,3759,3159,92
2020-08-27,382496,3806,3195,92
2020-08-28,388194,3866,3222,92
2020-08-29,392785,3925,3273,94
2020-08-30,398223,3973,3327,94
2020-08-31,403181,4032,3378,94
2020-09-01,408727,4065,3395,95
2020-09-02,414418,4126,3458,98
2020-09-03,420273,4214,3474,100
2020-09-04,426280,4266,3487,100
2020-09-05,432040,4298,3570,100
2020-09-06,439204,4309,3590,101
2020-09-07,446776,4352,3642,102
2020-09-08,454724,4377,3700,104
2020-09-09,462293,4459,3727,104
2020-09-10,469431,4551,3779,106
2020-09-11,477559,4593,3844,106
2020-09-12,485147,4653,3878,108
2020-09-13,492527,4684,3930,108
2020-09-14,500285,4726,4040,108
2020-09-15,508224,4803,4119,108
2020-09-16,515969,4876,4131,109
2020-09-17,524374,4933,4230,109
2020-09-18,531928,5004,4249,111
2020-09-19,538652,5055,4284,113
2020-09-20,546250,5091,4412,115
2020-09-21,554425,5141,4462,116
2020-09-22,561746,5222,4506,117
2020-09-23,569371,5270,4582,118
2020-09-24,577150,5310,4613,118
2020-09-25,584894,5350,4658,118
2020-09-26,591921,5412,4732,120
2020-09-27,599020,5457,4751,122
2020-09-28,606444,5483,4787,122
2020-09-29,613994,5531,4866,122
2020-09-30,621180,5597,4893,122
2020-10-01,628725,5670,4922,122
2020-10-02,636163,5718,4922,122
2020-10-03,643701,5780,5118,122
2020-10-04,651035,5809,5145,122
2020-10-05,656805,5845,5232,123
2020-10-06,656805,5883,5278,123
2020-10-07,656805,5883,5278,123
