date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,2,0,0
2020-03-07,0,2,0,0
2020-03-08,0,5,0,0
2020-03-09,0,5,0,0
2020-03-10,0,5,0,0
2020-03-11,0,5,0,0
2020-03-12,0,5,0,0
2020-03-13,0,5,0,0
2020-03-14,0,11,0,0
2020-03-15,0,11,0,0
2020-03-16,0,11,0,0
2020-03-17,0,21,0,1
2020-03-18,88,21,0,1
2020-03-19,88,34,0,2
2020-03-20,288,72,0,2
2020-03-21,597,112,0,2
2020-03-22,788,202,0,3
2020-03-23,973,245,0,3
2020-03-24,1107,312,3,6
2020-03-25,1448,392,3,10
2020-03-26,1730,488,3,10
2020-03-27,2153,581,3,20
2020-03-28,2590,719,3,28
2020-03-29,2956,859,3,39
2020-03-30,3255,901,4,42
2020-03-31,3702,1109,5,51
2020-04-01,4018,1284,9,57
2020-04-02,4200,1380,16,60
2020-04-03,4542,1488,16,68
2020-04-04,5183,1488,16,68
2020-04-05,5489,1745,17,82
2020-04-06,5820,1828,33,86
2020-04-07,6358,1956,36,98
2020-04-08,7151,2111,50,108
2020-04-09,7936,2349,80,118
2020-04-10,8469,2620,98,126
2020-04-11,9275,2759,108,135
2020-04-12,10075,2967,131,173
2020-04-13,10448,3167,152,177
2020-04-14,11741,3286,162,183
2020-04-15,12229,3614,208,189
2020-04-16,13282,3755,215,196
2020-04-17,14373,4126,268,200
2020-04-18,15583,4335,312,217
2020-04-19,16682,4680,363,226
2020-04-20,16973,4964,416,235
2020-04-21,18261,5044,463,245
2020-04-22,19280,5300,581,260
2020-04-23,20270,5543,581,265
2020-04-24,21284,5749,763,267
2020-04-25,22498,5926,822,273
2020-04-26,23485,6135,910,278
2020-04-27,23979,6293,993,282
2020-04-28,25368,6416,1165,286
2020-04-29,26981,6652,1228,293
2020-04-30,28446,6972,1301,301
2020-05-01,30102,7288,1387,313
2020-05-02,32025,7578,1481,326
2020-05-03,33377,7954,1606,333
2020-05-04,34336,8235,1771,346
2020-05-05,35340,8480,1905,354
2020-05-06,36959,8807,1960,362
2020-05-07,38543,9095,2064,373
2020-05-08,40591,9376,2286,380
2020-05-09,42615,9882,2584,385
2020-05-10,44287,10347,2763,388
2020-05-11,45325,10634,2870,393
2020-05-12,47117,10900,3221,402
2020-05-13,47863,11196,3221,409
2020-05-14,50108,11320,3351,422
2020-05-15,52359,11739,3557,424
2020-05-16,53280,12110,3726,428
2020-05-17,55469,12314,5847,428
2020-05-18,55469,12725,6613,434
2020-05-19,59976,13223,6613,441
2020-05-20,61330,13477,7142,446
2020-05-21,63519,13657,7366,448
2020-05-22,65355,13989,7572,456
2020-05-23,67940,14422,7854,458
2020-05-24,69608,14801,8133,458
2020-05-25,70972,15073,8285,460
2020-05-26,73121,15264,8534,468
2020-05-27,74612,15723,8790,474
2020-05-28,76930,16068,8952,485
2020-05-29,79172,16531,9266,488
2020-05-30,81647,16908,9557,498
2020-05-31,83444,17285,10559,502
2020-06-01,84638,17572,10893,502
2020-06-02,86285,17752,11075,515
2020-06-03,88056,18040,11224,516
2020-06-04,90141,18319,11474,520
2020-06-05,92220,18708,11736,525
2020-06-06,94511,19195,11919,536
2020-06-07,97040,19600,12007,538
2020-06-08,98100,20126,12158,539
2020-06-09,100035,20415,12208,544
2020-06-10,102500,20808,12318,550
2020-06-11,105016,21437,12541,561
2020-06-12,107175,22008,12754,568
2020-06-13,109022,22572,13084,577
2020-06-14,110781,22962,13320,592
2020-06-15,112603,23271,14025,605
2020-06-16,114535,23686,14133,615
2020-06-17,117119,24105,14216,633
2020-06-18,119319,24645,14293,635
2020-06-19,122646,25068,14605,647
2020-06-20,125868,25778,14957,655
2020-06-21,128775,26677,15138,662
2020-06-22,130745,27370,15338,669
2020-06-23,133718,27936,15551,675
2020-06-24,135969,28631,16006,691
2020-06-25,138698,29141,16223,698
2020-06-26,142340,29764,16357,712
2020-06-27,146060,30619,16666,718
2020-06-28,148208,31373,17142,726
2020-06-29,150919,31816,17280,733
2020-06-30,154129,32568,17580,747
2020-07-01,157045,33387,17904,754
2020-07-02,160541,34197,18141,765
2020-07-03,163727,35148,18392,775
2020-07-04,167372,36184,18602,786
2020-07-05,169999,37425,18943,794
2020-07-06,171097,38128,19489,804
2020-07-07,174751,38430,19564,821
2020-07-08,178838,39588,20056,829
2020-07-09,182263,40790,20426,842
2020-07-10,185853,41915,20830,864
2020-07-11,189391,43114,20996,880
2020-07-12,192360,44532,21459,897
2020-07-13,194461,45506,22441,903
2020-07-14,198496,46305,23134,910
2020-07-15,201669,47671,23459,929
2020-07-16,205438,48743,23636,941
2020-07-17,209252,50113,24423,942
2020-07-18,213085,51519,24607,971
2020-07-19,216481,52855,25094,981
2020-07-20,218826,53956,25561,993
2020-07-21,222586,54797,25976,999
2020-07-22,226693,56043,26466,1005
2020-07-23,230654,57615,26905,1006
2020-07-24,235289,59077,27625,1036
2020-07-25,240776,60896,27980,1055
2020-07-26,244643,62908,28603,1063
2020-07-27,246953,64156,30204,1083
2020-07-28,250424,64690,32014,1101
2020-07-29,250424,66182,33947,1123
2020-07-30,250424,67915,35302,1146
2020-07-31,250424,69649,36470,1160
2020-08-01,266844,71415,37509,1170
2020-08-02,268529,72243,38244,1178
2020-08-03,273701,73117,38824,1183
2020-08-04,278435,74295,38824,1213
2020-08-05,281926,75660,40122,1222
2020-08-06,286128,76536,40539,1246
2020-08-07,290267,77709,41393,1259
2020-08-08,294039,78778,42538,1289
2020-08-09,297492,79732,43744,1309
2020-08-10,300134,80499,44910,1328
2020-08-11,304501,81094,45666,1346
2020-08-12,308187,82224,47095,1371
2020-08-13,313291,83134,47946,1393
2020-08-14,317643,84488,49539,1409
2020-08-15,322056,85545,51356,1438
2020-08-16,324463,86309,52905,1453
2020-08-17,326644,86737,54108,1481
2020-08-18,331160,87123,55504,1489
2020-08-19,335478,88127,56760,1501
2020-08-20,339860,89010,57734,1505
2020-08-21,343796,89867,59132,1533
2020-08-22,347263,90561,59949,1554
2020-08-23,350033,91161,60670,1567
2020-08-24,353254,91608,61558,1573
2020-08-25,355839,92217,62460,1585
2020-08-26,358533,92557,63478,1613
2020-08-27,360999,92964,64347,1630
2020-08-28,363807,93390,65285,1648
2020-08-29,367146,93732,66320,1673
2020-08-30,370875,94241,66776,1681
2020-08-31,373001,94715,68082,1710
2020-09-01,376121,94979,68736,1738
2020-09-02,379929,95627,69519,1765
2020-09-03,386121,96629,70871,1801
2020-09-04,391190,96629,70871,1801
2020-09-05,394791,98776,71901,1840
2020-09-06,397645,99333,72567,1845
2020-09-07,400138,99898,73228,1864
2020-09-08,403755,100131,73795,1889
2020-09-09,408014,100937,74305,1914
2020-09-10,411664,101716,75034,1926
2020-09-11,411664,102232,75747,1941
2020-09-12,419327,103092,76531,1953
2020-09-13,422070,103660,77182,1968
2020-09-14,425502,104110,77790,1984
2020-09-15,429423,104803,78387,1998
2020-09-16,433848,105521,78891,2009
2020-09-17,437317,106136,79363,2022
2020-09-18,442354,106732,80179,2034
2020-09-19,446239,107700,80820,2044
2020-09-20,449589,108289,81668,2047
2020-09-21,452188,108783,82274,2054
2020-09-22,452188,109269,82741,2064
2020-09-23,458581,109737,83434,2074
2020-09-24,458581,110122,84018,2076
2020-09-25,465821,110597,84610,2087
2020-09-26,470261,110957,85220,2093
2020-09-27,472421,111386,85965,2095
2020-09-28,472421,111666,86422,2098
2020-09-29,477407,111900,86998,2101
2020-09-30,481002,112209,87629,2105
2020-10-01,481002,112728,88205,2108
2020-10-02,488732,113350,88840,2117
2020-10-03,493091,113926,89635,2128
2020-10-04,493091,114480,90366,2134
2020-10-05,498081,115054,90942,2144
2020-10-06,498081,115371,91569,2149
