date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,1,0,0
2020-03-19,0,2,0,0
2020-03-20,0,2,0,0
2020-03-21,0,2,0,0
2020-03-22,0,2,0,0
2020-03-23,0,2,0,0
2020-03-24,0,2,0,0
2020-03-25,0,2,0,0
2020-03-26,0,3,0,0
2020-03-27,0,3,0,0
2020-03-28,0,5,0,0
2020-03-29,0,5,2,0
2020-03-30,0,5,2,1
2020-03-31,0,6,2,1
2020-04-01,0,6,2,1
2020-04-02,0,6,2,1
2020-04-03,0,6,2,1
2020-04-04,0,6,2,1
2020-04-05,0,6,2,1
2020-04-06,0,6,2,1
2020-04-07,0,6,2,1
2020-04-08,0,6,2,1
2020-04-09,0,7,2,1
2020-04-10,0,7,2,1
2020-04-11,0,7,2,1
2020-04-12,0,7,2,1
2020-04-13,0,7,2,1
2020-04-14,0,7,2,1
2020-04-15,0,7,2,1
2020-04-16,0,7,2,1
2020-04-17,0,7,2,1
2020-04-18,0,7,2,1
2020-04-19,0,7,6,1
2020-04-20,0,7,6,1
2020-04-21,0,7,6,1
2020-04-22,0,7,6,1
2020-04-23,0,7,6,1
2020-04-24,0,7,6,1
2020-04-25,0,7,6,1
2020-04-26,0,7,6,1
2020-04-27,0,7,6,1
2020-04-28,0,7,6,1
2020-04-29,0,8,6,1
2020-04-30,0,8,6,1
2020-05-01,0,8,6,1
2020-05-02,0,8,6,1
2020-05-03,0,8,6,1
2020-05-04,0,8,6,1
2020-05-05,0,8,6,1
2020-05-06,0,8,6,1
2020-05-07,0,8,6,1
2020-05-08,0,8,6,1
2020-05-09,0,8,6,1
2020-05-10,0,8,6,1
2020-05-11,0,8,6,1
2020-05-12,0,9,6,1
2020-05-13,0,15,6,2
2020-05-14,0,20,7,2
2020-05-15,0,29,7,3
2020-05-16,0,40,7,4
2020-05-17,0,62,7,4
2020-05-18,0,81,7,4
2020-05-19,0,131,7,4
2020-05-20,0,141,7,4
2020-05-21,0,173,7,5
2020-05-22,0,200,7,6
2020-05-23,0,227,7,6
2020-05-24,0,237,15,6
2020-05-25,0,262,15,9
2020-05-26,0,268,15,13
2020-05-27,0,292,15,16
2020-05-28,0,346,15,19
2020-05-29,0,423,21,20
2020-05-30,0,483,21,20
2020-05-31,0,530,27,23
2020-06-01,0,588,27,23
2020-06-02,0,668,55,31
2020-06-03,0,745,57,34
2020-06-04,0,784,65,39
2020-06-05,0,883,69,43
2020-06-06,0,947,104,49
2020-06-07,0,1049,108,55
2020-06-08,0,1104,119,59
2020-06-09,0,1162,139,61
2020-06-10,0,1283,142,71
2020-06-11,0,1439,250,74
2020-06-12,0,1572,278,81
2020-06-13,0,1682,311,83
2020-06-14,0,1783,332,87
2020-06-15,0,1887,360,91
2020-06-16,0,2057,373,93
2020-06-17,0,2223,427,95
2020-06-18,0,2424,550,97
2020-06-19,0,2621,653,102
2020-06-20,0,2813,696,108
2020-06-21,0,2984,811,111
2020-06-22,0,3121,905,112
2020-06-23,0,3292,963,114
2020-06-24,0,3519,1074,116
2020-06-25,0,3739,1225,119
2020-06-26,0,3907,1280,120
2020-06-27,0,4025,1344,121
2020-06-28,0,4149,1419,126
2020-06-29,0,4237,1497,128
2020-06-30,0,4363,1622,129
2020-07-01,0,4472,1677,129
2020-07-02,0,4606,1727,129
2020-07-03,0,4705,1765,129
2020-07-04,0,4827,1805,129
2020-07-05,0,4879,1844,130
2020-07-06,0,4948,1896,133
2020-07-07,0,5024,1944,135
2020-07-08,0,5087,1994,139
2020-07-09,0,5126,2026,144
2020-07-10,0,5203,2111,146
2020-07-11,0,5275,2160,147
2020-07-12,0,5355,2363,147
2020-07-13,0,5446,2501,147
2020-07-14,0,5518,2664,147
2020-07-15,0,5564,2830,149
2020-07-16,0,5659,2993,150
2020-07-17,0,5710,3153,151
2020-07-18,0,5813,3279,153
2020-07-19,0,5873,3436,155
2020-07-20,0,5923,3632,155
2020-07-21,0,5985,3826,155
2020-07-22,0,6027,3977,155
2020-07-23,0,6067,4086,156
2020-07-24,0,6116,4206,156
2020-07-25,0,6151,4299,156
2020-07-26,0,6171,4430,156
2020-07-27,0,6208,4653,156
2020-07-28,0,6249,4683,156
2020-07-29,0,6273,4776,156
2020-07-30,0,6295,4889,157
2020-07-31,0,6310,4962,157
2020-08-01,0,6319,5043,157
2020-08-02,0,6323,5115,157
2020-08-03,0,6382,5174,157
2020-08-04,0,6418,5209,157
2020-08-05,0,6444,5291,157
2020-08-06,0,6444,5291,157
2020-08-07,0,6498,5443,157
2020-08-08,0,6510,5527,157
2020-08-09,0,6523,5527,157
2020-08-10,0,6555,5570,157
2020-08-11,0,6598,5704,157
2020-08-12,0,6622,5741,157
2020-08-13,0,6653,5843,157
2020-08-14,0,6676,5889,157
2020-08-15,0,6693,5928,157
2020-08-16,0,6701,5985,157
2020-08-17,0,6762,6018,157
2020-08-18,0,6789,6051,157
2020-08-19,0,6829,6094,158
2020-08-20,0,6848,6123,158
2020-08-21,0,6885,6186,158
2020-08-22,0,6894,6203,158
2020-08-23,0,6905,6232,158
2020-08-24,0,6928,6282,158
2020-08-25,0,6960,6321,158
2020-08-26,0,6977,6356,158
2020-08-27,0,6993,6381,158
2020-08-28,0,7012,6407,158
2020-08-29,0,7012,6407,158
2020-08-30,0,7016,6430,159
2020-08-31,0,7048,6464,159
2020-09-01,0,7075,6464,159
2020-09-02,0,7089,6548,160
2020-09-03,0,7106,6588,160
2020-09-04,0,7126,6623,160
2020-09-05,0,7134,6658,160
2020-09-06,0,7142,6669,160
2020-09-07,0,7165,6681,160
2020-09-08,0,7165,6681,160
2020-09-09,0,7191,6701,161
2020-09-10,0,7222,6758,161
2020-09-11,0,7266,6786,161
2020-09-12,0,7274,6804,161
2020-09-13,0,7276,6825,161
2020-09-14,0,7295,6835,161
2020-09-15,0,7319,6839,161
2020-09-16,0,7332,6844,161
2020-09-17,0,7346,6865,161
2020-09-18,0,7361,6882,161
2020-09-19,0,7365,6927,161
2020-09-20,0,7368,6951,161
2020-09-21,0,7384,6977,161
2020-09-22,0,7403,7011,161
2020-09-23,0,7425,7028,161
2020-09-24,0,7433,7052,161
2020-09-25,0,7457,7070,161
2020-09-26,0,7462,7070,161
2020-09-27,0,7464,7070,161
2020-09-28,0,7474,7091,161
2020-09-29,0,7488,7111,161
2020-09-30,0,7502,7120,161
2020-10-01,0,7505,7138,161
2020-10-02,0,7511,7163,162
2020-10-03,0,7517,7174,162
2020-10-04,0,7520,7188,162
2020-10-05,0,7523,7204,162
2020-10-06,0,7529,7208,162
2020-10-07,0,7529,7208,162
