date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,1,0,0
2020-03-10,0,1,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,1,0
2020-03-13,0,1,1,0
2020-03-14,0,1,1,0
2020-03-15,0,1,1,0
2020-03-16,0,2,1,0
2020-03-17,0,39,1,0
2020-03-18,0,39,1,0
2020-03-19,0,53,1,0
2020-03-20,0,75,1,0
2020-03-21,0,88,1,0
2020-03-22,0,113,1,1
2020-03-23,0,133,1,1
2020-03-24,0,164,1,1
2020-03-25,0,188,1,1
2020-03-26,0,224,1,3
2020-03-27,0,267,1,3
2020-03-28,0,308,1,3
2020-03-29,0,334,1,6
2020-03-30,0,370,10,8
2020-03-31,0,376,10,12
2020-04-01,0,390,10,14
2020-04-02,0,428,10,15
2020-04-03,0,439,16,16
2020-04-04,0,466,21,17
2020-04-05,0,501,26,18
2020-04-06,0,525,31,21
2020-04-07,0,545,39,22
2020-04-08,0,564,52,23
2020-04-09,0,583,58,25
2020-04-10,0,601,71,26
2020-04-11,0,601,71,26
2020-04-12,0,638,128,29
2020-04-13,0,646,128,29
2020-04-14,0,659,128,31
2020-04-15,0,673,169,33
2020-04-16,0,673,169,33
2020-04-17,0,696,191,35
2020-04-18,0,704,205,35
2020-04-19,0,713,235,36
2020-04-20,0,717,248,37
2020-04-21,0,717,282,37
2020-04-22,0,723,309,37
2020-04-23,0,723,333,37
2020-04-24,0,731,344,40
2020-04-25,0,738,344,40
2020-04-26,0,738,344,40
2020-04-27,0,743,385,40
2020-04-28,0,743,398,41
2020-04-29,0,743,423,42
2020-04-30,0,745,468,42
2020-05-01,0,745,468,43
2020-05-02,0,747,472,44
2020-05-03,0,748,493,45
2020-05-04,0,750,499,45
2020-05-05,0,751,514,46
2020-05-06,0,751,521,46
2020-05-07,0,752,526,47
2020-05-08,0,752,537,47
2020-05-09,0,754,545,48
2020-05-10,0,755,550,48
2020-05-11,0,755,550,48
2020-05-12,0,758,568,48
2020-05-13,0,760,576,49
2020-05-14,0,761,596,49
2020-05-15,0,761,604,49
2020-05-16,0,761,615,51
2020-05-17,0,761,617,51
2020-05-18,0,761,624,51
2020-05-19,0,761,628,51
2020-05-20,0,762,639,51
2020-05-21,0,762,639,51
2020-05-22,0,762,652,51
2020-05-23,0,762,653,51
2020-05-24,0,762,653,51
2020-05-25,0,763,663,51
2020-05-26,0,763,676,51
2020-05-27,0,763,676,51
2020-05-28,0,763,681,51
2020-05-29,0,764,684,51
2020-05-30,0,764,692,51
2020-05-31,0,764,694,51
2020-06-01,0,765,698,51
2020-06-02,0,844,733,51
2020-06-03,0,851,735,51
2020-06-04,0,852,738,51
2020-06-05,0,852,741,51
2020-06-06,0,852,741,51
2020-06-07,0,852,744,51
2020-06-08,0,852,751,51
2020-06-09,0,852,757,51
2020-06-10,0,852,759,51
2020-06-11,0,852,780,51
2020-06-12,0,853,781,51
2020-06-13,0,853,781,51
2020-06-14,0,853,781,51
2020-06-15,0,853,789,51
2020-06-16,0,854,789,52
2020-06-17,0,854,791,52
2020-06-18,0,855,792,52
2020-06-19,0,855,792,52
2020-06-20,0,855,792,52
2020-06-21,0,855,792,52
2020-06-22,0,855,796,52
2020-06-23,0,855,797,52
2020-06-24,0,855,797,52
2020-06-25,0,855,797,52
2020-06-26,0,855,799,52
2020-06-27,0,855,799,52
2020-06-28,0,855,799,52
2020-06-29,0,855,799,52
2020-06-30,0,855,799,52
2020-07-01,0,855,799,52
2020-07-02,0,855,800,52
2020-07-03,0,855,800,52
2020-07-04,0,855,800,52
2020-07-05,0,855,800,52
2020-07-06,0,855,800,52
2020-07-07,0,855,800,52
2020-07-08,0,855,802,52
2020-07-09,0,855,802,52
2020-07-10,0,855,803,52
2020-07-11,0,855,803,52
2020-07-12,0,855,803,52
2020-07-13,0,858,803,52
2020-07-14,0,861,803,52
2020-07-15,0,862,803,52
2020-07-16,0,877,803,52
2020-07-17,0,880,803,52
2020-07-18,0,880,803,52
2020-07-19,0,880,803,52
2020-07-20,0,884,803,52
2020-07-21,0,884,803,52
2020-07-22,0,889,803,52
2020-07-23,0,889,803,52
2020-07-24,0,897,803,52
2020-07-25,0,897,803,52
2020-07-26,0,897,803,52
2020-07-27,0,907,803,52
2020-07-28,0,907,803,52
2020-07-29,0,918,804,52
2020-07-30,0,922,806,52
2020-07-31,0,925,807,52
2020-08-01,0,925,807,52
2020-08-02,0,925,807,52
2020-08-03,0,937,821,52
2020-08-04,0,939,825,52
2020-08-05,0,939,825,52
2020-08-06,0,944,828,52
2020-08-07,0,955,839,52
2020-08-08,0,955,839,52
2020-08-09,0,955,839,52
2020-08-10,0,963,839,52
2020-08-11,0,963,839,52
2020-08-12,0,977,855,53
2020-08-13,0,981,858,53
2020-08-14,0,989,863,53
2020-08-15,0,989,863,53
2020-08-16,0,989,863,53
2020-08-17,0,1005,869,53
2020-08-18,0,1005,869,53
2020-08-19,0,1024,875,53
2020-08-20,0,1024,875,53
2020-08-21,0,1045,875,53
2020-08-22,0,1045,875,53
2020-08-23,0,1045,875,53
2020-08-24,0,1060,877,53
2020-08-25,0,1060,877,53
2020-08-26,0,1098,893,53
2020-08-27,0,1098,893,53
2020-08-28,0,1124,902,53
2020-08-29,0,1124,902,53
2020-08-30,0,1124,902,53
2020-08-31,0,1176,908,53
2020-09-01,0,1184,908,53
2020-09-02,0,1199,909,53
2020-09-03,0,1199,909,53
2020-09-04,0,1215,928,53
2020-09-05,0,1215,928,53
2020-09-06,0,1215,928,53
2020-09-07,0,1261,934,53
2020-09-08,0,1261,934,53
2020-09-09,0,1301,938,53
2020-09-10,0,1301,938,53
2020-09-11,0,1344,943,53
2020-09-12,0,1344,943,53
2020-09-13,0,1344,943,53
2020-09-14,0,1438,945,53
2020-09-15,0,1438,945,53
2020-09-16,0,1483,1054,53
2020-09-17,0,1483,1054,53
2020-09-18,0,1564,1164,53
2020-09-19,0,1564,1164,53
2020-09-20,0,1564,1164,53
2020-09-21,0,1681,1199,53
2020-09-22,0,1681,1199,53
2020-09-23,0,1753,1203,53
2020-09-24,0,1753,1203,53
2020-09-25,0,1836,1263,53
2020-09-26,0,1836,1263,53
2020-09-27,0,1836,1263,53
2020-09-28,0,1966,1265,53
2020-09-29,0,1966,1265,53
2020-09-30,0,2050,1432,53
2020-10-01,0,2050,1432,53
2020-10-02,0,2110,1540,53
2020-10-03,0,2110,1540,53
2020-10-04,0,2110,1540,53
2020-10-05,0,2370,1615,53
2020-10-06,0,2370,1615,53
2020-10-07,0,2568,1715,53
2020-10-08,0,2568,1715,53
