date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,1,0,0
2020-03-19,0,1,0,0
2020-03-20,0,1,0,0
2020-03-21,0,1,0,0
2020-03-22,0,1,0,0
2020-03-23,0,1,0,0
2020-03-24,0,1,0,0
2020-03-25,0,1,0,0
2020-03-26,0,2,0,0
2020-03-27,0,3,0,0
2020-03-28,0,3,0,0
2020-03-29,0,3,0,0
2020-03-30,0,3,0,0
2020-03-31,0,5,1,0
2020-04-01,0,5,1,0
2020-04-02,0,5,1,0
2020-04-03,0,7,1,0
2020-04-04,0,7,1,0
2020-04-05,0,7,1,0
2020-04-06,0,7,1,0
2020-04-07,0,8,1,0
2020-04-08,0,12,1,1
2020-04-09,0,12,1,1
2020-04-10,0,21,1,1
2020-04-11,0,21,1,1
2020-04-12,0,25,2,1
2020-04-13,0,60,2,2
2020-04-14,0,60,2,2
2020-04-15,0,80,2,5
2020-04-16,0,80,2,5
2020-04-17,0,116,2,6
2020-04-18,0,135,2,7
2020-04-19,0,164,3,7
2020-04-20,0,237,4,8
2020-04-21,0,286,4,8
2020-04-22,0,286,4,8
2020-04-23,0,328,8,16
2020-04-24,0,328,8,16
2020-04-25,0,390,8,18
2020-04-26,0,436,10,23
2020-04-27,0,480,10,26
2020-04-28,0,528,19,28
2020-04-29,0,582,20,28
2020-04-30,0,601,31,28
2020-05-01,0,601,31,28
2020-05-02,0,671,34,31
2020-05-03,0,722,44,32
2020-05-04,0,756,61,35
2020-05-05,0,835,75,38
2020-05-06,0,873,87,39
2020-05-07,0,928,106,44
2020-05-08,0,928,106,44
2020-05-09,0,997,110,48
2020-05-10,0,1054,118,51
2020-05-11,0,1089,121,52
2020-05-12,0,1170,126,52
2020-05-13,0,1219,130,52
2020-05-14,0,1284,135,53
2020-05-15,0,1284,135,53
2020-05-16,0,1357,148,55
2020-05-17,0,1421,152,56
2020-05-18,0,1455,163,57
2020-05-19,0,1502,178,59
2020-05-20,0,1573,188,61
2020-05-21,0,1594,204,61
2020-05-22,0,1594,204,61
2020-05-23,0,1594,204,61
2020-05-24,0,1594,204,61
2020-05-25,0,1689,235,66
2020-05-26,0,1711,253,67
2020-05-27,0,1731,265,67
2020-05-28,0,1828,310,72
2020-05-29,0,1828,310,72
2020-05-30,0,1916,327,73
2020-05-31,0,1976,348,78
2020-06-01,0,2023,361,79
2020-06-02,0,2089,361,79
2020-06-03,0,2146,406,79
2020-06-04,0,2204,418,79
2020-06-05,0,2204,418,79
2020-06-06,0,2289,431,82
2020-06-07,0,2334,441,83
2020-06-08,0,2368,470,84
2020-06-09,0,2416,489,85
2020-06-10,0,2452,506,85
2020-06-11,0,2513,532,85
2020-06-12,0,2513,532,85
2020-06-13,0,2579,559,87
2020-06-14,0,2618,577,88
2020-06-15,0,2642,622,88
2020-06-16,0,2658,649,88
2020-06-17,0,2696,685,88
2020-06-18,0,2719,724,88
2020-06-19,0,2719,724,88
2020-06-20,0,2755,751,88
2020-06-21,0,2779,782,90
2020-06-22,0,2812,818,90
2020-06-23,0,2812,818,90
2020-06-24,0,2835,829,90
2020-06-25,0,2878,868,90
2020-06-26,0,2878,868,90
2020-06-27,0,2878,868,90
2020-06-28,0,2894,887,90
2020-06-29,0,2904,910,90
2020-06-30,0,2924,910,90
2020-07-01,0,2924,932,90
2020-07-02,0,2944,951,90
2020-07-03,0,2944,951,90
2020-07-04,0,2961,973,92
2020-07-05,0,2997,1014,92
2020-07-06,0,3006,1051,92
2020-07-07,0,3015,1096,92
2020-07-08,0,3028,1147,92
2020-07-09,0,3038,1209,92
2020-07-10,0,3038,1209,92
2020-07-11,0,3051,1264,92
2020-07-12,0,3059,1264,93
2020-07-13,0,3072,1343,93
2020-07-14,0,3076,1380,93
2020-07-15,0,3083,1425,93
2020-07-16,0,3106,1444,93
2020-07-17,0,3106,1444,93
2020-07-18,0,3111,1452,93
2020-07-19,0,3119,1457,93
2020-07-20,0,3130,1462,93
2020-07-21,0,3135,1464,93
2020-07-22,0,3161,1495,93
2020-07-23,0,3171,1499,93
2020-07-24,0,3171,1499,93
2020-07-25,0,3178,1521,93
2020-07-26,0,3178,1521,93
2020-07-27,0,3196,1543,93
2020-07-28,0,3212,1562,93
2020-07-29,0,3212,1562,93
2020-07-30,0,3212,1562,93
2020-07-31,0,3212,1562,93
2020-08-01,0,3212,1562,93
2020-08-02,0,3220,1598,93
2020-08-03,0,3220,1598,93
2020-08-04,0,3220,1598,93
2020-08-05,0,3227,1728,93
2020-08-06,0,3227,1728,93
2020-08-07,0,3227,1728,93
2020-08-08,0,3227,1728,93
2020-08-09,0,3227,1728,93
2020-08-10,0,3227,1728,93
2020-08-11,0,3227,1728,93
2020-08-12,0,3227,1728,93
2020-08-13,0,3227,1728,93
2020-08-14,0,3250,2268,93
2020-08-15,0,3250,2268,93
2020-08-16,0,3256,2374,93
2020-08-17,0,3257,2374,93
2020-08-18,0,3257,2374,93
2020-08-19,0,3265,2396,93
2020-08-20,0,3265,2396,93
2020-08-21,0,3265,2396,93
2020-08-22,0,3269,2396,93
2020-08-23,0,3269,2396,93
2020-08-24,0,3269,2443,93
2020-08-25,0,3275,2443,95
2020-08-26,0,3275,2443,95
2020-08-27,0,3275,2443,95
2020-08-28,0,3275,2443,95
2020-08-29,0,3310,2481,97
2020-08-30,0,3310,2481,98
2020-08-31,0,3310,2481,98
2020-09-01,0,3310,2481,98
2020-09-02,0,3310,2481,98
2020-09-03,0,3310,2481,98
2020-09-04,0,3332,2696,97
2020-09-05,0,3332,2696,97
2020-09-06,0,3362,2696,97
2020-09-07,0,3362,2696,97
2020-09-08,0,3371,2738,97
2020-09-09,0,3371,2738,97
2020-09-10,0,3371,2738,97
2020-09-11,0,3376,2791,98
2020-09-12,0,3376,2791,98
2020-09-13,0,3389,2803,98
2020-09-14,0,3389,2803,98
2020-09-15,0,3390,2812,98
2020-09-16,0,3390,2812,98
2020-09-17,0,3390,2812,98
2020-09-18,0,3390,2812,98
2020-09-19,0,3401,2812,98
2020-09-20,0,3442,2877,98
2020-09-21,0,3465,2877,98
2020-09-22,0,3465,2877,98
2020-09-23,0,3465,2877,98
2020-09-24,0,3465,2877,98
2020-09-25,0,3465,2877,98
2020-09-26,0,3588,2943,99
2020-09-27,0,3588,2946,99
2020-09-28,0,3588,2946,99
2020-09-29,0,3588,2946,99
2020-09-30,0,3588,2946,99
2020-10-01,0,3593,3001,99
2020-10-02,0,3593,3001,99
2020-10-03,0,3593,3001,99
2020-10-04,0,3745,3010,99
2020-10-05,0,3745,3010,99
2020-10-06,0,3745,3010,99
2020-10-07,0,3745,3010,99
