date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,2,0,0
2020-03-12,0,2,0,0
2020-03-13,0,2,0,0
2020-03-14,0,2,0,0
2020-03-15,0,3,0,0
2020-03-16,0,6,0,0
2020-03-17,0,8,0,0
2020-03-18,0,9,0,0
2020-03-19,0,12,0,0
2020-03-20,0,24,0,0
2020-03-21,0,24,0,0
2020-03-22,0,26,0,0
2020-03-23,0,30,0,0
2020-03-24,0,30,0,0
2020-03-25,0,36,0,0
2020-03-26,0,52,0,1
2020-03-27,0,68,0,1
2020-03-28,0,95,3,1
2020-03-29,0,110,3,3
2020-03-30,0,139,3,7
2020-03-31,0,141,3,7
2020-04-01,0,172,3,10
2020-04-02,0,219,3,14
2020-04-03,0,222,3,15
2020-04-04,0,264,3,15
2020-04-05,0,268,6,22
2020-04-06,0,298,6,22
2020-04-07,0,305,6,22
2020-04-08,0,312,6,22
2020-04-09,0,343,6,23
2020-04-10,0,382,7,23
2020-04-11,0,392,7,24
2020-04-12,0,393,7,25
2020-04-13,0,397,7,25
2020-04-14,0,407,7,26
2020-04-15,0,419,9,31
2020-04-16,0,426,9,35
2020-04-17,0,442,10,41
2020-04-18,0,457,10,46
2020-04-19,0,472,15,46
2020-04-20,0,477,25,46
2020-04-21,0,494,29,46
2020-04-22,0,510,30,46
2020-04-23,0,519,31,47
2020-04-24,0,591,58,55
2020-04-25,0,627,65,59
2020-04-26,0,627,65,59
2020-04-27,0,661,79,61
2020-04-28,0,702,79,64
2020-04-29,0,738,73,66
2020-04-30,0,771,79,71
2020-05-01,0,804,112,75
2020-05-02,0,1010,116,76
2020-05-03,0,1055,118,82
2020-05-04,0,1178,122,83
2020-05-05,0,1270,122,93
2020-05-06,0,1461,132,99
2020-05-07,0,1685,154,105
2020-05-08,0,1771,192,107
2020-05-09,0,1830,195,108
2020-05-10,0,1972,203,108
2020-05-11,0,2100,206,116
2020-05-12,0,2080,211,121
2020-05-13,0,2255,237,123
2020-05-14,0,2318,253,133
2020-05-15,0,2460,264,134
2020-05-16,0,2565,278,138
2020-05-17,0,2646,319,142
2020-05-18,0,2798,340,146
2020-05-19,0,2955,349,147
2020-05-20,0,2955,349,147
2020-05-21,0,3204,397,156
2020-05-22,0,3477,439,167
2020-05-23,0,3477,439,167
2020-05-24,0,3950,468,180
2020-05-25,0,4189,473,182
2020-05-26,0,4401,493,188
2020-05-27,0,4640,506,194
2020-05-28,0,4752,519,196
2020-05-29,0,4752,519,196
2020-05-30,0,5094,536,201
2020-05-31,0,5202,537,212
2020-06-01,0,5362,549,217
2020-06-02,0,5527,563,225
2020-06-03,0,5690,617,234
2020-06-04,0,5880,648,243
2020-06-05,0,5971,677,248
2020-06-06,0,6155,697,250
2020-06-07,0,6327,712,258
2020-06-08,0,6450,740,262
2020-06-09,0,6935,787,271
2020-06-10,0,7360,809,290
2020-06-11,0,7669,837,294
2020-06-12,0,8132,844,306
2020-06-13,0,8455,894,310
2020-06-14,0,8858,967,312
2020-06-15,0,9178,1025,322
2020-06-16,0,9656,1075,330
2020-06-17,0,10299,1116,336
2020-06-18,0,10739,1179,343
2020-06-19,0,11258,1214,349
2020-06-20,0,12306,1275,358
2020-06-21,0,12769,1293,363
2020-06-22,0,13356,1362,395
2020-06-23,0,13943,1461,405
2020-06-24,0,14571,1546,417
2020-06-25,0,15366,1600,426
2020-06-26,0,15994,1678,471
2020-06-27,0,17007,1767,479
2020-06-28,0,18082,1875,479
2020-06-29,0,18818,1961,485
2020-06-30,0,19558,2060,497
2020-07-01,0,20262,2123,542
2020-07-02,0,21120,2190,591
2020-07-03,0,22116,2250,605
2020-07-04,0,22921,2387,629
2020-07-05,0,23943,2490,639
2020-07-06,0,24665,2585,656
2020-07-07,0,25428,2637,677
2020-07-08,0,25978,2721,694
2020-07-09,0,26384,2779,704
2020-07-10,0,27053,2850,750
2020-07-11,0,27583,2901,771
2020-07-12,0,28090,2957,774
2020-07-13,0,28579,3123,789
2020-07-14,0,29106,3287,807
2020-07-15,0,30036,3379,825
2020-07-16,0,30867,3420,835
2020-07-17,0,31745,3565,857
2020-07-18,0,32793,3661,891
2020-07-19,0,33835,3801,900
2020-07-20,0,34611,3905,935
2020-07-21,0,35345,4144,988
2020-07-22,0,36102,4315,1006
2020-07-23,0,36902,4448,1011
2020-07-24,0,37559,4607,1061
2020-07-25,0,38438,4713,1098
2020-07-26,0,39276,4922,1116
2020-07-27,0,39741,5039,1166
2020-07-28,0,40460,5103,1214
2020-07-29,0,40944,5281,1259
2020-07-30,0,41426,5443,1312
2020-07-31,0,42014,5554,1337
2020-08-01,0,42685,5694,1368
2020-08-02,0,43197,5794,1377
2020-08-03,0,43794,5854,1384
2020-08-04,0,44299,5921,1400
2020-08-05,0,45098,6116,1423
2020-08-06,0,45755,6225,1446
2020-08-07,0,46365,6355,1465
2020-08-08,0,46973,6428,1476
2020-08-09,0,47454,6597,1495
2020-08-10,0,47872,6649,1506
2020-08-11,0,48403,6805,1515
2020-08-12,0,48657,6945,1533
2020-08-13,0,49042,7032,1542
2020-08-14,0,49467,7128,1548
2020-08-15,0,49979,7255,1567
2020-08-16,0,50502,7339,1575
2020-08-17,0,50995,7450,1583
2020-08-18,0,51670,7661,1593
2020-08-19,0,52298,7867,1608
2020-08-20,0,52819,8082,1619
2020-08-21,0,53381,8271,1632
2020-08-22,0,53983,8449,1643
2020-08-23,0,54511,8532,1654
2020-08-24,0,55479,8556,1683
2020-08-25,0,55877,9124,1703
2020-08-26,0,56649,9169,1747
2020-08-27,0,57669,9586,1803
2020-08-28,0,58810,10076,1827
2020-08-29,0,59645,10156,1842
2020-08-30,0,60174,10242,1858
2020-08-31,0,61014,10396,1873
2020-09-01,0,61769,10430,1888
2020-09-02,0,62526,11147,1924
2020-09-03,0,63158,11618,1954
2020-09-04,0,63798,12347,1984
2020-09-05,0,64352,13115,2006
2020-09-06,0,64764,13418,2007
2020-09-07,0,64814,13828,2023
2020-09-08,0,65218,14273,2034
2020-09-09,0,65597,15064,2044
2020-09-10,0,65802,15577,2049
2020-09-11,0,66049,16613,2058
2020-09-12,0,67136,17760,2065
2020-09-13,0,67789,17873,2079
2020-09-14,0,68620,18487,2087
2020-09-15,0,68620,18487,2087
2020-09-16,0,69660,19983,2102
2020-09-17,0,70120,20677,2122
2020-09-18,0,70611,21149,2146
2020-09-19,0,71143,21810,2166
2020-09-20,0,71616,22065,2184
2020-09-21,0,72075,22611,2204
2020-09-22,0,72306,23230,2206
2020-09-23,0,72675,24022,2222
2020-09-24,0,73193,24580,2249
2020-09-25,0,73840,25728,2271
2020-09-26,0,74548,26088,2288
2020-09-27,0,74548,26088,2288
2020-09-28,0,75537,26957,2301
2020-09-29,0,76098,27383,2323
2020-09-30,0,76900,27922,2353
2020-10-01,0,77598,28517,2380
2020-10-02,0,78269,28978,2386
2020-10-03,0,78788,29187,2399
2020-10-04,0,79629,29305,2422
2020-10-05,0,80020,29768,2433
2020-10-06,0,80662,30131,2447
2020-10-07,0,81016,30590,2466
2020-10-08,0,81016,30590,2466
