date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,3,0,0
2020-03-05,0,4,0,0
2020-03-06,0,5,0,0
2020-03-07,0,7,1,0
2020-03-08,0,10,2,0
2020-03-09,0,15,3,0
2020-03-10,0,17,12,0
2020-03-11,0,23,14,0
2020-03-12,0,33,18,0
2020-03-13,0,43,21,0
2020-03-14,0,61,22,0
2020-03-15,0,75,31,0
2020-03-16,0,156,38,0
2020-03-17,0,201,46,0
2020-03-18,0,238,55,0
2020-03-19,0,342,77,0
2020-03-20,0,434,90,0
2020-03-21,0,537,104,0
2020-03-22,0,632,128,1
2020-03-23,0,746,161,1
2020-03-24,0,922,226,2
2020-03-25,0,1142,278,3
2020-03-26,0,1306,348,4
2020-03-27,0,1610,460,5
2020-03-28,0,1909,611,6
2020-03-29,0,2139,781,7
2020-03-30,0,2449,1058,8
2020-03-31,0,2738,1307,12
2020-04-01,0,3031,1565,16
2020-04-02,0,3404,1850,18
2020-04-03,0,3737,2198,22
2020-04-04,0,4161,2497,27
2020-04-05,0,4471,2792,34
2020-04-06,0,4815,3166,37
2020-04-07,0,5116,3482,43
2020-04-08,0,5546,3809,48
2020-04-09,68353,5972,4142,57
2020-04-10,72797,6501,4476,65
2020-04-11,76374,6927,4802,73
2020-04-12,82271,7213,5078,80
2020-04-13,85035,7525,5450,82
2020-04-14,87794,7917,5770,92
2020-04-15,91873,8273,6207,94
2020-04-16,98424,8807,6585,105
2020-04-17,103873,9252,6962,116
2020-04-18,108891,9730,7337,126
2020-04-19,113649,10088,7665,133
2020-04-20,118827,10507,8104,139
2020-04-21,122357,10832,8505,147
2020-04-22,128722,11296,8904,160
2020-04-23,135147,11812,9353,168
2020-04-24,142267,12306,9796,174
2020-04-25,149212,12858,10147,181
2020-04-26,155975,13331,10533,189
2020-04-27,161235,13813,11121,198
2020-04-28,166165,14365,11641,207
2020-04-29,172619,15135,12281,216
2020-04-30,180517,16023,12873,227
2020-05-01,189433,17008,13471,234
2020-05-02,199400,18435,14013,247
2020-05-03,206218,19663,14546,260
2020-05-04,214131,20643,15575,270
2020-05-05,222095,22016,16334,275
2020-05-06,232108,23048,17150,281
2020-05-07,244226,24581,18022,285
2020-05-08,255961,25972,19099,294
2020-05-09,267904,27219,20153,304
2020-05-10,280684,28866,21233,312
2020-05-11,294057,30063,22930,323
2020-05-12,303340,31721,24645,335
2020-05-13,313750,34381,26375,346
2020-05-14,325417,37040,28371,368
2020-05-15,341512,39542,31158,394
2020-05-16,350325,41428,33758,421
2020-05-17,363496,43781,36508,450
2020-05-18,381011,46059,40297,478
2020-05-19,397200,49579,43840,509
2020-05-20,409669,53617,47356,544
2020-05-21,426003,57581,51065,589
2020-05-22,442093,61857,55334,630
2020-05-23,457332,65393,59216,673
2020-05-24,471758,69102,63421,718
2020-05-25,488041,73997,68792,761
2020-05-26,501125,77961,73596,806
2020-05-27,514523,82289,77808,841
2020-05-28,530173,86943,82010,890
2020-05-29,546506,90638,87439,944
2020-05-30,563320,94858,92292,997
2020-05-31,582440,99688,96878,1054
2020-06-01,599330,105159,102712,1113
2020-06-02,612772,108686,107912,1188
2020-06-03,628318,113628,114112,1275
2020-06-04,646458,118292,118749,1356
2020-06-05,668556,122499,124405,1448
2020-06-06,687510,127745,129386,1541
2020-06-07,708773,134150,133890,2190
2020-06-08,728815,138846,140125,2264
2020-06-09,746592,142759,144978,2283
2020-06-10,761067,148496,149971,2475
2020-06-11,781043,154092,155034,2648
2020-06-12,799776,160846,160278,2870
2020-06-13,819999,167355,165120,3101
2020-06-14,840150,174293,169423,3323
2020-06-15,858958,179436,176425,3362
2020-06-16,873533,184449,181195,3383
2020-06-17,886169,220628,185792,3615
2020-06-18,903166,225103,190350,3841
2020-06-19,923513,231393,195488,4093
2020-06-20,943593,236748,199863,4295
2020-06-21,963708,242355,203759,4479
2020-06-22,982353,246963,209154,4502
2020-06-23,995060,250767,213339,4505
2020-06-24,1007635,254416,217778,4731
2020-06-25,1025081,259064,221742,4903
2020-06-26,1043330,263360,226356,5068
2020-06-27,1061274,267766,230491,5347
2020-06-28,1079644,271982,234122,5509
2020-06-29,1096443,275999,238986,5575
2020-06-30,1109792,279393,243148,5688
2020-07-01,1120177,282043,247019,5753
2020-07-02,1131008,284541,251049,5920
2020-07-03,1146593,288089,255110,6051
2020-07-04,1163880,291847,258828,6192
2020-07-05,1181884,295532,261841,6308
2020-07-06,1198261,298557,265643,6384
2020-07-07,1210326,301019,269092,6434
2020-07-08,1220790,303083,272314,6573
2020-07-09,1237632,306216,275420,6682
2020-07-10,1255359,309274,278626,6781
2020-07-11,1273627,312029,281329,6881
2020-07-12,1292798,315041,283846,6979
2020-07-13,1310265,317657,286493,7024
2020-07-14,1322503,319493,289474,7069
2020-07-15,1334712,321205,292769,7186
2020-07-16,1351904,323698,295208,7290
2020-07-17,1370603,326539,297841,8347
2020-07-18,1388319,328846,300190,8445
2020-07-19,1404047,330930,302417,8503
2020-07-20,1420390,333029,305220,8633
2020-07-21,1432980,334683,307672,8677
2020-07-22,1445773,336402,309929,8722
2020-07-23,1464640,338759,312165,8838
2020-07-24,1485711,341304,314683,8914
2020-07-25,1504844,343592,316674,9020
2020-07-26,1524553,345790,318562,9112
2020-07-27,1546097,347923,320944,9187
2020-07-28,1563693,349800,323176,9240
2020-07-29,1580823,351575,325287,9278
2020-07-30,1601118,353536,326991,9377
2020-07-31,1623992,355667,329223,9457
2020-08-01,1648390,357658,331139,9533
2020-08-02,1673289,359731,332758,9608
2020-08-03,1697558,361493,335151,9707
2020-08-04,1716415,362962,337134,9745
2020-08-05,1737813,364723,339065,9792
2020-08-06,1760615,366671,341127,9889
2020-08-07,1785858,368825,343104,9958
2020-08-08,1812895,371023,344857,10011
2020-08-09,1841355,373056,346347,10077
2020-08-10,1867367,375044,348567,10139
2020-08-11,1889616,376616,350464,10178
2020-08-12,1908964,378168,352259,10205
2020-08-13,1932592,380034,354153,10299
2020-08-14,1960210,382111,356052,10340
2020-08-15,1988709,383902,357965,10395
2020-08-16,2019591,385946,359526,10452
2020-08-17,2044880,387502,361618,10513
2020-08-18,2068079,388855,363564,10546
2020-08-19,2087354,390037,365403,10578
2020-08-20,2113632,391849,367288,10671
2020-08-21,2142301,393769,369165,10723
2020-08-22,2172028,395708,370672,10792
2020-08-23,2204009,397665,371961,10852
2020-08-24,2231463,399568,374002,10916
2020-08-25,2255966,400985,375824,10958
2020-08-26,2276223,402365,377583,10990
2020-08-27,2303242,404102,379184,11072
2020-08-28,2333516,405972,380962,11132
2020-08-29,2365753,408009,382364,11181
2020-08-30,2400522,409974,383657,11244
2020-08-31,2432436,411726,385648,11289
2020-09-01,2458762,413145,387584,11321
2020-09-02,2481508,414739,389393,11344
2020-09-03,2508750,416501,391317,11422
2020-09-04,2540718,418469,393122,11494
2020-09-05,2575313,420434,394566,11551
2020-09-06,2610602,422510,395943,11592
2020-09-07,2641589,424274,398081,11652
2020-09-08,2669569,425541,400055,11682
2020-09-09,2691374,427027,402031,11702
2020-09-10,2719687,428669,403906,11781
2020-09-11,2753769,430535,405937,11850
2020-09-12,2791831,432666,407469,11895
2020-09-13,2828129,434748,408811,11949
2020-09-14,2860706,436433,411005,12013
2020-09-15,2887903,437983,413036,12040
2020-09-16,2911005,439287,414965,12058
2020-09-17,2942651,441150,416896,12142
2020-09-18,2975891,442827,418926,12199
2020-09-19,3010713,444674,420468,12254
2020-09-20,3038333,446274,421773,12286
2020-09-21,3055155,447468,423828,12298
2020-09-22,3068544,448523,425689,12321
2020-09-23,3084117,449903,427418,12345
2020-09-24,3113195,451634,429065,12469
2020-09-25,3150848,453868,430725,12527
2020-09-26,3189009,455979,432073,12591
2020-09-27,3228414,457901,433252,12641
