date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,1,0,0
2020-03-21,0,3,0,0
2020-03-22,0,3,0,0
2020-03-23,0,3,0,1
2020-03-24,0,3,0,1
2020-03-25,0,3,0,1
2020-03-26,0,3,0,1
2020-03-27,0,5,0,1
2020-03-28,0,7,0,1
2020-03-29,0,7,0,1
2020-03-30,0,7,0,1
2020-03-31,0,8,0,1
2020-04-01,0,8,0,1
2020-04-02,0,9,0,1
2020-04-03,0,9,0,1
2020-04-04,0,9,0,1
2020-04-05,0,9,0,1
2020-04-06,0,10,0,1
2020-04-07,0,11,0,2
2020-04-08,0,11,0,3
2020-04-09,0,11,0,3
2020-04-10,0,13,0,3
2020-04-11,0,14,0,3
2020-04-12,0,14,0,3
2020-04-13,0,17,0,3
2020-04-14,0,17,0,3
2020-04-15,0,23,1,3
2020-04-16,0,23,1,3
2020-04-17,0,24,2,3
2020-04-18,0,25,2,3
2020-04-19,0,25,2,3
2020-04-20,0,25,2,3
2020-04-21,0,28,2,3
2020-04-22,0,28,2,4
2020-04-23,0,28,2,4
2020-04-24,0,29,2,4
2020-04-25,0,31,2,4
2020-04-26,0,31,2,4
2020-04-27,0,32,5,4
2020-04-28,0,32,5,4
2020-04-29,0,32,5,4
2020-04-30,0,40,5,4
2020-05-01,0,40,5,4
2020-05-02,0,34,5,4
2020-05-03,0,34,5,4
2020-05-04,0,34,5,4
2020-05-05,0,34,5,4
2020-05-06,7808,34,5,4
2020-05-07,8141,34,5,4
2020-05-08,8741,34,9,4
2020-05-09,9593,35,9,4
2020-05-10,9872,36,9,4
2020-05-11,10598,36,9,4
2020-05-12,11058,36,9,4
2020-05-13,11191,37,12,4
2020-05-14,11191,37,13,4
2020-05-15,11401,42,13,4
2020-05-16,12275,42,13,4
2020-05-17,12564,44,17,4
2020-05-18,13104,46,18,4
2020-05-19,14175,46,18,4
2020-05-20,14618,48,18,4
2020-05-21,15084,51,18,4
2020-05-22,15194,51,18,4
2020-05-23,15336,56,18,4
2020-05-24,15555,56,25,4
2020-05-25,15765,56,25,4
2020-05-26,15765,56,25,4
2020-05-27,16254,132,25,4
2020-05-28,16440,149,28,4
2020-05-29,16860,149,28,4
2020-05-30,17526,174,29,4
2020-05-31,18072,178,29,4
2020-06-01,18709,203,29,4
2020-06-02,19290,206,29,4
2020-06-03,20012,222,29,4
2020-06-04,20402,237,31,4
2020-06-05,21000,265,33,4
2020-06-06,21354,279,33,4
2020-06-07,21507,282,34,4
2020-06-08,21901,287,46,4
2020-06-09,22253,314,46,4
2020-06-10,22805,320,49,4
2020-06-11,23072,332,51,4
2020-06-12,23537,343,51,4
2020-06-13,24010,356,54,4
2020-06-14,24106,383,54,4
2020-06-15,24613,387,54,4
2020-06-16,24864,391,62,4
2020-06-17,25291,401,63,4
2020-06-18,25815,463,63,4
2020-06-19,26117,479,63,4
2020-06-20,26451,479,63,4
2020-06-21,26857,489,64,6
2020-06-22,27221,512,64,6
2020-06-23,27599,525,64,6
2020-06-24,28253,530,123,6
2020-06-25,28688,551,128,6
2020-06-26,29177,561,135,6
2020-06-27,29641,567,142,6
2020-06-28,30099,567,142,6
2020-06-29,30371,574,152,7
2020-06-30,30711,591,162,7
2020-07-01,31091,605,166,7
2020-07-02,31613,617,173,7
2020-07-03,32112,625,176,7
2020-07-04,32845,698,181,8
2020-07-05,33256,716,181,8
2020-07-06,33568,734,197,9
2020-07-07,34160,787,201,9
2020-07-08,34766,885,206,9
2020-07-09,35346,885,206,9
2020-07-10,36005,942,320,13
2020-07-11,36399,982,320,18
2020-07-12,36916,985,328,18
2020-07-13,37328,1034,343,19
2020-07-14,38021,1064,343,20
2020-07-15,38624,1089,395,20
2020-07-16,39116,1362,425,23
2020-07-17,40095,1420,438,24
2020-07-18,40636,1478,439,25
2020-07-19,41438,1611,472,25
2020-07-20,41940,1713,472,26
2020-07-21,42532,1820,488,26
2020-07-22,43608,2034,510,26
2020-07-23,44856,2124,510,28
2020-07-24,49911,2296,514,32
2020-07-25,52007,2434,518,34
2020-07-26,53346,2512,518,34
2020-07-27,54831,2704,542,36
2020-07-28,56000,2817,604,40
2020-07-29,57791,2879,887,41
2020-07-30,59131,3092,924,53
2020-07-31,60132,3169,1004,67
2020-08-01,61577,3659,1011,69
2020-08-02,63185,3921,1016,70
2020-08-03,64634,4075,1057,80
2020-08-04,65714,4221,1238,81
2020-08-05,67374,4221,1238,81
2020-08-06,68142,4339,1264,84
2020-08-07,69103,4451,1345,102
2020-08-08,70315,4575,1416,102
2020-08-09,71608,4649,1437,104
2020-08-10,74424,4748,1524,104
2020-08-11,76219,4818,1524,104
2020-08-12,77630,4893,1620,122
2020-08-13,78738,4990,1927,128
2020-08-14,79949,5072,1998,128
2020-08-15,81338,5176,2047,130
2020-08-16,82884,5261,2092,132
2020-08-17,83782,5308,3848,135
2020-08-18,85011,5378,4105,141
2020-08-19,86629,5643,4442,150
2020-08-20,87885,5745,4525,151
2020-08-21,89695,5815,4587,152
2020-08-22,90696,5893,4629,153
2020-08-23,91548,5930,4872,155
2020-08-24,92318,6070,4950,155
2020-08-25,93892,6196,4961,166
2020-08-26,94770,6251,5001,179
2020-08-27,95721,6292,5010,189
2020-08-28,97272,6388,5043,195
2020-08-29,98386,6406,5056,196
2020-08-30,98988,6412,5061,196
2020-08-31,99824,6497,5221,202
2020-09-01,100837,6559,5241,203
2020-09-02,101776,6638,5250,206
2020-09-03,102871,6678,5263,206
2020-09-04,103790,6837,5345,206
2020-09-05,103790,6837,5345,206
2020-09-06,104455,6837,5345,206
2020-09-07,104871,7298,5455,210
2020-09-08,105392,7388,5477,218
2020-09-09,106445,7429,5542,222
2020-09-10,107414,7453,5635,222
2020-09-11,108465,7479,5660,224
2020-09-12,109654,7508,5675,224
2020-09-13,110021,7526,5678,224
2020-09-14,110370,7531,5690,224
2020-09-15,110774,7576,5783,224
2020-09-16,111421,7598,5823,224
2020-09-17,112432,7633,5841,224
2020-09-18,113187,7647,5883,224
2020-09-19,113726,7672,5914,225
2020-09-20,114354,7683,5924,225
2020-09-21,114617,7683,5924,225
2020-09-22,115254,7711,5979,226
2020-09-23,115884,7725,6007,227
2020-09-24,116605,7752,6043,227
2020-09-25,117272,7787,6057,227
2020-09-26,117815,7803,6067,227
2020-09-27,118053,7812,6106,227
2020-09-28,118557,7816,6112,228
2020-09-29,119024,7837,6122,228
2020-09-30,119491,7838,6303,228
2020-10-01,120530,7850,6312,228
2020-10-02,121222,7858,6322,228
2020-10-03,121643,7885,6327,228
2020-10-04,121860,7888,6359,228
2020-10-05,122789,7898,6424,228
2020-10-06,122789,7915,6440,229
2020-10-07,122789,7915,6440,229
