date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,1,0,0
2020-01-31,0,1,0,0
2020-02-01,0,1,0,0
2020-02-02,0,2,0,0
2020-02-03,0,3,0,0
2020-02-04,0,3,0,0
2020-02-05,0,3,0,0
2020-02-06,0,3,0,0
2020-02-07,0,3,0,0
2020-02-08,0,3,0,0
2020-02-09,0,3,0,0
2020-02-10,0,3,0,0
2020-02-11,0,3,0,0
2020-02-12,0,3,0,0
2020-02-13,0,3,1,0
2020-02-14,0,3,1,0
2020-02-15,0,3,1,0
2020-02-16,0,3,2,0
2020-02-17,0,3,2,0
2020-02-18,0,3,2,0
2020-02-19,0,3,2,0
2020-02-20,0,3,3,0
2020-02-21,0,3,3,0
2020-02-22,0,3,3,0
2020-02-23,0,3,3,0
2020-02-24,0,3,3,0
2020-02-25,0,3,3,0
2020-02-26,0,3,3,0
2020-02-27,0,3,3,0
2020-02-28,0,3,3,0
2020-02-29,0,3,3,0
2020-03-01,0,3,3,0
2020-03-02,0,5,3,0
2020-03-03,0,6,3,0
2020-03-04,0,28,3,0
2020-03-05,0,30,3,0
2020-03-06,0,31,3,0
2020-03-07,0,34,3,0
2020-03-08,0,39,3,0
2020-03-09,0,48,3,0
2020-03-10,0,63,4,0
2020-03-11,0,71,4,0
2020-03-12,0,81,4,1
2020-03-13,6500,91,10,1
2020-03-14,6500,102,10,2
2020-03-15,6500,112,13,2
2020-03-16,6500,126,14,2
2020-03-17,6500,146,15,3
2020-03-18,13125,171,15,3
2020-03-19,13316,198,20,4
2020-03-20,14376,256,23,4
2020-03-21,15701,334,23,4
2020-03-22,16999,403,23,7
2020-03-23,20707,497,25,9
2020-03-24,20864,571,40,10
2020-03-25,25144,657,43,11
2020-03-26,25144,730,50,16
2020-03-27,27688,883,75,19
2020-03-28,27688,1019,85,24
2020-03-29,27688,1139,102,27
2020-03-30,27688,1326,137,41
2020-03-31,27688,1635,150,47
2020-04-01,27688,2059,169,53
2020-04-02,47951,2545,191,69
2020-04-03,69245,3105,230,83
2020-04-04,79950,3684,286,96
2020-04-05,89534,4293,329,118
2020-04-06,101068,4777,394,134
2020-04-07,114015,5350,469,161
2020-04-08,127919,5915,565,181
2020-04-09,144910,6728,635,227
2020-04-10,161330,7599,786,249
2020-04-11,179374,8453,972,290
2020-04-12,195748,9211,1086,332
2020-04-13,217554,10454,1198,359
2020-04-14,244893,11485,1365,396
2020-04-15,274599,12371,1509,423
2020-04-16,302956,13432,1767,449
2020-04-17,335123,14354,2040,487
2020-04-18,372123,15725,2466,522
2020-04-19,401586,17305,2854,560
2020-04-20,401586,18544,3273,593
2020-04-21,462621,20081,3976,646
2020-04-22,462621,21373,4370,682
2020-04-23,500542,23040,5012,722
2020-04-24,541789,24448,5496,781
2020-04-25,579957,26283,5938,825
2020-04-26,625309,27890,6523,881
2020-04-27,665819,29458,7103,939
2020-04-28,716733,31360,7739,1008
2020-04-29,770764,33065,8429,1079
2020-04-30,830201,34866,9059,1154
2020-05-01,902654,37262,10021,1231
2020-05-02,976363,39826,10852,1323
2020-05-03,1046450,42778,11763,1463
2020-05-04,1107233,46434,12845,1566
2020-05-05,1191946,49405,14140,1694
2020-05-06,1276781,53007,15301,1785
2020-05-07,1357413,56351,16776,1889
2020-05-08,1437788,59690,17887,1986
2020-05-09,1523213,62865,19301,2101
2020-05-10,1609037,67176,20970,2213
2020-05-11,1673688,70768,22549,2294
2020-05-12,1759579,74330,24454,2414
2020-05-13,1854250,78056,26417,2551
2020-05-14,1947041,82047,28011,2648
2020-05-15,2039952,85855,30245,2752
2020-05-16,2134277,90649,34257,2872
2020-05-17,2227642,95698,36795,3024
2020-05-18,2302792,100326,39277,3155
2020-05-19,2404267,106480,42309,3301
2020-05-20,2512388,112200,45422,3435
2020-05-21,2615920,118223,48553,3583
2020-05-22,2719434,124759,51833,3725
2020-05-23,2834798,131424,54409,3867
2020-05-24,2943421,138537,57694,4023
2020-05-25,3033591,144951,60706,4173
2020-05-26,3126119,150858,64291,4346
2020-05-27,3242160,158104,67725,4534
2020-05-28,3362136,165358,70896,4710
2020-05-29,3483838,173496,82631,4979
2020-05-30,3611599,181860,86934,5184
2020-05-31,3737027,190649,91862,5406
2020-06-01,3837207,198372,95744,5607
2020-06-02,3966075,207187,100275,5829
2020-06-03,4103233,216876,104064,6088
2020-06-04,4242718,226723,108454,6362
2020-06-05,4386379,236195,113224,6648
2020-06-06,4524317,246603,118657,6945
2020-06-07,4666386,257485,123848,7206
2020-06-08,4774434,266021,129019,7477
2020-06-09,4916116,276002,134653,7749
2020-06-10,5061332,287158,140928,8107
2020-06-11,5213140,298293,146972,8501
2020-06-12,5363445,309599,154235,8889
2020-06-13,5507182,321638,162327,9198
2020-06-14,5658614,333043,169685,9522
2020-06-15,5774133,343075,180324,9918
2020-06-16,5921069,354161,187550,11922
2020-06-17,6084256,367269,194440,12263
2020-06-18,6249668,381098,205181,12606
2020-06-19,6426627,395838,214210,12970
2020-06-20,6616496,411753,228184,13278
2020-06-21,6807226,426904,237259,13704
2020-06-22,6950493,440464,248138,14016
2020-06-23,7137716,456120,258600,14484
2020-06-24,7352911,472988,271689,14908
2020-06-25,7560782,491193,285672,15309
2020-06-26,7776228,509448,295918,15690
2020-06-27,7996707,529590,310147,16104
2020-06-28,8227802,549200,321778,16488
2020-06-29,8398362,567539,335275,16905
2020-06-30,8608654,585795,347840,17411
2020-07-01,8826585,605224,359904,17849
2020-07-02,9056173,627171,379903,18227
2020-07-03,9297749,649889,394320,18671
2020-07-04,9540132,673907,409066,19282
2020-07-05,9789066,697849,424895,19703
2020-07-06,9969662,720349,440210,20176
2020-07-07,10211092,743496,457046,20655
2020-07-08,10473771,769057,476554,21147
2020-07-09,10740832,794847,495962,21626
2020-07-10,11024491,822609,516251,22146
2020-07-11,11307002,850366,536232,22689
2020-07-12,11587153,879472,554430,23189
2020-07-13,11806256,907650,572113,23730
2020-07-14,12092503,937567,593090,24317
2020-07-15,12412664,970174,613736,24931
2020-07-16,12739490,1005642,636603,25611
2020-07-17,13072718,1040462,654079,26287
2020-07-18,13433742,1077873,677662,26830
2020-07-19,13791869,1118108,700392,27505
2020-07-20,14047908,1154914,724695,28101
2020-07-21,14381303,1194084,752284,28772
2020-07-22,14724546,1239685,784159,29902
2020-07-23,15075369,1288128,817485,30657
2020-07-24,15428170,1337016,849999,31420
2020-07-25,15849068,1387088,887124,32123
2020-07-26,16291331,1436020,918636,32827
2020-07-27,16806803,1482504,952990,33469
2020-07-28,17334885,1532135,988673,34243
2020-07-29,17743740,1584614,1021559,35018
2020-07-30,18190382,1639582,1058984,35802
2020-07-31,18832970,1697068,1095538,36566
2020-08-01,19358659,1752185,1146906,37420
2020-08-02,19821831,1804857,1187261,38180
2020-08-03,20202858,1855345,1230331,38986
2020-08-04,20864750,1906627,1281551,39835
2020-08-05,21484402,1963253,1327134,40754
2020-08-06,22149351,2025423,1377275,41653
2020-08-07,22788393,2086878,1427662,42589
2020-08-08,23387171,2152034,1479797,43464
2020-08-09,24106535,2214151,1534271,44477
2020-08-10,24583558,2267167,1581633,45364
2020-08-11,25281848,2328419,1638094,46199
2020-08-12,26015297,2395485,1695853,47149
2020-08-13,26845688,2459626,1750629,48155
2020-08-14,27694416,2525236,1807549,49144
2020-08-15,28563095,2589222,1860665,50096
2020-08-16,29309703,2647318,1918069,51048
2020-08-17,30041400,2701616,1976241,51928
2020-08-18,30941264,2766640,2036696,53027
2020-08-19,31742782,2835836,2096061,54006
2020-08-20,32661252,2904354,2157934,54987
2020-08-21,33467237,2973383,2220792,55940
2020-08-22,34491073,3043450,2279893,56858
2020-08-23,35292220,3105199,2336789,57704
2020-08-24,35902137,3164895,2403094,58558
2020-08-25,36827520,3231768,2467245,59624
2020-08-26,37651512,3307763,2523436,60641
2020-08-27,38576510,3384590,2583056,61707
2020-08-28,39477848,3461247,2647531,62726
2020-08-29,40406609,3539726,2712513,63669
2020-08-30,41461636,3619187,2772935,64629
2020-08-31,42307914,3687953,2837370,65445
2020-09-01,43324834,3766121,2899515,66337
2020-09-02,44337201,3848981,2967389,67250
2020-09-03,45509380,3933137,3034880,68229
2020-09-04,46679145,4020252,3104505,69179
2020-09-05,47738491,4110852,3177666,70095
2020-09-06,48831145,4202577,3247296,71100
2020-09-07,49551507,4277592,3321412,72229
2020-09-08,50650128,4367447,3396020,73336
2020-09-09,51804677,4462983,3469082,74504
2020-09-10,52934433,4559745,3539986,75717
2020-09-11,54097975,4657400,3621442,76919
2020-09-12,55189226,4751814,3699304,78030
2020-09-13,56260928,4845034,3777052,79170
2020-09-14,57239428,4926947,3856265,80224
2020-09-15,58312273,5018045,3939114,81505
2020-09-16,59429115,5115905,4022038,82645
2020-09-17,60565728,5212692,4109826,83820
