date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,1,0,0
2020-03-11,0,2,0,0
2020-03-12,0,2,0,0
2020-03-13,0,2,0,0
2020-03-14,0,2,0,0
2020-03-15,0,3,0,0
2020-03-16,0,15,0,0
2020-03-17,0,15,0,0
2020-03-18,0,20,0,1
2020-03-19,0,33,0,1
2020-03-20,0,40,0,1
2020-03-21,0,64,5,2
2020-03-22,0,75,5,4
2020-03-23,0,99,5,4
2020-03-24,0,114,7,4
2020-03-25,0,146,10,4
2020-03-26,0,152,10,7
2020-03-27,0,180,12,9
2020-03-28,0,207,21,11
2020-03-29,0,222,23,12
2020-03-30,0,246,31,12
2020-03-31,0,261,32,14
2020-04-01,0,282,46,16
2020-04-02,0,288,50,16
2020-04-03,0,302,50,16
2020-04-04,0,318,66,16
2020-04-05,0,345,90,17
2020-04-06,0,364,108,18
2020-04-07,0,384,127,19
2020-04-08,0,414,134,23
2020-04-09,0,443,146,24
2020-04-10,0,443,146,24
2020-04-11,0,484,155,27
2020-04-12,0,497,161,27
2020-04-13,0,497,161,27
2020-04-14,0,528,177,30
2020-04-15,0,542,226,32
2020-04-16,0,546,257,32
2020-04-17,0,557,294,35
2020-04-18,0,565,321,36
2020-04-19,0,576,338,36
2020-04-20,0,581,357,38
2020-04-21,0,600,362,38
2020-04-22,0,609,389,39
2020-04-23,0,616,410,41
2020-04-24,0,629,425,41
2020-04-25,0,629,442,41
2020-04-26,0,632,453,42
2020-04-27,0,635,469,42
2020-04-28,0,638,476,42
2020-04-29,0,641,498,43
2020-04-30,0,645,506,43
2020-05-01,0,649,517,44
2020-05-02,0,652,535,44
2020-05-03,0,662,540,45
2020-05-04,0,672,545,46
2020-05-05,0,688,548,48
2020-05-06,0,729,555,48
2020-05-07,0,736,562,48
2020-05-08,0,744,566,48
2020-05-09,0,748,569,48
2020-05-10,0,751,577,49
2020-05-11,0,760,584,50
2020-05-12,0,766,588,51
2020-05-13,0,773,592,51
2020-05-14,0,773,592,51
2020-05-15,0,780,595,51
2020-05-16,0,782,604,51
2020-05-17,0,796,644,51
2020-05-18,0,796,652,51
2020-05-19,0,796,652,51
2020-05-20,0,809,661,52
2020-05-21,0,812,669,52
2020-05-22,0,814,672,52
2020-05-23,0,814,672,52
2020-05-24,0,814,672,52
2020-05-25,0,832,672,52
2020-05-26,0,832,672,52
2020-05-27,0,845,672,53
2020-05-28,0,847,719,53
2020-05-29,0,847,720,53
2020-05-30,0,847,720,53
2020-05-31,0,847,720,53
2020-06-01,0,847,720,53
2020-06-02,0,881,720,53
2020-06-03,0,884,753,53
2020-06-04,0,885,760,53
2020-06-05,0,888,760,53
2020-06-06,0,888,765,53
2020-06-07,0,889,765,53
2020-06-08,0,890,765,53
2020-06-09,0,891,765,53
2020-06-10,0,891,765,53
2020-06-11,0,892,790,53
2020-06-12,0,892,791,53
2020-06-13,0,892,799,53
2020-06-14,0,894,799,53
2020-06-15,0,894,804,53
2020-06-16,0,895,807,53
2020-06-17,0,899,809,53
2020-06-18,0,899,810,53
2020-06-19,0,900,810,53
2020-06-20,0,901,810,53
2020-06-21,0,903,814,53
2020-06-22,0,903,814,53
2020-06-23,0,907,823,53
2020-06-24,0,919,825,53
2020-06-25,0,934,826,53
2020-06-26,0,941,830,53
2020-06-27,0,941,830,53
2020-06-28,0,959,830,53
2020-06-29,0,959,830,53
2020-06-30,0,962,838,53
2020-07-01,0,962,838,53
2020-07-02,0,967,846,53
2020-07-03,0,980,852,53
2020-07-04,0,987,854,53
2020-07-05,0,987,854,53
2020-07-06,0,1000,858,53
2020-07-07,0,1003,860,53
2020-07-08,0,1003,861,53
2020-07-09,0,1005,862,53
2020-07-10,0,1020,862,53
2020-07-11,0,1033,869,53
2020-07-12,0,1036,869,53
2020-07-13,0,1036,869,53
2020-07-14,0,1037,873,53
2020-07-15,0,1038,882,53
2020-07-16,0,1038,882,53
2020-07-17,0,1045,887,53
2020-07-18,0,1047,887,53
2020-07-19,0,1052,901,53
2020-07-20,0,1065,901,53
2020-07-21,0,1065,901,53
2020-07-22,0,1066,917,53
2020-07-23,0,1070,919,53
2020-07-24,0,1075,920,53
2020-07-25,0,1086,920,53
2020-07-26,0,1086,920,53
2020-07-27,0,1100,926,53
2020-07-28,0,1105,926,53
2020-07-29,0,1105,931,53
2020-07-30,0,1106,935,53
2020-07-31,0,1106,935,53
2020-08-01,0,1143,935,53
2020-08-02,0,1143,945,53
2020-08-03,0,1150,947,53
2020-08-04,0,1153,947,54
2020-08-05,0,1153,947,54
2020-08-06,0,1158,961,54
2020-08-07,0,1158,961,54
2020-08-08,0,1175,974,54
2020-08-09,0,1175,974,54
2020-08-10,0,1204,984,54
2020-08-11,0,1211,990,54
2020-08-12,0,1213,995,54
2020-08-13,0,1228,997,54
2020-08-14,0,1238,1005,54
2020-08-15,0,1240,1006,54
2020-08-16,0,1267,1013,55
2020-08-17,0,1280,1018,55
2020-08-18,0,1280,1018,55
2020-08-19,0,1285,1023,55
2020-08-20,0,1297,1034,55
2020-08-21,0,1297,1034,55
2020-08-22,0,1297,1034,55
2020-08-23,0,1320,1043,55
2020-08-24,0,1338,1050,55
2020-08-25,0,1338,1050,55
2020-08-26,0,1352,1058,55
2020-08-27,0,1352,1058,55
2020-08-28,0,1352,1058,55
2020-08-29,0,1352,1058,55
2020-08-30,0,1357,1058,55
2020-08-31,0,1368,1058,55
2020-09-01,0,1370,1075,55
2020-09-02,0,1370,1075,55
2020-09-03,0,1375,1075,55
2020-09-04,0,1408,1098,55
2020-09-05,0,1408,1098,55
2020-09-06,0,1452,1103,55
2020-09-07,0,1463,1112,56
2020-09-08,0,1466,1112,56
2020-09-09,0,1476,1118,56
2020-09-10,0,1486,1123,56
2020-09-11,0,1499,1127,56
2020-09-12,0,1514,1127,56
2020-09-13,0,1707,1135,56
2020-09-14,0,1717,1137,56
2020-09-15,0,1733,1141,56
2020-09-16,0,1748,1162,56
2020-09-17,0,1767,1166,56
2020-09-18,0,1797,1173,56
2020-09-19,0,1816,1176,56
2020-09-20,0,1846,1187,56
2020-09-21,0,1896,1189,56
2020-09-22,0,1907,1252,56
2020-09-23,0,1929,1252,56
2020-09-24,0,1950,1260,56
2020-09-25,0,1962,1263,56
2020-09-26,0,1973,1264,56
2020-09-27,0,2008,1276,56
2020-09-28,0,2028,1279,57
2020-09-29,0,2032,1309,58
2020-09-30,0,2056,1335,58
2020-10-01,0,2088,1363,58
2020-10-02,0,2123,1385,59
2020-10-03,0,2154,1397,59
2020-10-04,0,2167,1419,59
2020-10-05,0,2184,1420,59
2020-10-06,0,2197,1441,59
2020-10-07,0,2222,1478,59
2020-10-08,0,2222,1478,59
