date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,0,0,0
2020-02-29,1,0,0,0
2020-03-01,1,0,0,0
2020-03-02,1,1,0,0
2020-03-03,3,2,0,0
2020-03-04,14,4,0,0
2020-03-05,14,4,0,0
2020-03-06,16,4,0,0
2020-03-07,18,4,0,0
2020-03-08,20,4,1,0
2020-03-09,26,4,1,0
2020-03-10,27,4,1,0
2020-03-11,35,4,1,0
2020-03-12,41,4,1,0
2020-03-13,53,10,1,0
2020-03-14,56,10,1,0
2020-03-15,58,24,1,0
2020-03-16,67,24,2,0
2020-03-17,111,26,2,0
2020-03-18,138,31,2,0
2020-03-19,160,31,2,0
2020-03-20,216,38,2,0
2020-03-21,247,47,5,0
2020-03-22,332,67,5,0
2020-03-23,392,79,5,0
2020-03-24,451,86,8,0
2020-03-25,593,99,9,0
2020-03-26,723,105,9,0
2020-03-27,867,119,11,0
2020-03-28,965,130,18,0
2020-03-29,1116,142,27,0
2020-03-30,1203,162,27,0
2020-03-31,1300,175,40,0
2020-04-01,1495,190,45,1
2020-04-02,1622,195,55,1
2020-04-03,1775,207,66,1
2020-04-04,1952,219,72,2
2020-04-05,2044,222,82,2
2020-04-06,2139,226,92,2
2020-04-07,2249,237,105,2
2020-04-08,2357,244,113,2
2020-04-09,2556,250,123,2
2020-04-10,2751,265,137,2
2020-04-11,2924,278,152,2
2020-04-12,3028,280,171,2
2020-04-13,3172,291,178,2
2020-04-14,3444,299,183,2
2020-04-15,3671,314,190,2
2020-04-16,4106,335,194,2
2020-04-17,4393,342,198,2
2020-04-18,4619,350,211,3
2020-04-19,4932,367,220,3
2020-04-20,5213,377,235,5
2020-04-21,5679,412,242,5
2020-04-22,6161,442,253,6
2020-04-23,6548,479,257,6
2020-04-24,7076,545,262,7
2020-04-25,7779,614,276,7
2020-04-26,8358,671,283,9
2020-04-27,9035,736,284,9
2020-04-28,9908,823,296,9
2020-04-29,10708,882,315,9
2020-04-30,11869,933,334,9
2020-05-01,12770,1024,356,9
2020-05-02,13960,1115,368,9
2020-05-03,14770,1182,372,9
2020-05-04,15577,1271,415,10
2020-05-05,16279,1329,470,11
2020-05-06,17461,1433,493,12
2020-05-07,18488,1492,562,13
2020-05-08,19360,1551,611,13
2020-05-09,20208,1634,643,17
2020-05-10,21564,1709,650,19
2020-05-11,22481,1886,715,19
2020-05-12,23580,1995,742,19
2020-05-13,24500,2105,782,21
2020-05-14,25492,2189,842,23
2020-05-15,26620,2310,890,25
2020-05-16,27609,2429,949,25
2020-05-17,28425,2480,973,25
2020-05-18,29597,2544,1076,26
2020-05-19,30527,2617,1133,30
2020-05-20,31569,2714,1186,30
2020-05-21,32784,2812,1251,33
2020-05-22,33983,2909,1311,33
2020-05-23,34917,2976,1416,34
2020-05-24,35806,3047,1456,35
2020-05-25,36897,3130,1515,35
2020-05-26,37448,3161,1565,36
2020-05-27,38409,3253,1586,38
2020-05-28,39400,3348,1686,39
2020-05-29,40636,3429,1738,41
2020-05-30,42006,3535,1761,42
2020-05-31,43030,3645,1801,42
2020-06-01,44850,3739,1858,42
2020-06-02,46189,3836,1954,43
2020-06-03,47738,3932,2063,45
2020-06-04,49086,4021,2162,45
2020-06-05,50786,4155,2276,45
2020-06-06,51952,4249,2512,47
2020-06-07,53218,4328,2588,49
2020-06-08,54228,4427,2699,49
2020-06-09,55630,4516,2809,52
2020-06-10,56835,4640,2885,52
2020-06-11,57999,4759,2994,55
2020-06-12,59004,4851,3100,56
2020-06-13,60382,4996,3228,60
2020-06-14,61605,5090,3344,60
2020-06-15,62859,5173,3424,64
2020-06-16,63858,5247,3525,70
2020-06-17,64828,5369,3606,73
2020-06-18,66234,5475,3716,76
2020-06-19,67851,5639,3788,79
2020-06-20,69098,5783,3859,82
2020-06-21,70076,5888,3919,84
2020-06-22,71116,5970,3953,86
2020-06-23,72161,6034,4046,89
2020-06-24,73148,6129,4072,93
2020-06-25,74133,6233,4162,94
2020-06-26,75190,6354,4193,98
2020-06-27,76199,6459,4255,102
2020-06-28,77378,6586,4291,105
2020-06-29,78334,6698,4341,108
2020-06-30,79608,6793,4431,112
2020-07-01,80515,6925,4545,116
2020-07-02,81675,7054,4599,121
2020-07-03,82753,7164,4666,125
2020-07-04,83712,7272,4713,129
2020-07-05,84468,7400,4870,133
2020-07-06,85306,7478,4870,136
2020-07-07,85999,7547,5023,137
2020-07-08,86787,7657,5097,141
2020-07-09,87757,7784,5169,143
2020-07-10,88625,7882,5311,145
2020-07-11,89415,8014,5381,145
2020-07-12,90523,8135,5446,148
2020-07-13,91233,8198,5514,150
2020-07-14,91997,8243,5580,150
2020-07-15,92801,8369,5605,153
2020-07-16,93974,8481,5735,156
2020-07-17,95048,8544,5809,160
2020-07-18,95838,8669,5859,163
2020-07-19,96550,8810,5948,167
2020-07-20,97189,8948,6002,170
2020-07-21,97558,8985,6044,174
2020-07-22,98802,9121,6108,177
2020-07-23,99972,9266,6170,178
2020-07-24,101574,9422,6291,182
2020-07-25,102889,9552,6364,187
2020-07-26,104256,9681,6409,191
2020-07-27,105339,9764,6477,194
2020-07-28,106163,9805,6591,198
2020-07-29,108126,9961,6655,200
2020-07-30,109673,10106,6725,204
2020-07-31,111047,10232,6776,205
2020-08-01,111897,10284,6822,209
2020-08-02,112812,10344,6838,209
2020-08-03,113758,10386,6901,211
2020-08-04,114836,10432,6920,214
2020-08-05,116077,10538,6988,218
2020-08-06,117994,10715,7101,223
2020-08-07,119705,10887,7186,225
2020-08-08,121281,11003,7329,229
2020-08-09,122937,11175,7352,232
2020-08-10,124339,11312,7390,236
2020-08-11,125215,11380,7449,238
2020-08-12,127057,11587,7523,242
2020-08-13,128787,11740,7572,244
2020-08-14,130739,11872,7615,249
2020-08-15,132625,12032,7637,251
2020-08-16,133942,12162,7677,253
2020-08-17,134991,12237,7728,256
2020-08-18,135917,12305,7767,256
2020-08-19,137380,12446,7877,258
2020-08-20,138899,12559,8050,261
2020-08-21,140320,12689,8165,262
2020-08-22,141872,12850,8165,266
2020-08-23,143122,12949,8455,269
2020-08-24,143934,13013,8595,272
2020-08-25,144750,13056,8715,274
2020-08-26,146134,13186,8852,275
2020-08-27,147376,13294,8974,277
2020-08-28,148626,13384,9091,279
2020-08-29,149964,13456,9233,282
2020-08-30,151240,13556,9388,284
2020-08-31,152330,13611,9439,284
2020-09-01,153274,13655,9484,284
2020-09-02,154461,13743,9506,287
2020-09-03,155493,13826,9553,287
2020-09-04,156839,13881,9723,289
2020-09-05,158152,13948,9851,290
2020-09-06,159318,13987,9922,290
2020-09-07,160400,14014,10037,291
2020-09-08,161188,14044,10037,292
2020-09-09,162505,14102,10176,293
2020-09-10,163438,14150,10207,293
2020-09-11,164699,14193,10350,293
2020-09-12,165792,14237,10373,295
2020-09-13,166998,14280,10520,297
2020-09-14,167850,14306,10563,297
2020-09-15,168577,14529,10692,298
2020-09-16,169746,14568,10756,299
2020-09-17,171058,14618,10923,300
2020-09-18,172212,14645,11051,301
2020-09-19,173546,14688,11153,302
2020-09-20,174770,14714,11260,302
2020-09-21,175767,14738,11458,302
2020-09-22,176624,14759,11621,302
2020-09-23,177629,14795,11718,303
2020-09-24,178634,14816,11818,304
2020-09-25,179804,14839,11910,304
2020-09-26,180945,14869,12028,306
2020-09-27,182240,14909,12113,308
2020-09-28,183169,14919,12231,309
2020-09-29,184089,14945,12335,310
2020-09-30,185355,14982,12437,311
2020-10-01,186706,15019,12538,311
2020-10-02,187919,15051,12694,312
2020-10-03,189256,15068,12751,312
2020-10-04,189256,15094,12805,312
2020-10-05,189256,15122,12870,312
2020-10-06,189256,15141,12936,312
2020-10-07,189256,15141,12936,312
