date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,1,0,0
2020-03-01,0,3,0,0
2020-03-02,0,3,0,0
2020-03-03,0,3,0,0
2020-03-04,0,3,0,0
2020-03-05,0,6,0,0
2020-03-06,0,6,0,0
2020-03-07,0,9,0,0
2020-03-08,0,9,0,0
2020-03-09,0,9,0,0
2020-03-10,0,11,0,0
2020-03-11,0,11,3,0
2020-03-12,0,11,3,0
2020-03-13,0,15,3,1
2020-03-14,0,15,3,1
2020-03-15,0,23,6,1
2020-03-16,0,28,6,1
2020-03-17,0,28,6,1
2020-03-18,0,28,6,1
2020-03-19,0,44,6,1
2020-03-20,0,44,6,1
2020-03-21,0,53,11,1
2020-03-22,0,65,10,1
2020-03-23,0,72,10,1
2020-03-24,0,87,10,1
2020-03-25,0,93,10,2
2020-03-26,0,122,15,3
2020-03-27,0,165,15,3
2020-03-28,0,182,15,4
2020-03-29,0,209,15,4
2020-03-30,0,273,26,4
2020-03-31,0,298,26,5
2020-04-01,0,359,26,5
2020-04-02,0,400,26,5
2020-04-03,0,443,32,5
2020-04-04,0,521,32,5
2020-04-05,0,584,32,7
2020-04-06,0,641,44,7
2020-04-07,0,717,44,8
2020-04-08,0,822,63,8
2020-04-09,0,926,101,9
2020-04-10,0,991,159,10
2020-04-11,0,1058,200,11
2020-04-12,0,1098,250,11
2020-04-13,0,1148,289,12
2020-04-14,0,1197,351,13
2020-04-15,0,1253,404,13
2020-04-16,0,1283,460,15
2020-04-17,0,1340,528,15
2020-04-18,0,1373,590,18
2020-04-19,0,1398,712,19
2020-04-20,0,1436,791,19
2020-04-21,0,1480,865,20
2020-04-22,0,1518,907,20
2020-04-23,0,1548,948,20
2020-04-24,0,1592,1013,21
2020-04-25,0,1617,1080,21
2020-04-26,0,1645,1139,21
2020-04-27,0,1678,1162,22
2020-04-28,0,1717,1221,22
2020-04-29,0,1766,1267,23
2020-04-30,0,1804,1325,24
2020-05-01,0,1854,1365,25
2020-05-02,0,1894,1411,25
2020-05-03,0,1932,1441,25
2020-05-04,0,1984,1480,26
2020-05-05,0,2060,1508,26
2020-05-06,0,2127,1536,28
2020-05-07,0,2204,1551,28
2020-05-08,0,2279,1576,28
2020-05-09,0,2422,1620,31
2020-05-10,0,2519,1650,32
2020-05-11,0,2589,1680,32
2020-05-12,0,2693,1680,33
2020-05-13,0,2758,1789,35
2020-05-14,0,2879,1833,35
2020-05-15,0,2980,1886,36
2020-05-16,0,3138,1944,36
2020-05-17,0,3274,2015,39
2020-05-18,0,3387,2055,40
2020-05-19,0,3518,2198,41
2020-05-20,0,3631,2253,43
2020-05-21,0,3749,2340,44
2020-05-22,0,3855,2399,46
2020-05-23,0,3982,2506,49
2020-05-24,0,4122,2607,49
2020-05-25,0,4271,2741,51
2020-05-26,0,4403,2819,52
2020-05-27,0,4568,2897,54
2020-05-28,0,4759,3022,56
2020-05-29,0,4989,3125,58
2020-05-30,0,5246,3327,61
2020-05-31,0,5494,3428,63
2020-06-01,0,5662,3508,68
2020-06-02,0,5935,3564,71
2020-06-03,0,6260,3665,76
2020-06-04,0,6522,3737,78
2020-06-05,0,6860,3871,82
2020-06-06,0,7239,4024,84
2020-06-07,0,7553,4149,88
2020-06-08,0,7876,4377,93
2020-06-09,0,8191,4606,98
2020-06-10,0,8530,4720,102
2020-06-11,0,8882,4930,108
2020-06-12,0,9218,5116,113
2020-06-13,0,9570,5309,115
2020-06-14,0,9957,5583,119
2020-06-15,0,10324,5739,122
2020-06-16,0,10662,5948,126
2020-06-17,0,10991,6075,133
2020-06-18,0,11329,6192,139
2020-06-19,0,11767,6325,143
2020-06-20,0,12238,6516,148
2020-06-21,0,12729,6799,154
2020-06-22,0,13207,7168,161
2020-06-23,0,13715,7503,167
2020-06-24,0,14305,7768,174
2020-06-25,0,14852,8059,180
2020-06-26,0,15369,8364,187
2020-06-27,0,15890,8719,193
2020-06-28,0,16424,9026,198
2020-06-29,0,16968,9369,206
2020-06-30,0,17524,9715,213
2020-07-01,0,18112,10061,220
2020-07-02,0,18684,10425,228
2020-07-03,0,19267,10820,235
2020-07-04,0,19801,11291,241
2020-07-05,0,20324,11742,250
2020-07-06,0,20837,12182,258
2020-07-07,0,21374,12635,265
2020-07-08,0,21916,13100,274
2020-07-09,0,22464,13591,284
2020-07-10,0,22990,14093,292
2020-07-11,0,23521,14607,298
2020-07-12,0,24041,15093,306
2020-07-13,0,24570,15640,313
2020-07-14,0,25113,16150,319
2020-07-15,0,25672,16695,326
2020-07-16,0,26165,17256,334
2020-07-17,0,26636,17805,341
2020-07-18,0,27133,18450,349
2020-07-19,0,27521,18967,354
2020-07-20,0,27890,19490,363
2020-07-21,0,28242,19939,376
2020-07-22,0,28633,20443,385
2020-07-23,0,28980,20974,391
2020-07-24,0,29312,21547,400
2020-07-25,0,29633,22082,408
2020-07-26,0,30050,22684,417
2020-07-27,0,30446,23242,423
2020-07-28,0,30858,23873,430
2020-07-29,0,31221,24495,438
2020-07-30,0,31560,25168,441
2020-07-31,0,31878,25882,448
2020-08-01,0,32157,26474,454
2020-08-02,0,32443,27113,462
2020-08-03,0,32684,27760,468
2020-08-04,0,32910,28348,473
2020-08-05,0,33103,28840,476
2020-08-06,0,33247,29275,479
2020-08-07,0,33376,29696,483
2020-08-08,0,33481,30056,488
2020-08-09,0,33568,30364,490
2020-08-10,0,33647,30642,492
2020-08-11,0,33731,30856,495
2020-08-12,0,33824,31058,497
2020-08-13,0,33915,31269,500
2020-08-14,0,34018,31490,504
2020-08-15,0,34107,31697,506
2020-08-16,0,34219,31875,506
2020-08-17,0,34343,32042,508
2020-08-18,0,34474,32201,509
2020-08-19,0,34620,32363,510
2020-08-20,0,34759,32511,510
2020-08-21,0,34921,32682,512
2020-08-22,0,35105,32842,515
2020-08-23,0,35274,32993,518
2020-08-24,0,35426,33104,519
2020-08-25,0,35559,33190,521
2020-08-26,0,35707,33281,522
2020-08-27,0,35844,33364,524
2020-08-28,0,35986,33461,527
2020-08-29,0,36174,33576,529
2020-08-30,0,36309,33703,531
2020-08-31,0,36435,33847,534
2020-09-01,0,36578,33977,536
2020-09-02,0,36732,34116,538
2020-09-03,0,36899,34264,541
2020-09-04,0,37031,34419,543
2020-09-05,0,37192,34565,545
2020-09-06,0,37329,34705,548
2020-09-07,0,37418,34837,551
2020-09-08,0,37557,34965,552
2020-09-09,0,37732,35119,555
2020-09-10,0,37874,35269,556
2020-09-11,0,38037,35440,557
2020-09-12,0,38172,35607,559
2020-09-13,0,38327,35756,562
2020-09-14,0,38403,35860,564
2020-09-15,0,38517,35998,566
2020-09-16,0,38658,36149,569
2020-09-17,0,38777,36289,571
2020-09-18,0,38894,36424,572
2020-09-19,0,39042,36601,574
2020-09-20,0,39188,36755,575
2020-09-21,0,39280,36836,576
2020-09-22,0,39378,36949,578
2020-09-23,0,39524,37122,580
2020-09-24,0,39686,37255,581
2020-09-25,0,39787,37392,583
2020-09-26,0,39895,37523,585
2020-09-27,0,40023,37655,586
2020-09-28,0,40061,37725,588
2020-09-29,0,40119,37827,590
2020-09-30,0,40229,37954,591
2020-10-01,0,40309,38068,593
2020-10-02,0,40453,38217,594
2020-10-03,0,40561,38354,595
2020-10-04,0,40691,38496,596
2020-10-05,0,40788,38587,598
2020-10-06,0,40931,38713,600
2020-10-07,0,40931,38713,600
