date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,1,0,0
2020-02-02,0,1,0,0
2020-02-03,0,1,0,0
2020-02-04,0,1,0,0
2020-02-05,0,1,0,0
2020-02-06,0,1,0,0
2020-02-07,0,1,0,0
2020-02-08,0,1,0,0
2020-02-09,0,2,0,0
2020-02-10,0,2,0,0
2020-02-11,0,2,0,0
2020-02-12,0,2,0,0
2020-02-13,0,2,0,0
2020-02-14,0,2,0,0
2020-02-15,0,2,2,0
2020-02-16,0,2,2,0
2020-02-17,0,2,2,0
2020-02-18,0,2,2,0
2020-02-19,0,2,2,0
2020-02-20,0,2,2,0
2020-02-21,0,2,2,0
2020-02-22,0,2,2,0
2020-02-23,0,2,2,0
2020-02-24,0,2,2,0
2020-02-25,0,6,2,0
2020-02-26,0,13,2,0
2020-02-27,0,15,2,0
2020-02-28,0,32,2,0
2020-02-29,0,45,2,0
2020-03-01,0,84,2,0
2020-03-02,0,120,2,0
2020-03-03,0,165,2,1
2020-03-04,0,222,2,2
2020-03-05,0,259,2,3
2020-03-06,0,400,2,5
2020-03-07,0,500,30,10
2020-03-08,0,673,30,17
2020-03-09,0,1073,32,28
2020-03-10,0,1695,32,35
2020-03-11,0,2277,183,54
2020-03-12,0,2277,183,55
2020-03-13,0,5232,193,133
2020-03-14,0,6391,517,195
2020-03-15,0,7798,517,289
2020-03-16,0,9942,530,342
2020-03-17,0,11748,1028,533
2020-03-18,0,13910,1081,623
2020-03-19,0,17963,1107,830
2020-03-20,0,20410,1588,1043
2020-03-21,0,25374,2125,1375
2020-03-22,0,28768,2575,1772
2020-03-23,0,35136,2575,2311
2020-03-24,0,39885,3794,2808
2020-03-25,0,49515,5367,3647
2020-03-26,0,57786,7015,4365
2020-03-27,0,65719,9357,5138
2020-03-28,0,73235,12285,5982
2020-03-29,0,80110,14709,6803
2020-03-30,0,87956,16780,7716
2020-03-31,0,95923,19259,8464
2020-04-01,0,104118,22647,9387
2020-04-02,0,112065,26743,10348
2020-04-03,0,119199,30513,11198
2020-04-04,0,126168,34219,11947
2020-04-05,0,131646,38080,12641
2020-04-06,0,136675,40437,13341
2020-04-07,0,141942,43208,14045
2020-04-08,0,148220,48021,14792
2020-04-09,0,153222,52165,15447
2020-04-10,0,158273,55668,16081
2020-04-11,0,163027,59109,16606
2020-04-12,0,166831,62391,17209
2020-04-13,930230,170099,64727,17756
2020-04-14,930230,172541,67504,18056
2020-04-15,930230,177644,70853,18708
2020-04-16,930230,184948,74797,19315
2020-04-17,930230,190839,74797,20002
2020-04-18,930230,191726,74797,20043
2020-04-19,930230,198674,77357,20453
2020-04-20,930230,200210,80587,20852
2020-04-21,930230,204178,82514,21282
2020-04-22,930230,208389,85915,21717
2020-04-23,1035522,213024,89250,22157
2020-04-24,1035522,202990,92355,22524
2020-04-25,1035522,205905,95708,22902
2020-04-26,1035522,207634,98372,23190
2020-04-27,1035522,209465,100875,23521
2020-04-28,1035522,210773,102548,23822
2020-04-29,1035522,212917,108947,24275
2020-04-30,1351130,213435,112050,24543
2020-05-01,1351130,215216,112050,24543
2020-05-02,1351130,216582,117248,25100
2020-05-03,1351130,217466,118902,25264
2020-05-04,1351130,218011,121343,25428
2020-05-05,1351130,219329,123486,25613
2020-05-06,1351130,220325,126002,25857
2020-05-07,1625211,221447,128511,26070
2020-05-08,1625211,222857,131148,26299
2020-05-09,1625211,223578,133952,26478
2020-05-10,1625211,224350,136166,26621
2020-05-11,1625211,227436,137139,26744
2020-05-12,1625211,228030,138980,26920
2020-05-13,1625211,228691,140823,27104
2020-05-14,1919411,229540,143374,27321
2020-05-15,1919411,230183,144783,27459
2020-05-16,1919411,230698,146446,27563
2020-05-17,1919411,230698,146446,27563
2020-05-18,1919411,231606,150376,27709
2020-05-19,1919411,232037,150376,27778
2020-05-20,1919411,232555,150376,27888
2020-05-21,2221497,233037,150376,27940
2020-05-22,2221497,234824,150376,28628
2020-05-23,2221497,235290,150376,28678
2020-05-24,2221497,235772,150376,28752
2020-05-25,2221497,235400,150376,26834
2020-05-26,2221497,236259,150376,27117
2020-05-27,2221497,236259,150376,27117
2020-05-28,2536234,237906,150376,27119
2020-05-29,2536234,238564,150376,27121
2020-05-30,2536234,239228,150376,27125
2020-05-31,2536234,239479,150376,27127
2020-06-01,2536234,239638,150376,27127
2020-06-02,2536234,239932,150376,27127
2020-06-03,2536234,240326,150376,27128
2020-06-04,2822880,240660,150376,27133
2020-06-05,2822880,240978,150376,27134
2020-06-06,2822880,241310,150376,27135
2020-06-07,2822880,241550,150376,27136
2020-06-08,2822880,241717,150376,27136
2020-06-09,2822880,241966,150376,27136
2020-06-10,2822880,242280,150376,27136
2020-06-11,3061738,242707,150376,27136
2020-06-12,3061738,243209,150376,27136
2020-06-13,3061738,243605,150376,27136
2020-06-14,3061738,243928,150376,27136
2020-06-15,3061738,244109,150376,27136
2020-06-16,3061738,244328,150376,27136
2020-06-17,3061738,244683,150376,27136
2020-06-18,3290388,245268,150376,27136
2020-06-19,3290388,245575,150376,28315
2020-06-20,3290388,245938,150376,28322
2020-06-21,3290388,246272,150376,28323
2020-06-22,3290388,246504,150376,28324
2020-06-23,3290388,246752,150376,28325
2020-06-24,3290388,247086,150376,28327
2020-06-25,3470130,247486,150376,28330
2020-06-26,3470130,247905,150376,28338
2020-06-27,3470130,248469,150376,28341
2020-06-28,3470130,248770,150376,28343
2020-06-29,3470130,248970,150376,28346
2020-06-30,3470130,249271,150376,28355
2020-07-01,3470130,249659,150376,28364
2020-07-02,3644458,250103,150376,28368
2020-07-03,3644458,250545,150376,28385
2020-07-04,3644458,250545,150376,28385
2020-07-05,3644458,250545,150376,28385
2020-07-06,3644458,251789,150376,28388
2020-07-07,3644458,252130,150376,28392
2020-07-08,3644458,252513,150376,28396
2020-07-09,3849701,253056,150376,28401
2020-07-10,3849701,253908,150376,28403
2020-07-11,3849701,253908,150376,28403
2020-07-12,3849701,253908,150376,28403
2020-07-13,3849701,255953,150376,28406
2020-07-14,3849701,256619,150376,28409
2020-07-15,3849701,257494,150376,28413
2020-07-16,4073664,258855,150376,28416
2020-07-17,4073664,260255,150376,28420
2020-07-18,4073664,260255,150376,28420
2020-07-19,4073664,260255,150376,28420
2020-07-20,4073664,264836,150376,28422
2020-07-21,4073664,266194,150376,28424
2020-07-22,4073664,267551,150376,28426
2020-07-23,4347022,270166,150376,28429
2020-07-24,4347022,272421,150376,28432
2020-07-25,4347022,272421,150376,28432
2020-07-26,4347022,272421,150376,28432
2020-07-27,4347022,278782,150376,28434
2020-07-28,4347022,280610,150376,28436
2020-07-29,4347022,282641,150376,28441
2020-07-30,4652493,285430,150376,28443
2020-07-31,4652493,288522,150376,28445
2020-08-01,4652493,288522,150376,28445
2020-08-02,4652493,288522,150376,28445
2020-08-03,4652493,297054,150376,28472
2020-08-04,4652493,302814,150376,28498
2020-08-05,4652493,305767,150376,28499
2020-08-06,4983935,309855,150376,28500
2020-08-07,4983935,314362,150376,28503
2020-08-08,4983935,314362,150376,28503
2020-08-09,4983935,314362,150376,28503
2020-08-10,4983935,322980,150376,28576
2020-08-11,4983935,326612,150376,28581
2020-08-12,4983935,329784,150376,28579
2020-08-13,5367311,337334,150376,28605
2020-08-14,5367311,342813,150376,28617
2020-08-15,5367311,342813,150376,28617
2020-08-16,5367311,342813,150376,28617
2020-08-17,5367311,359082,150376,28646
2020-08-18,5367311,364196,150376,28670
2020-08-19,5367311,370867,150376,28797
2020-08-20,5849939,377906,150376,28813
2020-08-21,5849939,386054,150376,28838
2020-08-22,5849939,386054,150376,28838
2020-08-23,5849939,386054,150376,28838
2020-08-24,5849939,405436,150376,28872
2020-08-25,5849939,412553,150376,28924
2020-08-26,5849939,419849,150376,28971
2020-08-27,6416533,429507,150376,28996
2020-08-28,6416533,439286,150376,29011
2020-08-29,6416533,439286,150376,29011
2020-08-30,6416533,439286,150376,29011
2020-08-31,6416533,462858,150376,29094
2020-09-01,6416533,470973,150376,29152
2020-09-02,6416533,479554,150376,29194
2020-09-03,7042795,488513,150376,29234
2020-09-04,7042795,498989,150376,29418
2020-09-05,7042795,498989,150376,29418
2020-09-06,7042795,498989,150376,29418
2020-09-07,7042795,525549,150376,29516
2020-09-08,7042795,534513,150376,29594
2020-09-09,7042795,543379,150376,29628
2020-09-10,7899400,554143,150376,29699
2020-09-11,7899400,566326,150376,29747
2020-09-12,7899400,566326,150376,29747
2020-09-13,7899400,566326,150376,29747
2020-09-14,7899400,593730,150376,29848
2020-09-15,7899400,603167,150376,30004
2020-09-16,7899400,614360,150376,30243
2020-09-17,8582722,625651,150376,30405
2020-09-18,8582722,640040,150376,30495
2020-09-19,8582722,640040,150376,30495
2020-09-20,8582722,640040,150376,30495
