date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,2,0,0
2020-03-06,0,2,0,0
2020-03-07,0,3,0,0
2020-03-08,0,3,0,0
2020-03-09,0,3,0,0
2020-03-10,0,5,0,0
2020-03-11,0,7,0,0
2020-03-12,0,11,0,0
2020-03-13,0,13,0,0
2020-03-14,0,18,0,0
2020-03-15,0,24,0,0
2020-03-16,0,25,0,0
2020-03-17,0,26,2,0
2020-03-18,0,38,2,0
2020-03-19,0,63,2,0
2020-03-20,0,89,2,0
2020-03-21,0,93,2,1
2020-03-22,0,126,2,1
2020-03-23,0,136,2,1
2020-03-24,0,166,2,3
2020-03-25,0,176,2,3
2020-03-26,0,191,2,3
2020-03-27,0,237,5,4
2020-03-28,0,258,5,5
2020-03-29,0,323,8,6
2020-03-30,0,368,17,10
2020-03-31,0,420,17,13
2020-04-01,0,459,19,13
2020-04-02,0,533,20,16
2020-04-03,0,579,27,17
2020-04-04,0,624,30,21
2020-04-05,0,654,30,23
2020-04-06,0,674,47,29
2020-04-07,0,764,68,33
2020-04-08,0,804,79,34
2020-04-09,0,858,101,35
2020-04-10,0,901,129,36
2020-04-11,0,946,139,37
2020-04-12,0,1009,193,39
2020-04-13,0,1037,206,39
2020-04-14,0,1083,236,40
2020-04-15,0,1110,253,41
2020-04-16,0,1167,277,43
2020-04-17,0,1214,320,46
2020-04-18,0,1268,338,47
2020-04-19,0,1285,347,48
2020-04-20,0,1309,381,49
2020-04-21,0,1342,437,51
2020-04-22,0,1368,460,53
2020-04-23,0,1413,485,54
2020-04-24,0,1421,538,55
2020-04-25,0,1486,592,57
2020-04-26,0,1516,624,59
2020-04-27,0,1565,659,60
2020-04-28,0,1585,682,63
2020-04-29,0,1677,710,65
2020-04-30,0,1757,727,69
2020-05-01,0,1781,755,70
2020-05-02,0,1839,779,72
2020-05-03,0,1857,825,77
2020-05-04,0,1926,855,78
2020-05-05,0,1946,911,79
2020-05-06,0,1987,928,86
2020-05-07,0,2027,954,90
2020-05-08,0,2070,960,98
2020-05-09,0,2090,1059,102
2020-05-10,0,2117,1106,107
2020-05-11,0,2141,1114,113
2020-05-12,0,2158,1168,117
2020-05-13,0,2181,1228,120
2020-05-14,0,2218,1272,122
2020-05-15,0,2236,1336,128
2020-05-16,0,2267,1355,129
2020-05-17,0,2290,1436,133
2020-05-18,0,2304,1464,133
2020-05-19,0,2321,1522,134
2020-05-20,0,2338,1557,136
2020-05-21,0,2350,1596,140
2020-05-22,0,2372,1614,141
2020-05-23,0,2391,1662,141
2020-05-24,0,2401,1680,144
2020-05-25,0,2406,1696,146
2020-05-26,0,2416,1721,149
2020-05-27,0,2435,1744,151
2020-05-28,0,2462,1781,153
2020-05-29,0,2485,1803,153
2020-05-30,0,2494,1831,153
2020-05-31,0,2510,1862,153
2020-06-01,0,2524,1888,154
2020-06-02,0,2535,1910,157
2020-06-03,0,2551,1939,157
2020-06-04,0,2594,1951,159
2020-06-05,0,2606,1968,159
2020-06-06,0,2606,1968,159
2020-06-07,0,2606,1968,159
2020-06-08,0,2704,2023,160
2020-06-09,0,2728,2049,160
2020-06-10,0,2775,2063,161
2020-06-11,0,2832,2100,161
2020-06-12,0,2893,2119,163
2020-06-13,0,2893,2119,163
2020-06-14,0,2893,2119,163
2020-06-15,0,3040,2162,165
2020-06-16,0,3085,2178,168
2020-06-17,0,3141,2197,168
2020-06-18,0,3174,2219,168
2020-06-19,0,3273,2241,169
2020-06-20,0,3273,2241,169
2020-06-21,0,3273,2241,169
2020-06-22,0,3525,2270,171
2020-06-23,0,3588,2285,172
2020-06-24,0,3676,2297,173
2020-06-25,0,3796,2322,175
2020-06-26,0,3935,2338,178
2020-06-27,0,3935,2338,178
2020-06-28,0,3935,2338,178
2020-06-29,0,4325,2366,184
2020-06-30,0,4453,2402,186
2020-07-01,0,4606,2432,188
2020-07-02,0,4788,2515,189
2020-07-03,0,4962,2550,191
2020-07-04,0,4962,2550,191
2020-07-05,0,4962,2550,191
2020-07-06,0,5458,2598,199
2020-07-07,0,5621,2693,207
2020-07-08,0,5869,2769,209
2020-07-09,0,6086,2815,214
2020-07-10,0,6402,3037,216
2020-07-11,0,6719,3078,219
2020-07-12,0,6877,3115,221
2020-07-13,0,6981,3179,226
2020-07-14,0,6981,3179,226
2020-07-15,0,7411,3335,235
2020-07-16,0,7681,3534,240
2020-07-17,0,7908,3612,245
2020-07-18,0,8161,3648,246
2020-07-19,0,8340,3669,249
2020-07-20,0,8479,3755,255
2020-07-21,0,8787,4003,264
2020-07-22,0,9115,4159,268
2020-07-23,0,9462,4367,274
2020-07-24,0,9767,4555,280
2020-07-25,0,9767,4555,280
2020-07-26,0,9767,4555,280
2020-07-27,0,10498,4930,294
2020-07-28,0,10766,5220,297
2020-07-29,0,11127,5441,316
2020-07-30,0,11444,5586,328
2020-07-31,0,11876,5959,339
2020-08-01,0,11876,5959,339
2020-08-02,0,12296,6312,352
2020-08-03,0,12462,6359,362
2020-08-04,0,12856,6592,373
2020-08-05,0,13138,6839,379
2020-08-06,0,13396,7042,384
2020-08-07,0,13687,7373,394
2020-08-08,0,13687,7373,394
2020-08-09,0,13687,7373,394
2020-08-10,0,14498,8159,425
2020-08-11,0,14708,8411,447
2020-08-12,0,14961,8827,453
2020-08-13,0,15184,9156,458
2020-08-14,0,15535,9344,469
2020-08-15,0,15801,9619,471
2020-08-16,0,15801,9619,471
2020-08-17,0,16111,9856,486
2020-08-18,0,16351,10279,495
2020-08-19,0,16691,10711,507
2020-08-20,0,17029,10881,515
2020-08-21,0,17396,11157,526
2020-08-22,0,17715,11329,532
2020-08-23,0,17715,11329,532
2020-08-24,0,18029,11861,547
2020-08-25,0,18326,12081,560
2020-08-26,0,18609,12336,571
2020-08-27,0,18920,12480,582
2020-08-28,0,19214,12733,591
2020-08-29,0,19550,12858,594
2020-08-30,0,19793,12961,598
2020-08-31,0,19964,13095,609
2020-09-01,0,20234,13435,620
2020-09-02,0,20517,13626,627
2020-09-03,0,20804,14120,636
2020-09-04,0,21142,14476,639
2020-09-05,0,21439,14636,651
2020-09-06,0,21560,14709,655
2020-09-07,0,21660,14830,664
2020-09-08,0,21961,15172,669
2020-09-09,0,22258,15208,675
2020-09-10,0,22544,15273,680
2020-09-11,0,22834,15672,686
2020-09-12,0,23138,15922,690
2020-09-13,0,23465,16038,696
2020-09-14,0,23635,16166,705
2020-09-15,0,23929,16701,725
2020-09-16,0,24211,16990,736
2020-09-17,0,24605,17219,747
2020-09-18,0,24897,17365,752
2020-09-19,0,25217,17489,758
2020-09-20,0,25428,17878,763
2020-09-21,0,25521,18109,770
2020-09-22,0,25737,18359,778
2020-09-23,0,26081,18634,790
2020-09-24,0,26316,19142,802
2020-09-25,0,26564,19507,808
2020-09-26,0,26797,19746,820
2020-09-27,0,26920,19746,822
2020-09-28,0,27001,20005,829
2020-09-29,0,27226,20322,843
2020-09-30,0,27469,20616,856
2020-10-01,0,27749,20947,861
2020-10-02,0,27975,21108,871
2020-10-03,0,27975,21108,871
2020-10-04,0,28354,21859,879
2020-10-05,0,28449,22032,888
2020-10-06,0,28710,22274,903
2020-10-07,0,29075,22614,908
2020-10-08,0,29075,22614,908
