date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,1,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,2,0,0
2020-02-27,0,2,0,0
2020-02-28,0,2,0,0
2020-02-29,0,4,0,0
2020-03-01,0,10,0,0
2020-03-02,0,13,0,0
2020-03-03,0,13,0,0
2020-03-04,0,13,1,0
2020-03-05,0,16,1,0
2020-03-06,0,22,1,0
2020-03-07,0,22,1,0
2020-03-08,0,32,1,0
2020-03-09,0,32,1,0
2020-03-10,0,41,1,1
2020-03-11,0,61,1,3
2020-03-12,0,61,1,3
2020-03-13,0,77,1,3
2020-03-14,0,93,1,3
2020-03-15,0,110,1,3
2020-03-16,0,110,1,3
2020-03-17,0,120,3,3
2020-03-18,0,133,3,3
2020-03-19,0,157,4,4
2020-03-20,0,163,4,4
2020-03-21,0,187,4,4
2020-03-22,0,248,8,4
2020-03-23,0,267,8,4
2020-03-24,0,318,8,4
2020-03-25,0,333,20,6
2020-03-26,0,368,23,6
2020-03-27,0,391,27,8
2020-03-28,0,412,30,8
2020-03-29,0,438,30,10
2020-03-30,0,446,35,11
2020-03-31,0,470,37,12
2020-04-01,0,479,43,14
2020-04-02,0,494,46,16
2020-04-03,0,508,50,17
2020-04-04,0,520,54,17
2020-04-05,0,527,54,18
2020-04-06,0,541,60,19
2020-04-07,0,548,62,19
2020-04-08,0,576,62,19
2020-04-09,0,582,67,19
2020-04-10,0,609,76,20
2020-04-11,0,619,77,20
2020-04-12,0,630,80,20
2020-04-13,0,632,80,20
2020-04-14,0,641,80,21
2020-04-15,0,658,85,21
2020-04-16,0,663,86,21
2020-04-17,0,668,86,21
2020-04-18,0,672,99,21
2020-04-19,0,673,102,21
2020-04-20,0,677,103,21
2020-04-21,0,677,108,21
2020-04-22,0,682,113,22
2020-04-23,0,688,140,22
2020-04-24,0,696,140,22
2020-04-25,0,704,143,24
2020-04-26,0,707,145,24
2020-04-27,0,710,145,24
2020-04-28,0,717,145,24
2020-04-29,0,721,150,24
2020-04-30,0,725,150,24
2020-05-01,0,729,192,24
2020-05-02,0,733,197,25
2020-05-03,0,737,200,25
2020-05-04,0,740,200,25
2020-05-05,0,741,206,25
2020-05-06,0,750,206,25
2020-05-07,0,784,220,25
2020-05-08,0,796,223,26
2020-05-09,0,809,234,26
2020-05-10,0,845,234,26
2020-05-11,0,859,234,26
2020-05-12,0,870,234,26
2020-05-13,0,878,236,26
2020-05-14,0,886,236,26
2020-05-15,0,891,246,26
2020-05-16,0,902,247,26
2020-05-17,0,911,247,26
2020-05-18,0,931,251,26
2020-05-19,0,954,251,26
2020-05-20,0,961,251,26
2020-05-21,0,1024,663,26
2020-05-22,0,1086,663,26
2020-05-23,0,1097,667,26
2020-05-24,0,1114,688,26
2020-05-25,0,1119,688,26
2020-05-26,0,1140,689,26
2020-05-27,0,1161,692,26
2020-05-28,0,1168,699,26
2020-05-29,0,1172,705,26
2020-05-30,0,1191,708,26
2020-05-31,0,1220,712,27
2020-06-01,0,1233,715,27
2020-06-02,0,1242,719,27
2020-06-03,0,1256,724,27
2020-06-04,0,1306,731,28
2020-06-05,0,1312,768,28
2020-06-06,0,1320,768,29
2020-06-07,0,1331,768,30
2020-06-08,0,1350,779,30
2020-06-09,0,1368,795,30
2020-06-10,0,1388,832,30
2020-06-11,0,1402,845,31
2020-06-12,0,1422,853,31
2020-06-13,0,1442,868,32
2020-06-14,0,1446,868,32
2020-06-15,0,1464,875,32
2020-06-16,0,1473,889,32
2020-06-17,0,1489,907,32
2020-06-18,0,1495,944,32
2020-06-19,0,1510,960,32
2020-06-20,0,1536,1006,32
2020-06-21,0,1587,1068,32
2020-06-22,0,1603,1077,32
2020-06-23,0,1622,1098,32
2020-06-24,0,1644,1103,33
2020-06-25,0,1662,1144,33
2020-06-26,0,1697,1144,33
2020-06-27,0,1719,1153,33
2020-06-28,0,1740,1153,34
2020-06-29,0,1745,1170,34
2020-06-30,0,1778,1183,34
2020-07-01,0,1788,1223,34
2020-07-02,0,1796,1242,35
2020-07-03,0,1830,1292,35
2020-07-04,0,1855,1304,35
2020-07-05,0,1873,1311,36
2020-07-06,0,1885,1311,36
2020-07-07,0,1907,1348,36
2020-07-08,0,1946,1368,36
2020-07-09,0,2011,1368,36
2020-07-10,0,2082,1402,36
2020-07-11,0,2168,1402,36
2020-07-12,0,2334,1420,36
2020-07-13,0,2419,1423,36
2020-07-14,0,2451,1452,37
2020-07-15,0,2542,1455,38
2020-07-16,0,2599,1485,40
2020-07-17,0,2700,1485,40
2020-07-18,0,2775,1485,40
2020-07-19,0,2859,1515,40
2020-07-20,0,2905,1562,41
2020-07-21,0,2980,1577,41
2020-07-22,0,3104,1607,43
2020-07-23,0,3260,1619,43
2020-07-24,0,3407,1666,46
2020-07-25,0,3582,1671,47
2020-07-26,0,3750,1692,51
2020-07-27,0,3882,1709,51
2020-07-28,0,4023,1710,54
2020-07-29,0,4205,1753,55
2020-07-30,0,4334,1753,57
2020-07-31,0,4555,1761,61
2020-08-01,0,4730,1761,61
2020-08-02,0,4885,1795,62
2020-08-03,0,5062,1837,65
2020-08-04,0,5062,1837,65
2020-08-05,0,5417,1880,68
2020-08-06,0,5672,1974,70
2020-08-07,0,5951,2042,70
2020-08-08,0,6223,2043,78
2020-08-09,0,6517,2127,78
2020-08-10,0,6812,2290,80
2020-08-11,0,7121,2377,87
2020-08-12,0,7413,2407,89
2020-08-13,0,7711,2496,92
2020-08-14,0,8045,2551,94
2020-08-15,0,8442,2650,97
2020-08-16,0,8881,2724,103
2020-08-17,0,9337,2809,105
2020-08-18,0,9758,2852,107
2020-08-19,0,10347,2928,109
2020-08-20,0,10952,3040,113
2020-08-21,0,11580,3204,116
2020-08-22,0,12191,3346,121
2020-08-23,0,12698,3625,123
2020-08-24,0,13155,3704,126
2020-08-25,0,13687,3723,138
2020-08-26,0,14248,3955,139
2020-08-27,0,14937,4133,146
2020-08-28,0,15613,4260,148
2020-08-29,0,16275,4484,155
2020-08-30,0,16870,4693,160
2020-08-31,0,17308,4811,167
2020-09-01,0,17777,4988,171
2020-09-02,0,18375,5195,177
2020-09-03,0,18963,5338,179
2020-09-04,0,19490,5592,183
2020-09-05,0,20011,5868,187
2020-09-06,0,20426,6139,191
2020-09-07,0,20826,6430,200
2020-09-08,0,21324,6722,207
2020-09-09,0,21877,7024,212
2020-09-10,0,22437,7312,219
2020-09-11,0,22983,7312,229
2020-09-12,0,23669,7936,239
2020-09-13,0,24310,8334,241
2020-09-14,0,25401,8765,246
2020-09-15,0,25449,9216,252
2020-09-16,0,26083,9634,259
2020-09-17,0,26768,10217,263
2020-09-18,0,27518,10739,281
2020-09-19,0,28297,11440,286
2020-09-20,0,29303,12047,297
2020-09-21,0,29987,12507,307
2020-09-22,0,30852,12878,315
2020-09-23,0,31792,13527,328
2020-09-24,0,32819,14112,329
2020-09-25,0,33962,14778,333
2020-09-26,0,35242,15434,340
2020-09-27,0,36254,16089,347
2020-09-28,0,37272,16676,351
2020-09-29,0,38377,17110,361
2020-09-30,0,39634,17565,367
2020-10-01,0,40882,18103,374
2020-10-02,0,42173,18739,386
2020-10-03,0,43494,19259,398
2020-10-04,0,44482,19782,406
2020-10-05,0,45657,20243,414
2020-10-06,0,46918,20490,424
2020-10-07,0,46918,20490,424
