date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,1,0,0
2020-01-31,0,1,0,0
2020-02-01,0,1,0,0
2020-02-02,0,2,0,1
2020-02-03,0,2,0,1
2020-02-04,0,2,0,1
2020-02-05,0,2,0,1
2020-02-06,0,2,0,1
2020-02-07,0,3,0,1
2020-02-08,0,3,0,1
2020-02-09,0,3,0,1
2020-02-10,0,3,0,1
2020-02-11,0,3,0,1
2020-02-12,0,3,1,1
2020-02-13,0,3,1,1
2020-02-14,0,3,1,1
2020-02-15,0,3,1,1
2020-02-16,0,3,1,1
2020-02-17,0,3,1,1
2020-02-18,0,3,1,1
2020-02-19,0,3,1,1
2020-02-20,0,3,1,1
2020-02-21,0,3,1,1
2020-02-22,0,3,1,1
2020-02-23,0,3,1,1
2020-02-24,0,3,1,1
2020-02-25,0,3,1,1
2020-02-26,0,3,1,1
2020-02-27,0,3,1,1
2020-02-28,0,3,1,1
2020-02-29,0,3,1,1
2020-03-01,0,3,1,1
2020-03-02,0,3,1,1
2020-03-03,0,3,1,1
2020-03-04,0,3,1,1
2020-03-05,0,3,1,1
2020-03-06,0,5,1,1
2020-03-07,0,6,1,1
2020-03-08,0,10,1,1
2020-03-09,0,20,1,1
2020-03-10,0,33,2,1
2020-03-11,0,49,2,1
2020-03-12,0,52,2,2
2020-03-13,0,64,2,5
2020-03-14,0,111,2,8
2020-03-15,0,140,2,11
2020-03-16,0,142,2,12
2020-03-17,0,187,5,12
2020-03-18,0,202,5,19
2020-03-19,0,217,8,17
2020-03-20,0,230,8,18
2020-03-21,0,307,13,19
2020-03-22,0,380,17,25
2020-03-23,0,462,17,33
2020-03-24,0,552,20,35
2020-03-25,0,636,26,38
2020-03-26,0,707,28,45
2020-03-27,0,803,31,54
2020-03-28,0,1075,35,68
2020-03-29,0,1418,42,71
2020-03-30,0,1546,42,78
2020-03-31,0,2084,49,88
2020-04-01,0,2311,50,96
2020-04-02,0,2633,51,107
2020-04-03,20276,3018,52,136
2020-04-04,22683,3094,57,144
2020-04-05,23027,3246,64,152
2020-04-06,24727,3660,73,163
2020-04-07,26412,3764,84,177
2020-04-08,29537,3870,96,182
2020-04-09,31526,4076,124,203
2020-04-10,32770,4195,140,221
2020-04-11,34072,4428,157,247
2020-04-12,35782,4648,197,297
2020-04-13,38169,4932,242,315
2020-04-14,39998,5223,295,335
2020-04-15,42623,5453,353,349
2020-04-16,46113,5660,435,362
2020-04-17,49534,5878,487,387
2020-04-18,53191,6087,516,397
2020-04-19,55508,6259,572,409
2020-04-20,57831,6459,613,428
2020-04-21,60701,6599,654,437
2020-04-22,64321,6710,693,446
2020-04-23,68047,6981,722,462
2020-04-24,72214,7192,762,477
2020-04-25,76631,7294,792,494
2020-04-26,80507,7579,862,501
2020-04-27,84935,7777,932,511
2020-04-28,89369,7958,975,530
2020-04-29,94388,8212,1023,558
2020-04-30,99190,8488,1043,568
2020-05-01,103122,8772,1084,579
2020-05-02,108330,8928,1124,603
2020-05-03,112817,9223,1214,607
2020-05-04,118281,9485,1315,623
2020-05-05,124836,9684,1408,637
2020-05-06,129973,10004,1506,658
2020-05-07,135374,10343,1618,685
2020-05-08,140906,10463,1734,696
2020-05-09,148036,10610,1842,704
2020-05-10,156793,10794,1924,719
2020-05-11,165307,11086,1999,726
2020-05-12,173819,11350,2106,751
2020-05-13,182585,11618,2251,772
2020-05-14,199205,11876,2337,790
2020-05-15,209734,12091,2460,806
2020-05-16,219224,12305,2561,817
2020-05-17,228319,12513,2635,824
2020-05-18,233713,12718,2729,831
2020-05-19,241067,12942,2843,837
2020-05-20,249282,13221,2932,842
2020-05-21,257972,13434,3000,846
2020-05-22,266971,13597,3092,857
2020-05-23,274616,13777,3177,863
2020-05-24,280508,14035,3249,868
2020-05-25,285929,14319,3323,873
2020-05-26,293219,14669,3412,886
2020-05-27,300941,15049,3506,904
2020-05-28,310224,15588,3598,921
2020-05-29,318754,16634,3720,942
2020-05-30,328144,17224,3808,950
2020-05-31,337117,18086,3909,957
2020-06-01,344570,18638,3979,960
2020-06-02,355225,18997,4063,966
2020-06-03,365968,19748,4153,974
2020-06-04,376274,20382,4248,984
2020-06-05,386772,20626,4330,987
2020-06-06,398704,21340,4441,994
2020-06-07,406831,21895,4530,1003
2020-06-08,416923,22474,4637,1011
2020-06-09,427405,22992,4736,1017
2020-06-10,437318,23732,4895,1027
2020-06-11,447245,24175,5165,1036
2020-06-12,458704,24787,5454,1052
2020-06-13,470335,25392,5706,1074
2020-06-14,478834,25930,5954,1088
2020-06-15,487482,26420,6252,1098
2020-06-16,497358,26781,6552,1103
2020-06-17,512073,27238,6820,1108
2020-06-18,523265,27799,7090,1116
2020-06-19,538198,28459,7378,1130
2020-06-20,551403,29400,7650,1150
2020-06-21,562514,30052,7893,1169
2020-06-22,574245,30682,8143,1177
2020-06-23,589238,31825,8442,1186
2020-06-24,602301,32295,8656,1204
2020-06-25,617305,33069,8910,1212
2020-06-26,633223,34073,9182,1224
2020-06-27,649970,34803,9430,1236
2020-06-28,664365,35455,9686,1244
2020-06-29,681269,36438,9956,1255
2020-06-30,696225,37514,10233,1266
2020-07-01,714563,38511,10438,1270
2020-07-02,732257,38805,10673,1274
2020-07-03,751077,40336,11073,1280
2020-07-04,771945,41830,11453,1290
2020-07-05,787400,44254,11942,1297
2020-07-06,804468,46333,12185,1303
2020-07-07,826787,47873,12386,1309
2020-07-08,848558,50359,12588,1314
2020-07-09,872434,51754,12813,1314
2020-07-10,894512,52914,13230,1360
2020-07-11,919155,54222,14037,1372
2020-07-12,935448,56259,16046,1534
2020-07-13,953911,57006,20371,1599
2020-07-14,974231,57545,20459,1603
2020-07-15,996511,58850,20976,1614
2020-07-16,1023443,61266,21440,1643
2020-07-17,1050364,63001,21748,1660
2020-07-18,1077060,65304,22067,1773
2020-07-19,1098639,67456,22465,1831
2020-07-20,1120413,68898,23072,1835
2020-07-21,1146500,70764,23281,1837
2020-07-22,1175853,72269,23623,1843
2020-07-23,1206598,74390,24383,1871
2020-07-24,1238563,76444,24502,1879
2020-07-25,1274858,78412,25752,1897
2020-07-26,1301153,80448,26110,1932
2020-07-27,1330510,82040,26446,1945
2020-07-28,1359828,83673,26617,1947
2020-07-29,1395779,85486,26996,1962
2020-07-30,1431741,89374,65064,1983
2020-07-31,1463811,93354,65178,2023
2020-08-01,1494071,98232,65265,2039
2020-08-02,1517739,103185,65557,2059
2020-08-03,1547574,106330,65821,2104
2020-08-04,1574035,112593,66049,2115
2020-08-05,1602366,115980,66270,2123
2020-08-06,1634536,119460,66837,2150
2020-08-07,1672339,122754,66852,2168
2020-08-08,1708029,126885,67117,2209
2020-08-09,1736805,129913,67673,2270
2020-08-10,1771179,136638,68159,2294
2020-08-11,1798108,139538,68432,2312
2020-08-12,1829543,143749,68997,2404
2020-08-13,1863732,147526,70387,2426
2020-08-14,1900406,153660,71405,2442
2020-08-15,1937973,157918,72209,2600
2020-08-16,1967970,161253,112586,2665
2020-08-17,1999470,164474,112759,2681
2020-08-18,2031095,169213,112861,2687
2020-08-19,2067266,173774,113481,2795
2020-08-20,2102646,178022,114114,2883
2020-08-21,2141022,182365,114519,2940
2020-08-22,2177190,187249,114921,2966
2020-08-23,2203797,189601,131367,2998
2020-08-24,2232214,194252,132042,3010
2020-08-25,2260089,197164,132396,3038
2020-08-26,2299774,202361,133460,3137
2020-08-27,2339696,205581,133990,3234
2020-08-28,2378418,209544,134474,3325
2020-08-29,2414525,213131,135101,3419
2020-08-30,2448138,217396,157403,3520
2020-08-31,2480619,220819,157562,3558
2020-09-01,2512235,224264,158012,3597
2020-09-02,2549532,226440,158610,3623
2020-09-03,2587927,228403,159475,3688
2020-09-04,2626862,232072,160549,3737
2020-09-05,2666141,234570,161668,3790
2020-09-06,2698031,237365,184687,3875
2020-09-07,2732794,238727,184906,3890
2020-09-08,2767472,241987,185178,3916
2020-09-09,2806514,245143,185543,3986
2020-09-10,2849139,248947,186058,4066
2020-09-11,2893964,252964,186606,4108
2020-09-12,2935897,257863,187116,4292
2020-09-13,2965989,261216,207568,4371
2020-09-14,2994891,265888,207504,4630
2020-09-15,3029891,269407,207352,4663
2020-09-16,3067238,272934,207858,4732
2020-09-17,3106491,276289,208096,4785
2020-09-18,3147960,279526,208790,4830
2020-09-19,3186284,283460,209885,4930
2020-09-20,3212065,286743,229865,4984
2020-09-21,3241366,290190,230233,4999
2020-09-22,3275267,291789,230643,5049
2020-09-23,3313461,294591,231373,5091
2020-09-24,3352894,296755,231928,5127
2020-09-25,3390001,299361,232399,5196
2020-09-26,3426794,301256,232906,5284
2020-09-27,3454428,304226,252510,5344
2020-09-28,3480343,307288,252665,5381
2020-09-29,3512964,309303,252930,5448
2020-09-30,3550529,311694,253488,5504
