date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,1,0,0,0
2020-01-28,0,0,0,0
2020-01-29,1,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,1,0,0,0
2020-02-03,1,0,0,0
2020-02-04,0,0,0,0
2020-02-05,1,0,0,0
2020-02-06,1,0,0,0
2020-02-07,1,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,2,0,0,0
2020-02-13,1,0,0,0
2020-02-14,1,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,1,0,0,0
2020-02-18,2,0,0,0
2020-02-19,3,0,0,0
2020-02-20,2,0,0,0
2020-02-21,0,0,0,0
2020-02-22,1,0,0,0
2020-02-23,0,0,0,0
2020-02-24,1,0,0,0
2020-02-25,10,0,0,0
2020-02-26,31,0,0,0
2020-02-27,111,1,0,0
2020-02-28,61,0,0,0
2020-02-29,74,2,0,0
2020-03-01,49,1,0,0
2020-03-02,80,0,0,0
2020-03-03,63,2,0,0
2020-03-04,89,4,0,0
2020-03-05,109,0,0,0
2020-03-06,127,13,1,0
2020-03-07,108,0,0,0
2020-03-08,229,12,0,0
2020-03-09,578,55,0,0
2020-03-10,806,172,0,0
2020-03-11,883,180,0,0
2020-03-12,676,173,0,0
2020-03-13,710,186,0,0
2020-03-14,583,26,0,1
2020-03-15,723,37,0,1
2020-03-16,1016,50,0,1
2020-03-17,948,63,0,1
2020-03-18,1226,80,0,0
2020-03-19,1848,94,0,2
2020-03-20,1179,104,0,3
2020-03-21,602,71,0,4
2020-03-22,533,69,0,0
2020-03-23,1125,55,0,11
2020-03-24,1123,141,0,8
2020-03-25,1372,133,0,2
2020-03-26,1611,153,0,7
2020-03-27,2110,169,0,11
2020-03-28,1383,155,0,13
2020-03-29,1301,194,0,7
2020-03-30,3218,182,0,5
2020-03-31,3210,283,0,13
2020-04-01,3557,247,893,14
2020-04-02,5752,279,195,19
2020-04-03,6617,371,104,16
2020-04-04,3697,320,90,22
2020-04-05,2213,292,44,18
2020-04-06,6569,312,51,8
2020-04-07,6384,390,113,16
2020-04-08,5632,331,130,15
2020-04-09,2558,233,115,19
2020-04-10,2326,184,37,10
2020-04-11,2229,177,182,13
2020-04-12,2143,178,168,13
2020-04-13,2149,144,112,12
2020-04-14,6219,193,280,14
2020-04-15,5634,170,233,10
2020-04-16,5332,198,275,12
2020-04-17,4803,194,366,15
2020-04-18,2302,169,458,10
2020-04-19,1886,142,294,9
2020-04-20,6670,131,171,9
2020-04-21,9775,180,388,6
2020-04-22,11605,217,387,14
2020-04-23,12486,161,297,10
2020-04-24,14819,137,142,9
2020-04-25,12432,235,143,15
2020-04-26,10327,130,136,4
2020-04-27,17351,123,154,5
2020-04-28,16267,153,162,7
2020-04-29,16077,157,245,9
2020-04-30,15951,150,180,9
2020-05-01,14445,153,183,8
2020-05-02,11146,96,160,15
2020-05-03,8999,116,98,9
2020-05-04,17780,147,101,9
2020-05-05,15795,151,208,10
2020-05-06,14329,117,197,3
2020-05-07,14371,145,218,8
2020-05-08,8373,135,216,8
2020-05-09,8246,101,166,4
2020-05-10,6687,110,124,3
2020-05-11,16448,84,111,4
2020-05-12,14783,78,252,-6
2020-05-13,14759,76,83,6
2020-05-14,12995,46,142,4
2020-05-15,12670,78,154,0
2020-05-16,7698,67,148,6
2020-05-17,7070,69,120,4
2020-05-18,15281,41,74,1
2020-05-19,14983,76,115,3
2020-05-20,14461,73,120,3
2020-05-21,8472,65,107,7
2020-05-22,12305,48,121,0
2020-05-23,8782,59,72,0
2020-05-24,8666,71,64,1
2020-05-25,18296,27,64,1
2020-05-26,15978,41,80,0
2020-05-27,14787,52,62,2
2020-05-28,13164,32,74,3
2020-05-29,11781,81,60,0
2020-05-30,7178,40,87,3
2020-05-31,7636,36,35,3
2020-06-01,8723,30,50,2
2020-06-02,15535,35,77,4
2020-06-03,13459,37,63,0
2020-06-04,11866,40,68,2
