date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,6,0,0
2020-03-02,0,0,0,0
2020-03-03,0,1,0,0
2020-03-04,0,3,0,0
2020-03-05,0,3,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,1,0,0
2020-03-09,0,1,0,0
2020-03-10,0,0,0,0
2020-03-11,0,2,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,11,0,2
2020-03-15,0,0,0,0
2020-03-16,0,9,0,0
2020-03-17,0,21,0,0
2020-03-18,480,53,0,0
2020-03-19,192,88,0,1
2020-03-20,287,168,0,2
2020-03-21,222,139,3,2
2020-03-22,480,283,0,7
2020-03-23,411,192,0,4
2020-03-24,235,101,0,9
2020-03-25,291,91,0,1
2020-03-26,527,230,0,6
2020-03-27,443,192,0,2
2020-03-28,367,228,0,12
2020-03-29,188,101,0,10
2020-03-30,96,38,0,2
2020-03-31,609,278,51,15
2020-04-01,763,508,4,18
2020-04-02,711,415,7,27
2020-04-03,354,205,0,25
2020-04-04,178,97,35,27
2020-04-05,415,181,0,8
2020-04-06,341,101,0,11
2020-04-07,361,0,0,0
2020-04-08,707,703,40,51
2020-04-09,981,515,199,30
2020-04-10,4018,2196,29,25
2020-04-11,544,96,43,18
2020-04-12,383,209,90,18
2020-04-13,242,63,96,22
2020-04-14,272,74,99,14
2020-04-15,516,255,84,19
2020-04-16,523,367,58,15
2020-04-17,388,225,0,18
2020-04-18,988,572,170,35
2020-04-19,920,446,53,18
2020-04-20,1427,660,89,33
2020-04-21,620,270,57,13
2020-04-22,1127,452,55,17
2020-04-23,1776,333,66,23
2020-04-24,0,11536,38,16
2020-04-25,0,0,0,0
2020-04-26,0,0,0,0
2020-04-27,7751,521,191,87
2020-04-28,1326,1018,0,208
2020-04-29,1224,417,0,12
2020-04-30,663,259,1,17
2020-05-01,2714,1402,355,163
2020-05-02,1863,1128,219,308
2020-05-03,4803,2074,1168,193
2020-05-04,2533,2343,133,5
2020-05-05,0,0,0,0
2020-05-06,-3390,0,0,49
2020-05-07,1503,-1583,0,36
2020-05-08,-3743,-1480,0,50
2020-05-09,871,253,0,13
2020-05-10,1814,488,0,410
2020-05-11,-1377,-50,0,18
2020-05-12,2250,910,0,182
2020-05-13,97,67,0,7
2020-05-14,64,16,0,4
2020-05-15,3532,965,0,256
2020-05-16,2139,1296,0,94
2020-05-17,1375,419,0,48
2020-05-18,1317,400,0,63
2020-05-19,1101,569,24,40
2020-05-20,1571,703,100,49
2020-05-21,1742,452,0,51
2020-05-22,2409,522,0,117
2020-05-23,1161,430,0,40
2020-05-24,1231,498,3,12
2020-05-25,2268,599,14443,95
2020-05-26,582,0,0,0
2020-05-27,1583,748,422,72
2020-05-28,779,368,0,38
2020-05-29,579,100,765,21
2020-05-30,513,0,0,0
2020-05-31,757,527,402,24
2020-06-01,2434,0,0,0
2020-06-02,1347,1316,427,80
2020-06-03,1959,552,0,48
2020-06-04,1415,0,0,0
2020-06-05,2136,609,549,48
