date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,1,0,0
2020-03-09,0,0,0,0
2020-03-10,0,2,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,3,0,0
2020-03-14,0,6,0,0
2020-03-15,0,11,0,0
2020-03-16,0,0,0,0
2020-03-17,0,7,1,0
2020-03-18,0,0,0,1
2020-03-19,0,19,0,0
2020-03-20,0,17,0,0
2020-03-21,0,14,0,0
2020-03-22,0,14,0,0
2020-03-23,0,15,0,0
2020-03-24,0,16,1,0
2020-03-25,0,24,0,0
2020-03-26,0,28,0,0
2020-03-27,0,22,0,1
2020-03-28,0,32,0,0
2020-03-29,0,32,0,0
2020-03-30,0,35,13,0
2020-03-31,0,55,3,2
2020-04-01,0,70,5,1
2020-04-02,0,82,0,1
2020-04-03,0,86,3,2
2020-04-04,0,161,3,4
2020-04-05,0,112,1,3
2020-04-06,0,101,7,4
2020-04-07,0,91,3,3
2020-04-08,0,118,0,5
2020-04-09,0,115,10,2
2020-04-10,0,149,6,0
2020-04-11,0,122,19,1
2020-04-12,0,102,19,1
2020-04-13,0,50,13,4
2020-04-14,0,222,27,5
2020-04-15,0,115,37,6
2020-04-16,0,105,64,8
2020-04-17,0,110,41,2
2020-04-18,0,114,115,1
2020-04-19,0,94,66,10
2020-04-20,0,76,0,3
2020-04-21,0,66,48,2
2020-04-22,0,164,55,3
2020-04-23,0,148,101,5
2020-04-24,0,184,94,4
2020-04-25,0,194,70,10
2020-04-26,0,104,70,2
2020-04-27,0,73,30,6
2020-04-28,0,157,50,1
2020-04-29,0,133,139,8
2020-04-30,0,126,68,5
2020-05-01,0,83,90,6
2020-05-02,0,72,62,2
2020-05-03,0,69,48,1
2020-05-04,0,127,41,7
2020-05-05,0,115,121,4
2020-05-06,0,113,114,7
2020-05-07,0,129,89,2
2020-05-08,0,123,79,5
2020-05-09,0,139,99,11
2020-05-10,0,60,33,8
2020-05-11,0,68,22,6
2020-05-12,0,159,89,7
2020-05-13,0,252,107,3
2020-05-14,0,147,52,9
2020-05-15,0,192,0,8
2020-05-16,0,189,116,5
2020-05-17,0,126,0,4
2020-05-18,0,78,81,6
2020-05-19,0,202,83,4
2020-05-20,0,213,445,7
2020-05-21,0,151,0,5
2020-05-22,0,143,416,4
2020-05-23,0,147,83,5
2020-05-24,0,99,261,8
2020-05-25,0,54,89,11
2020-05-26,0,158,82,6
2020-05-27,0,232,0,7
2020-05-28,0,188,239,8
2020-05-29,0,171,155,6
2020-05-30,0,202,177,3
2020-05-31,0,153,126,4
2020-06-01,0,109,41,10
2020-06-02,0,188,116,2
2020-06-03,0,247,125,3
2020-06-04,0,223,146,5
2020-06-05,0,229,231,8
2020-06-06,0,264,210,8
2020-06-07,0,189,188,10
2020-06-08,0,107,100,12
2020-06-09,0,218,59,12
