date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,9,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,1,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,1,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,1,0,0,0
2020-02-23,1,0,0,0
2020-02-24,1,0,0,0
2020-02-25,1,0,0,0
2020-02-26,2,0,0,0
2020-02-27,2,0,0,0
2020-02-28,0,0,0,0
2020-02-29,6,0,0,0
2020-03-01,0,0,0,0
2020-03-02,4,1,0,0
2020-03-03,4,0,0,0
2020-03-04,2,0,0,0
2020-03-05,7,1,0,0
2020-03-06,10,0,0,0
2020-03-07,5,0,0,0
2020-03-08,0,0,0,0
2020-03-09,5,0,0,0
2020-03-10,4,1,0,1
2020-03-11,18,2,0,0
2020-03-12,13,1,0,0
2020-03-13,4,1,1,0
2020-03-14,29,10,0,0
2020-03-15,20,11,0,0
2020-03-16,39,1,0,0
2020-03-17,38,9,0,1
2020-03-18,90,11,0,0
2020-03-19,53,14,0,0
2020-03-20,94,14,0,1
2020-03-21,73,19,2,0
2020-03-22,90,19,0,1
2020-03-23,159,28,0,0
2020-03-24,69,27,3,1
2020-03-25,140,55,1,1
2020-03-26,211,50,1,5
2020-03-27,562,70,3,12
2020-03-28,208,57,0,2
2020-03-29,297,77,2,1
2020-03-30,478,77,2,7
2020-03-31,149,61,9,3
2020-04-01,445,37,5,3
2020-04-02,279,54,2,5
2020-04-03,286,83,26,4
2020-04-04,411,128,9,11
2020-04-05,527,102,10,11
2020-04-06,256,99,5,10
2020-04-07,333,64,12,10
2020-04-08,315,91,4,3
2020-04-09,631,99,12,4
2020-04-10,856,74,13,10
2020-04-11,709,97,24,4
2020-04-12,656,116,31,7
2020-04-13,524,102,26,8
2020-04-14,794,125,14,0
2020-04-15,728,136,12,1
2020-04-16,1346,259,20,3
2020-04-17,956,281,32,5
2020-04-18,737,121,33,2
2020-04-19,1434,170,13,4
2020-04-20,1263,191,23,2
2020-04-21,1714,163,43,2
2020-04-22,1785,237,24,4
2020-04-23,2062,122,39,6
2020-04-24,1986,190,30,3
2020-04-25,1510,139,51,1
2020-04-26,1956,168,56,2
2020-04-27,1855,55,102,1
2020-04-28,1996,132,83,3
2020-04-29,1680,69,150,3
2020-04-30,1911,102,56,2
2020-05-01,2165,146,99,1
2020-05-02,2361,160,173,2
2020-05-03,2745,174,182,1
2020-05-04,3190,150,215,5
2020-05-05,4268,166,185,2
2020-05-06,3388,189,179,2
2020-05-07,3534,140,162,0
2020-05-08,3379,163,145,3
2020-05-09,3188,199,137,0
2020-05-10,2865,153,93,2
2020-05-11,3056,218,257,0
2020-05-12,2835,137,180,0
2020-05-13,4055,94,140,0
2020-05-14,2052,95,179,2
2020-05-15,3694,45,90,0
2020-05-16,3388,89,87,2
2020-05-17,4953,129,173,0
2020-05-18,5579,82,98,0
2020-05-19,4831,71,143,1
2020-05-20,5637,110,197,1
2020-05-21,6993,78,182,2
2020-05-22,10405,121,97,1
2020-05-23,10159,74,261,1
2020-05-24,9321,27,65,1
2020-05-25,9321,99,71,1
2020-05-26,9162,45,107,2
2020-05-27,9348,24,97,0
2020-05-28,9476,42,217,0
2020-05-29,9872,71,76,0
2020-05-30,9937,66,130,2
2020-05-31,9141,27,58,1
2020-06-01,12415,26,434,0
2020-06-02,13097,33,517,1
2020-06-03,13173,56,456,0
2020-06-04,13186,81,329,2
2020-06-05,14339,68,73,0
2020-06-06,14108,80,47,0
