date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,1,0,0
2020-01-23,0,0,0,0
2020-01-24,0,1,0,0
2020-01-25,0,0,0,0
2020-01-26,0,3,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,1,0,0
2020-01-30,0,0,0,0
2020-01-31,0,2,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,3,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,1,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,3,0
2020-02-10,0,0,0,0
2020-02-11,0,1,0,0
2020-02-12,0,0,0,0
2020-02-13,0,1,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,2,2,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,1,0
2020-02-26,0,0,0,0
2020-02-27,0,1,0,0
2020-02-28,0,0,1,0
2020-02-29,0,8,0,1
2020-03-01,130,7,0,0
2020-03-02,343,23,0,5
2020-03-03,727,19,0,1
2020-03-04,843,33,0,4
2020-03-05,973,77,0,1
2020-03-06,1314,53,0,2
2020-03-07,1325,166,0,3
2020-03-08,1416,116,0,4
2020-03-09,2025,75,0,1
2020-03-10,2674,188,1,6
2020-03-11,3857,365,0,5
2020-03-12,7028,439,4,10
2020-03-13,9968,633,0,8
2020-03-14,10575,759,0,7
2020-03-15,12003,234,0,12
2020-03-16,23050,1467,5,27
2020-03-17,36203,1832,0,35
2020-03-18,46967,2654,88,59
2020-03-19,56650,4494,16,74
2020-03-20,68330,6367,26,99
2020-03-21,68706,5996,29,99
2020-03-22,63309,8802,2,110
2020-03-23,71269,11219,0,189
2020-03-24,92355,10577,170,239
2020-03-25,101515,12034,13,324
2020-03-26,113431,17894,320,408
2020-03-27,119275,18631,188,520
2020-03-28,108129,19607,203,633
2020-03-29,98743,18929,1593,586
2020-03-30,109285,22013,2979,692
2020-03-31,127597,26363,1380,1085
2020-04-01,135470,25819,1450,1172
2020-04-02,142161,30392,527,1503
2020-04-03,150998,32000,706,1392
2020-04-04,135251,33001,4945,1523
2020-04-05,128895,28184,2796,1590
2020-04-06,131432,30185,2133,1770
2020-04-07,151539,31399,2182,2571
2020-04-08,346716,32016,1796,2146
2020-04-09,167162,34648,1851,2228
2020-04-10,173522,33536,3380,2218
2020-04-11,207835,29357,2480,2119
2020-04-12,120165,26959,1718,1813
2020-04-13,109390,25791,10494,1946
2020-04-14,150295,28591,4281,2455
2020-04-15,181936,30008,4333,2609
2020-04-16,178520,31522,2607,2176
2020-04-17,177941,32806,3842,2093
2020-04-18,174942,27851,6295,1960
2020-04-19,133598,25681,5497,1931
2020-04-20,156972,28422,1992,2186
2020-04-21,218169,26038,2875,2548
2020-04-22,224891,29297,2162,2434
2020-04-23,218083,33431,2837,2469
2020-04-24,248499,33566,18876,2154
2020-04-25,216859,31801,1293,1698
2020-04-26,198525,27099,6616,1329
2020-04-27,217796,23174,4436,1466
2020-04-28,248863,24674,4512,2241
2020-04-29,293357,27845,4784,2521
2020-04-30,310180,29505,33227,2322
2020-05-01,295621,34220,10068,1891
2020-05-02,282080,28002,11367,1692
2020-05-03,182068,24502,4770,1120
2020-05-04,214170,23402,7028,1333
2020-05-05,350935,24563,2611,2318
2020-05-06,313300,25147,119,2364
2020-05-07,368935,27790,5126,1934
2020-05-08,399396,26882,3957,1747
2020-05-09,319172,24968,13541,1488
2020-05-10,215351,18856,3635,893
2020-05-11,352518,19447,16564,1014
2020-05-12,407612,22758,-2446,1627
2020-05-13,424539,20966,13143,1764
2020-05-14,434581,27308,2984,1783
2020-05-15,429721,25298,4333,1681
2020-05-16,364119,24013,17629,1216
2020-05-17,304768,18114,3889,758
2020-05-18,331188,22012,10913,1172
2020-05-19,455494,21044,6214,1552
2020-05-20,413249,23505,4920,1526
2020-05-21,511632,25665,4106,1217
2020-05-22,493987,23438,51717,1244
2020-05-23,382902,21197,11104,1109
