date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,3,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,1,0,0,0
2020-03-15,0,0,0,0
2020-03-16,7,0,0,0
2020-03-17,5,0,0,0
2020-03-18,7,0,0,0
2020-03-19,0,0,0,0
2020-03-20,3,0,0,0
2020-03-21,2,0,0,0
2020-03-22,2,0,0,0
2020-03-23,1,0,0,0
2020-03-24,26,1,0,0
2020-03-25,29,0,0,0
2020-03-26,0,0,0,0
2020-03-27,5,0,0,0
2020-03-28,16,2,0,0
2020-03-29,0,5,0,0
2020-03-30,9,0,0,0
2020-03-31,0,2,1,0
2020-04-01,14,0,0,0
2020-04-02,0,1,0,1
2020-04-03,14,0,0,0
2020-04-04,30,7,0,0
2020-04-05,18,0,0,0
2020-04-06,13,1,0,0
2020-04-07,27,1,0,0
2020-04-08,19,1,7,0
2020-04-09,116,3,0,0
2020-04-10,15,0,0,0
2020-04-11,16,0,0,0
2020-04-12,11,1,1,0
2020-04-13,9,1,0,0
2020-04-14,16,9,0,0
2020-04-15,49,13,0,0
2020-04-16,64,1,2,0
2020-04-17,64,0,0,0
2020-04-18,8,0,0,0
2020-04-19,25,2,0,0
2020-04-20,58,0,4,0
2020-04-21,83,0,0,0
2020-04-22,97,8,0,0
2020-04-23,156,1,0,1
2020-04-24,82,1,3,0
2020-04-25,42,0,0,0
2020-04-26,162,0,0,0
2020-04-27,82,0,0,0
2020-04-28,97,0,0,0
2020-04-29,55,0,0,0
2020-04-30,92,0,0,1
2020-05-01,148,2,0,0
2020-05-02,58,0,4,0
2020-05-03,47,0,0,0
2020-05-04,136,0,1,0
2020-05-05,168,0,0,0
2020-05-06,254,1,1,0
2020-05-07,68,0,0,0
2020-05-08,144,0,0,0
2020-05-09,121,0,0,0
2020-05-10,77,0,0,0
2020-05-11,83,0,4,0
2020-05-12,100,0,0,0
2020-05-13,120,0,0,0
2020-05-14,56,0,0,0
2020-05-15,95,0,0,0
2020-05-16,56,1,0,0
2020-05-17,43,0,7,0
2020-05-18,178,0,0,0
2020-05-19,200,3,0,0
2020-05-20,241,1,0,0
2020-05-21,326,2,0,0
2020-05-22,238,1,3,0
2020-05-23,152,3,1,0
2020-05-24,413,0,0,0
2020-05-25,123,0,1,0
2020-05-26,66,2,0,0
2020-05-27,333,22,0,1
2020-05-28,269,6,1,1
2020-05-29,423,13,0,0
2020-05-30,322,12,9,0
2020-05-31,475,26,2,0
2020-06-01,658,12,0,0
2020-06-02,504,14,0,0
2020-06-03,612,14,0,0
2020-06-04,648,13,0,0
2020-06-05,635,30,0,0
2020-06-06,396,17,0,0
2020-06-07,370,0,0,0
2020-06-08,887,76,5,0
2020-06-09,540,27,1,0
