date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,1,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,1,0,0
2020-02-03,0,1,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,1,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,1,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,1,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,2,0,0
2020-03-03,0,1,0,0
2020-03-04,0,22,0,0
2020-03-05,0,2,0,0
2020-03-06,0,1,0,0
2020-03-07,0,3,0,0
2020-03-08,0,5,0,0
2020-03-09,0,9,0,0
2020-03-10,0,15,1,0
2020-03-11,0,8,0,0
2020-03-12,0,10,0,1
2020-03-13,6500,10,6,0
2020-03-14,0,11,0,1
2020-03-15,0,10,3,0
2020-03-16,0,14,1,0
2020-03-17,0,20,1,1
2020-03-18,6625,25,0,0
2020-03-19,191,27,5,1
2020-03-20,1060,58,3,0
2020-03-21,1325,78,0,0
2020-03-22,1298,69,0,3
2020-03-23,3708,94,2,2
2020-03-24,157,74,15,1
2020-03-25,4280,86,3,1
2020-03-26,0,73,7,5
2020-03-27,2544,153,25,3
2020-03-28,0,136,10,5
2020-03-29,0,120,17,3
2020-03-30,0,187,35,14
2020-03-31,0,309,13,6
2020-04-01,0,424,19,6
2020-04-02,20263,486,22,16
2020-04-03,21294,560,39,14
2020-04-04,10705,579,56,13
2020-04-05,9584,609,43,22
2020-04-06,11534,484,65,16
2020-04-07,12947,573,75,27
2020-04-08,13904,565,96,20
2020-04-09,16991,813,70,46
2020-04-10,16420,871,151,22
2020-04-11,18044,854,186,41
2020-04-12,16374,758,114,42
2020-04-13,21806,1243,112,27
2020-04-14,27339,1031,167,37
2020-04-15,29706,886,144,27
2020-04-16,28357,1061,258,26
2020-04-17,32167,922,273,38
2020-04-18,37000,1371,426,35
2020-04-19,29463,1580,388,38
2020-04-20,0,1239,419,33
2020-04-21,61035,1537,703,53
2020-04-22,0,1292,394,36
2020-04-23,37921,1667,642,40
2020-04-24,41247,1408,484,59
2020-04-25,38168,1835,442,44
2020-04-26,45352,1607,585,56
2020-04-27,40510,1568,580,58
2020-04-28,50914,1902,636,69
2020-04-29,54031,1705,690,71
2020-04-30,59437,1801,630,75
2020-05-01,72453,2396,962,77
2020-05-02,73709,2564,831,92
2020-05-03,70087,2952,911,140
2020-05-04,60783,3656,1082,103
2020-05-05,84713,2971,1295,128
2020-05-06,84835,3602,1161,91
2020-05-07,80632,3344,1475,104
2020-05-08,80375,3339,1111,97
2020-05-09,85425,3175,1414,115
2020-05-10,85824,4311,1669,112
2020-05-11,64651,3592,1579,81
2020-05-12,85891,3562,1905,120
2020-05-13,94671,3726,1963,137
2020-05-14,92791,3991,1594,97
2020-05-15,92911,3808,2234,104
2020-05-16,94325,4794,4012,120
2020-05-17,93365,5049,2538,152
2020-05-18,75150,4628,2482,131
2020-05-19,101475,6154,3032,146
2020-05-20,108121,5720,3113,134
2020-05-21,103532,6023,3131,148
2020-05-22,103514,6536,3280,142
2020-05-23,115364,6665,2576,142
2020-05-24,108623,7113,3285,156
2020-05-25,90170,6414,3012,150
2020-05-26,92528,5907,3585,173
2020-05-27,116041,7246,3434,188
2020-05-28,119976,7254,3171,176
2020-05-29,121702,8138,11735,269
2020-05-30,127761,8364,4303,205
