date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,1,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,2,0,0
2020-03-01,0,6,0,0
2020-03-02,0,3,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,1,0
2020-03-05,0,3,0,0
2020-03-06,0,6,0,0
2020-03-07,0,0,0,0
2020-03-08,0,10,0,0
2020-03-09,0,0,0,0
2020-03-10,0,9,0,1
2020-03-11,0,20,0,2
2020-03-12,0,0,0,0
2020-03-13,0,16,0,0
2020-03-14,0,16,0,0
2020-03-15,0,17,0,0
2020-03-16,0,0,0,0
2020-03-17,0,10,2,0
2020-03-18,0,13,0,0
2020-03-19,0,24,1,1
2020-03-20,0,6,0,0
2020-03-21,0,24,0,0
2020-03-22,0,61,4,0
2020-03-23,0,19,0,0
2020-03-24,0,51,0,0
2020-03-25,0,15,12,2
2020-03-26,0,35,3,0
2020-03-27,0,23,4,2
2020-03-28,0,21,3,0
2020-03-29,0,26,0,2
2020-03-30,0,8,5,1
2020-03-31,0,24,2,1
2020-04-01,0,9,6,2
2020-04-02,0,15,3,2
2020-04-03,0,14,4,1
2020-04-04,0,12,4,0
2020-04-05,0,7,0,1
2020-04-06,0,14,6,1
2020-04-07,0,7,2,0
2020-04-08,0,28,0,0
2020-04-09,0,6,5,0
2020-04-10,0,27,9,1
2020-04-11,0,10,1,0
2020-04-12,0,11,3,0
2020-04-13,0,2,0,0
2020-04-14,0,9,0,1
2020-04-15,0,17,5,0
2020-04-16,0,5,1,0
2020-04-17,0,5,0,0
2020-04-18,0,4,13,0
2020-04-19,0,1,3,0
2020-04-20,0,4,1,0
2020-04-21,0,0,5,0
2020-04-22,0,5,5,1
2020-04-23,0,6,27,0
2020-04-24,0,8,0,0
2020-04-25,0,8,3,2
2020-04-26,0,3,2,0
2020-04-27,0,3,0,0
2020-04-28,0,7,0,0
2020-04-29,0,4,5,0
2020-04-30,0,4,0,0
2020-05-01,0,4,42,0
2020-05-02,0,4,5,1
2020-05-03,0,4,3,0
2020-05-04,0,3,0,0
2020-05-05,0,1,6,0
2020-05-06,0,9,0,0
2020-05-07,0,34,14,0
2020-05-08,0,12,3,1
2020-05-09,0,13,11,0
2020-05-10,0,36,0,0
2020-05-11,0,14,0,0
2020-05-12,0,11,0,0
2020-05-13,0,8,2,0
2020-05-14,0,8,0,0
2020-05-15,0,5,10,0
2020-05-16,0,11,1,0
2020-05-17,0,9,0,0
2020-05-18,0,20,4,0
2020-05-19,0,23,0,0
2020-05-20,0,7,0,0
2020-05-21,0,63,412,0
2020-05-22,0,62,0,0
2020-05-23,0,11,4,0
2020-05-24,0,17,21,0
2020-05-25,0,5,0,0
2020-05-26,0,21,1,0
2020-05-27,0,21,3,0
2020-05-28,0,7,7,0
2020-05-29,0,4,6,0
2020-05-30,0,19,3,0
2020-05-31,0,29,4,1
2020-06-01,0,13,3,0
2020-06-02,0,9,4,0
2020-06-03,0,14,5,0
2020-06-04,0,50,7,1
2020-06-05,0,6,37,0
2020-06-06,0,8,0,1
2020-06-07,0,11,0,1
2020-06-08,0,19,11,0
2020-06-09,0,18,16,0
