date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,2,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,1,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,1,0,0
2020-02-10,0,4,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,1,0
2020-02-13,0,1,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,7,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,4,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,6,0,0
2020-02-29,0,4,0,0
2020-03-01,0,12,0,0
2020-03-02,0,5,0,0
2020-03-03,0,11,0,0
2020-03-04,0,34,0,0
2020-03-05,0,29,0,0
2020-03-06,0,46,0,1
2020-03-07,0,46,10,1
2020-03-08,0,65,0,0
2020-03-09,0,50,0,1
2020-03-10,0,52,0,4
2020-03-11,0,83,0,0
2020-03-12,0,134,0,2
2020-03-13,0,207,0,1
2020-03-14,0,264,0,19
2020-03-15,0,330,0,14
2020-03-16,0,152,2,22
2020-03-17,0,407,32,17
2020-03-18,0,676,13,34
2020-03-19,0,643,0,46
2020-03-20,0,714,0,32
2020-03-21,0,1035,0,58
2020-03-22,0,665,0,36
2020-03-23,0,967,0,76
2020-03-24,0,1427,70,148
2020-03-25,0,1452,0,191
2020-03-26,0,2129,0,181
2020-03-27,0,2890,0,288
2020-03-28,0,2556,0,292
2020-03-29,0,2502,0,212
2020-03-30,0,2665,0,374
2020-03-31,0,3250,0,403
2020-04-01,155174,4567,0,672
2020-04-02,12063,4522,0,657
2020-04-03,15115,4672,0,736
2020-04-04,41226,4000,0,756
2020-04-05,16080,6199,0,599
2020-04-06,13238,4143,0,567
2020-04-07,14407,3888,0,1105
2020-04-08,14423,5865,0,1030
2020-04-09,16443,4675,0,1116
2020-04-10,18667,5706,209,1122
2020-04-11,18138,5233,0,843
2020-04-12,18000,5288,0,657
2020-04-13,14693,4342,0,724
2020-04-14,14983,5252,0,1076
2020-04-15,16266,4603,0,880
2020-04-16,18733,4617,0,1036
2020-04-17,21342,5599,0,913
2020-04-18,21446,5525,0,1105
2020-04-19,21626,5850,0,432
2020-04-20,19316,4676,0,570
2020-04-21,35742,4301,0,1224
2020-04-22,22814,4451,0,847
2020-04-23,23561,4583,0,682
2020-04-24,28535,5386,0,1010
2020-04-25,28761,4913,0,815
2020-04-26,29058,4463,0,364
2020-04-27,31610,4309,0,320
2020-04-28,33400,3996,0,969
2020-04-29,45506,4076,0,769
2020-04-30,68930,6032,0,634
2020-05-01,84159,6201,0,698
2020-05-02,74893,4806,0,584
2020-05-03,63561,4339,0,253
2020-05-04,68817,3985,0,272
2020-05-05,80038,4406,0,726
2020-05-06,62679,6111,0,647
2020-05-07,77152,5614,0,458
2020-05-08,78911,4649,0,579
2020-05-09,77896,3896,0,275
2020-05-10,77202,3923,0,217
2020-05-11,76942,3877,0,187
2020-05-12,70443,3403,0,614
2020-05-13,74859,3242,0,447
2020-05-14,84166,3446,0,352
2020-05-15,85179,3560,0,350
2020-05-16,95981,3450,0,411
2020-05-17,93353,3562,0,67
2020-05-18,82141,2683,0,146
2020-05-19,72584,2412,0,500
2020-05-20,79845,-525,0,328
2020-05-21,87818,2615,0,273
2020-05-22,107928,3287,0,291
2020-05-23,92144,2959,0,220
2020-05-24,92309,2405,0,379
2020-05-25,59636,1625,0,104
2020-05-26,148438,4043,0,131
2020-05-27,78275,2013,0,422
2020-05-28,83016,1887,0,343
2020-05-29,102735,2095,0,274
2020-05-30,106552,1604,0,154
2020-05-31,97390,1936,0,60
