date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,3,0,0,0
2020-01-25,4,0,0,0
2020-01-26,0,0,0,0
2020-01-27,13,0,0,0
2020-01-28,16,0,0,0
2020-01-29,29,0,0,0
2020-01-30,40,0,0,0
2020-01-31,32,0,0,0
2020-02-01,19,0,0,0
2020-02-02,11,0,0,0
2020-02-03,14,0,0,0
2020-02-04,26,0,0,0
2020-02-05,28,0,0,0
2020-02-06,13,0,0,0
2020-02-07,15,0,0,0
2020-02-08,7,0,0,0
2020-02-09,9,0,0,0
2020-02-10,13,0,0,0
2020-02-11,22,0,0,0
2020-02-12,20,0,0,0
2020-02-13,7,0,0,0
2020-02-14,9,0,0,0
2020-02-15,5,0,0,0
2020-02-16,5,0,0,0
2020-02-17,0,0,0,0
2020-02-18,9,0,0,0
2020-02-19,14,0,0,0
2020-02-20,10,0,0,0
2020-02-21,14,0,0,0
2020-02-22,2,0,0,0
2020-02-23,5,0,0,0
2020-02-24,48,0,0,0
2020-02-25,170,1,0,0
2020-02-26,317,0,0,0
2020-02-27,279,7,0,0
2020-02-28,450,0,0,0
2020-02-29,257,10,0,0
2020-03-01,373,9,0,0
2020-03-02,478,15,0,0
2020-03-03,716,14,2,0
2020-03-04,592,34,1,0
2020-03-05,587,24,0,1
2020-03-06,957,100,0,0
2020-03-07,727,54,0,0
2020-03-08,744,69,0,1
2020-03-09,1631,37,0,0
2020-03-10,2172,117,0,1
2020-03-11,2724,161,1,1
2020-03-12,4634,0,0,0
2020-03-13,4689,487,0,7
2020-03-14,5244,220,0,2
2020-03-15,2523,841,0,1
2020-03-16,5279,0,0,0
2020-03-17,9353,500,0,13
2020-03-18,10591,328,11,1
2020-03-19,9681,1047,0,13
2020-03-20,8153,1219,0,13
2020-03-21,6429,1281,0,21
2020-03-22,3289,899,116,23
2020-03-23,6640,1321,0,22
2020-03-24,5813,1082,0,2
2020-03-25,7692,1020,0,31
2020-03-26,7861,914,0,38
2020-03-27,7197,1117,1399,40
2020-03-28,5765,1148,0,33
2020-03-29,2767,753,65,36
2020-03-30,4489,1093,228,59
2020-03-31,7160,683,0,74
2020-04-01,6702,1163,1144,55
2020-04-02,7021,1059,1046,48
2020-04-03,6517,779,833,55
2020-04-04,5204,899,1569,75
2020-04-05,3305,595,0,49
2020-04-06,4112,557,1641,50
2020-04-07,6870,596,648,56
2020-04-08,6561,1027,1096,74
2020-04-09,6016,771,800,53
2020-04-10,3981,500,500,54
2020-04-11,2798,556,1000,34
2020-04-12,2300,308,600,70
2020-04-13,2197,273,1000,32
2020-04-14,3923,248,0,36
2020-04-15,5590,400,1700,65
2020-04-16,5137,396,500,42
2020-04-17,4598,346,500,46
2020-04-18,3649,326,700,41
2020-04-19,2119,336,700,25
2020-04-20,3427,204,800,36
2020-04-21,4973,119,800,49
2020-04-22,4653,205,500,31
2020-04-23,4562,228,700,40
2020-04-24,4793,181,400,40
2020-04-25,4033,217,300,10
2020-04-26,2363,167,500,11
2020-04-27,3749,103,400,55
2020-04-28,5594,100,400,34
2020-04-29,5810,143,0,17
2020-04-30,4850,179,800,21
2020-05-01,4451,119,500,17
2020-05-02,3120,112,300,8
2020-05-03,2519,88,300,0
2020-05-04,3862,76,700,22
2020-05-05,5890,28,200,11
2020-05-06,5376,51,300,10
2020-05-07,4664,66,200,5
2020-05-08,4356,81,200,13
2020-05-09,3136,44,300,7
2020-05-10,1431,54,200,3
2020-05-11,5076,39,200,12
2020-05-12,5567,36,0,22
2020-05-13,6231,33,300,3
2020-05-14,5706,50,0,2
2020-05-15,5598,51,0,6
2020-05-16,3270,58,300,1
2020-05-17,1744,15,100,2
2020-05-18,4414,10,100,5
2020-05-19,5999,21,100,5
2020-05-20,4864,40,100,1
2020-05-21,2117,36,100,6
2020-05-22,3565,13,0,5
2020-05-23,2528,18,100,2
2020-05-24,1660,11,100,1
2020-05-25,4004,10,100,7
2020-05-26,5695,15,0,2
2020-05-27,5001,15,100,2
2020-05-28,4193,20,0,2
2020-05-29,3712,32,0,0
2020-05-30,2588,17,100,0
2020-05-31,1572,17,100,1
2020-06-01,1782,9,0,0
2020-06-02,4282,3,0,0
