date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,1,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,3,0,0
2020-03-09,0,0,0,0
2020-03-10,0,1,0,0
2020-03-11,0,2,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,4,0,0
2020-03-15,0,5,0,0
2020-03-16,0,5,1,0
2020-03-17,0,1,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,2,0,0
2020-03-21,0,0,0,0
2020-03-22,0,16,0,1
2020-03-23,0,0,0,0
2020-03-24,0,34,0,0
2020-03-25,0,10,1,1
2020-03-26,0,10,0,2
2020-03-27,0,16,0,0
2020-03-28,0,0,0,0
2020-03-29,0,10,0,0
2020-03-30,0,50,0,0
2020-03-31,0,4,3,0
2020-04-01,0,63,0,0
2020-04-02,0,36,5,2
2020-04-03,0,8,0,0
2020-04-04,0,18,0,1
2020-04-05,0,50,5,0
2020-04-06,0,18,3,4
2020-04-07,0,56,0,3
2020-04-08,0,21,11,0
2020-04-09,0,40,3,1
2020-04-10,0,37,0,0
2020-04-11,0,34,0,3
2020-04-12,0,52,0,0
2020-04-13,0,58,0,3
2020-04-14,0,49,8,2
2020-04-15,0,70,3,2
2020-04-16,0,56,11,5
2020-04-17,0,66,45,0
2020-04-18,0,27,13,0
2020-04-19,0,63,19,3
2020-04-20,0,30,4,3
2020-04-21,0,66,15,0
2020-04-22,0,84,16,4
2020-04-23,0,103,13,2
2020-04-24,0,72,9,1
2020-04-25,0,112,0,4
2020-04-26,0,68,19,3
2020-04-27,0,172,13,7
2020-04-28,0,125,8,1
2020-04-29,0,111,24,2
2020-04-30,0,232,8,4
2020-05-01,0,164,50,4
2020-05-02,0,134,21,4
2020-05-03,0,235,14,13
2020-05-04,0,190,52,5
2020-05-05,0,330,24,5
2020-05-06,0,168,37,9
2020-05-07,0,171,10,2
2020-05-08,0,215,4,3
2020-05-09,0,255,30,6
2020-05-10,0,369,56,5
2020-05-11,0,285,0,2
2020-05-12,0,276,52,5
2020-05-13,0,263,38,5
2020-05-14,0,413,43,4
2020-05-15,0,414,54,17
2020-05-16,0,349,0,15
2020-05-17,0,262,33,1
2020-05-18,0,408,23,4
2020-05-19,0,581,49,5
2020-05-20,0,492,80,9
2020-05-21,0,531,8,6
2020-05-22,0,540,58,12
2020-05-23,0,782,44,11
2020-05-24,0,584,35,2
2020-05-25,0,591,22,1
2020-05-26,0,658,31,1
2020-05-27,0,625,10,7
2020-05-28,0,580,71,8
2020-05-29,0,623,50,11
2020-05-30,0,866,44,3
2020-05-31,0,680,25,8
2020-06-01,0,545,100,8
2020-06-02,0,759,22,5
2020-06-03,0,758,72,24
2020-06-04,0,787,63,6
2020-06-05,0,915,177,9
2020-06-06,0,582,68,18
2020-06-07,0,791,45,30
2020-06-08,0,575,296,12
2020-06-09,0,542,480,15
