date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,2,0,0
2020-03-26,0,2,0,0
2020-03-27,0,7,0,0
2020-03-28,0,7,0,0
2020-03-29,0,0,0,1
2020-03-30,0,7,0,1
2020-03-31,0,3,0,0
2020-04-01,0,3,0,1
2020-04-02,0,5,0,0
2020-04-03,0,3,0,0
2020-04-04,0,2,1,0
2020-04-05,0,4,0,2
2020-04-06,0,2,8,0
2020-04-07,0,9,3,0
2020-04-08,0,3,4,2
2020-04-09,0,15,6,0
2020-04-10,0,13,0,0
2020-04-11,0,0,0,0
2020-04-12,0,18,0,2
2020-04-13,0,18,4,1
2020-04-14,0,21,8,3
2020-04-15,0,4,0,0
2020-04-16,0,23,0,0
2020-04-17,0,0,0,0
2020-04-18,0,45,7,0
2020-04-19,0,8,1,1
2020-04-20,0,22,14,0
2020-04-21,0,12,1,0
2020-04-22,0,35,16,3
2020-04-23,0,16,4,4
2020-04-24,0,16,10,0
2020-04-25,0,45,4,0
2020-04-26,0,19,21,2
2020-04-27,0,19,1,0
2020-04-28,0,16,9,1
2020-04-29,0,58,7,1
2020-04-30,0,8,6,1
2020-05-01,0,18,61,0
2020-05-02,0,36,10,0
2020-05-03,0,19,7,1
2020-05-04,0,17,10,2
2020-05-05,0,32,5,3
2020-05-06,0,19,33,0
2020-05-07,0,19,10,0
2020-05-08,0,18,14,3
2020-05-09,0,24,13,2
2020-05-10,0,12,53,1
2020-05-11,0,8,26,1
2020-05-12,0,18,21,1
2020-05-13,0,28,14,4
2020-05-14,0,21,24,2
2020-05-15,0,27,19,0
2020-05-16,0,29,24,2
2020-05-17,0,25,15,4
2020-05-18,0,14,18,0
2020-05-19,0,27,17,1
2020-05-20,0,30,14,2
2020-05-21,0,16,15,5
2020-05-22,0,22,2,2
2020-05-23,0,46,14,1
2020-05-24,0,15,23,2
2020-05-25,0,29,7,2
2020-05-26,0,18,13,3
2020-05-27,0,39,15,0
2020-05-28,0,78,20,2
2020-05-29,0,32,17,1
2020-05-30,0,24,27,3
2020-05-31,0,15,20,1
2020-06-01,0,50,28,1
2020-06-02,0,36,25,0
2020-06-03,0,35,19,1
2020-06-04,0,75,18,6
2020-06-05,0,24,10,2
2020-06-06,0,38,29,3
2020-06-07,0,10,28,0
2020-06-08,0,14,43,2
2020-06-09,0,39,15,2
