date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,2,0,0,0
2020-02-25,7,0,0,0
2020-02-26,2,0,0,0
2020-02-27,1,0,0,0
2020-02-28,4,0,0,0
2020-02-29,1,1,0,0
2020-03-01,0,0,0,0
2020-03-02,4,0,0,0
2020-03-03,2,0,0,0
2020-03-04,1,0,0,0
2020-03-05,5,0,0,0
2020-03-06,6,1,0,0
2020-03-07,6,0,0,0
2020-03-08,0,1,0,0
2020-03-09,15,0,0,0
2020-03-10,21,2,0,0
2020-03-11,34,2,0,0
2020-03-12,171,12,0,0
2020-03-13,183,15,0,0
2020-03-14,92,17,0,1
2020-03-15,18,8,0,0
2020-03-16,358,18,0,0
2020-03-17,579,63,0,0
2020-03-18,882,63,0,1
2020-03-19,901,132,0,2
2020-03-20,995,149,0,0
2020-03-21,438,186,0,4
2020-03-22,21,128,6,0
2020-03-23,1104,77,0,0
2020-03-24,885,224,0,0
2020-03-25,900,234,0,0
2020-03-26,4597,120,0,1
2020-03-27,1082,152,34,6
2020-03-28,824,226,0,3
2020-03-29,273,119,0,3
2020-03-30,1076,38,0,1
2020-03-31,936,190,40,1
2020-04-01,1180,141,0,6
2020-04-02,1341,168,0,1
2020-04-03,1213,125,420,1
2020-04-04,824,117,0,0
2020-04-05,551,75,0,5
2020-04-06,1050,39,0,5
2020-04-07,1020,127,0,3
2020-04-08,932,64,0,2
2020-04-09,863,81,0,6
2020-04-10,691,108,0,2
2020-04-11,309,47,0,8
2020-04-12,208,11,0,4
2020-04-13,82,11,0,3
2020-04-14,1373,15,0,-2
2020-04-15,844,66,26,2
2020-04-16,958,71,26,0
2020-04-17,1032,36,27,3
2020-04-18,528,57,22,0
2020-04-19,191,13,26,1
2020-04-20,932,8,10,2
2020-04-21,752,60,33,3
2020-04-22,1140,36,41,2
2020-04-23,790,11,17,3
2020-04-24,1312,30,2279,2
2020-04-25,607,16,81,0
2020-04-26,132,12,16,3
2020-04-27,760,6,19,0
2020-04-28,1724,12,0,1
2020-04-29,1886,28,11,0
2020-04-30,1968,15,79,1
2020-05-01,1393,18,0,2
2020-05-02,696,10,105,0
2020-05-03,237,12,61,4
2020-05-04,1037,4,26,0
2020-05-05,1278,12,7,0
2020-05-06,1433,11,40,2
2020-05-07,1319,8,53,2
2020-05-08,1318,12,21,0
2020-05-09,731,6,24,1
2020-05-10,212,9,36,0
2020-05-11,1050,2,16,0
2020-05-12,1393,6,8,1
2020-05-13,1207,10,19,1
2020-05-14,1293,11,36,0
2020-05-15,1275,8,17,1
2020-05-16,1017,7,17,0
2020-05-17,150,15,3,3
2020-05-18,995,2,13,0
2020-05-19,1070,11,3,2
2020-05-20,1513,13,10,0
2020-05-21,788,9,13,0
2020-05-22,1201,1,7,0
2020-05-23,1212,9,10,0
2020-05-24,94,2,9,1
2020-05-25,945,1,14,0
2020-05-26,1330,2,2,0
2020-05-27,1205,6,8,0
2020-05-28,2000,7,12,0
2020-05-29,2204,4,12,0
2020-05-30,2016,4,0,0
2020-05-31,192,2,18,0
2020-06-01,421,1,12,0
2020-06-02,1591,1,3,0
2020-06-03,1744,4,13,0
2020-06-04,1675,3,13,0
2020-06-05,2872,5,11,0
2020-06-06,1822,3,3,0
