date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,2,0,0
2020-03-12,0,0,0,0
2020-03-13,0,1,0,0
2020-03-14,26,7,0,0
2020-03-15,7,0,0,0
2020-03-16,12,1,0,0
2020-03-17,5,0,0,0
2020-03-18,1,1,0,0
2020-03-19,33,0,0,0
2020-03-20,27,3,0,0
2020-03-21,28,4,0,0
2020-03-22,89,5,0,0
2020-03-23,45,3,0,0
2020-03-24,4,2,0,0
2020-03-25,57,3,0,0
2020-03-26,108,11,0,0
2020-03-27,74,18,0,0
2020-03-28,43,13,0,0
2020-03-29,15,7,0,1
2020-03-30,123,16,0,3
2020-03-31,82,10,0,2
2020-04-01,57,8,1,1
2020-04-02,149,8,0,1
2020-04-03,133,9,0,1
2020-04-04,18,7,0,1
2020-04-05,0,18,1,0
2020-04-06,413,26,0,1
2020-04-07,132,11,0,3
2020-04-08,194,16,0,1
2020-04-09,122,54,0,3
2020-04-10,188,4,0,1
2020-04-11,171,7,0,1
2020-04-12,172,25,0,4
2020-04-13,165,30,0,3
2020-04-14,226,24,4,1
2020-04-15,311,43,1,0
2020-04-16,189,44,7,1
2020-04-17,154,24,12,2
2020-04-18,350,28,5,0
2020-04-19,212,27,0,1
2020-04-20,163,44,0,1
2020-04-21,122,34,6,1
2020-04-22,435,11,7,3
2020-04-23,140,94,0,6
2020-04-24,302,104,10,1
2020-04-25,275,59,0,2
2020-04-26,219,84,26,4
2020-04-27,197,64,18,3
2020-04-28,133,39,12,2
2020-04-29,288,57,7,4
2020-04-30,142,57,15,3
2020-05-01,424,62,2,4
2020-05-02,676,241,25,5
2020-05-03,429,124,7,5
2020-05-04,531,87,8,6
2020-05-05,384,121,13,4
2020-05-06,161,84,11,5
2020-05-07,943,195,21,11
2020-05-08,552,185,18,4
2020-05-09,0,171,21,8
2020-05-10,1020,119,15,4
2020-05-11,882,275,26,4
2020-05-12,527,133,14,6
2020-05-13,525,184,26,14
2020-05-14,554,224,17,10
2020-05-15,644,205,78,12
2020-05-16,853,249,39,1
2020-05-17,748,262,20,4
2020-05-18,377,175,10,5
2020-05-19,779,218,30,15
2020-05-20,1006,438,20,10
2020-05-21,723,268,8,16
2020-05-22,807,392,14,15
2020-05-23,1109,336,34,10
2020-05-24,789,348,20,10
2020-05-25,779,397,18,11
2020-05-26,866,476,30,13
2020-05-27,1426,632,12,6
2020-05-28,1125,619,49,13
2020-05-29,775,344,11,7
2020-05-30,1274,861,140,10
2020-05-31,718,390,79,3
2020-06-01,1083,549,169,30
2020-06-02,1146,460,161,33
2020-06-03,1300,647,209,24
2020-06-04,1460,607,151,15
2020-06-05,1304,483,81,12
2020-06-06,1280,630,163,27
2020-06-07,746,285,184,11
2020-06-08,816,306,73,10
