date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,4,0,0
2020-03-14,0,2,0,0
2020-03-15,0,2,0,0
2020-03-16,0,21,0,0
2020-03-17,0,21,0,0
2020-03-18,0,29,0,0
2020-03-19,0,15,0,0
2020-03-20,0,16,0,0
2020-03-21,0,25,0,0
2020-03-22,0,23,0,0
2020-03-23,0,4,0,0
2020-03-24,0,27,0,0
2020-03-25,0,28,0,0
2020-03-26,0,21,0,0
2020-03-27,0,36,0,0
2020-03-28,2926,29,0,1
2020-03-29,200,6,0,0
2020-03-30,299,11,0,0
2020-03-31,394,18,41,0
2020-04-01,289,12,21,1
2020-04-02,356,19,6,2
2020-04-03,322,17,18,0
2020-04-04,277,14,7,1
2020-04-05,145,6,11,1
2020-04-06,177,9,19,0
2020-04-07,342,9,27,1
2020-04-08,448,32,42,0
2020-04-09,681,17,14,0
2020-04-10,640,21,8,0
2020-04-11,618,7,10,0
2020-04-12,660,-21,7,0
2020-04-13,462,3,17,1
2020-04-14,693,9,12,0
2020-04-15,519,1,12,1
2020-04-16,791,9,14,0
2020-04-17,510,6,8,0
2020-04-18,729,9,4,0
2020-04-19,348,11,0,1
2020-04-20,0,7,15,0
2020-04-21,570,8,11,2
2020-04-22,527,6,13,0
2020-04-23,609,8,17,0
2020-04-24,610,6,15,0
2020-04-25,692,33,1,2
2020-04-26,662,10,5,1
2020-04-27,567,14,11,0
2020-04-28,442,5,8,0
2020-04-29,635,5,18,0
2020-04-30,876,13,5,2
2020-05-01,731,5,18,0
2020-05-02,807,4,5,0
2020-05-03,610,3,2,0
2020-05-04,775,2,5,0
2020-05-05,866,13,21,0
2020-05-06,1006,3,18,0
2020-05-07,845,11,6,0
2020-05-08,1042,10,14,1
2020-05-09,1140,8,7,0
2020-05-10,623,5,4,1
2020-05-11,1236,4,6,0
2020-05-12,0,6,9,0
2020-05-13,803,2,13,0
2020-05-14,709,5,2,0
2020-05-15,1000,8,6,0
2020-05-16,1016,1,5,0
2020-05-17,811,1,6,1
2020-05-18,825,3,5,0
2020-05-19,523,1,10,0
2020-05-20,410,8,9,0
2020-05-21,0,3,6,0
2020-05-22,743,4,9,0
2020-05-23,1641,11,13,2
2020-05-24,0,5,2,0
2020-05-25,968,18,11,0
2020-05-26,549,2,9,0
2020-05-27,774,14,12,0
2020-05-28,760,8,4,0
2020-05-29,1240,5,26,0
2020-05-30,1155,5,2,0
2020-05-31,855,2,3,0
2020-06-01,0,2,4,1
2020-06-02,1032,1,2,0
2020-06-03,715,2,7,0
2020-06-04,551,4,11,0
2020-06-05,735,2,12,0
2020-06-06,921,11,5,0
2020-06-07,596,0,4,0
2020-06-08,403,0,8,0
