date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,4,0,0
2020-01-26,0,0,0,0
2020-01-27,0,1,0,0
2020-01-28,0,0,0,0
2020-01-29,0,4,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,1,0,0
2020-02-02,0,2,0,0
2020-02-03,0,0,0,0
2020-02-04,0,1,0,0
2020-02-05,0,1,0,0
2020-02-06,0,1,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,4,0,0
2020-02-22,0,1,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,3,0,0
2020-02-28,0,2,0,0
2020-02-29,0,0,0,0
2020-03-01,0,3,0,1
2020-03-02,0,4,0,0
2020-03-03,0,8,0,0
2020-03-04,0,11,0,1
2020-03-05,0,8,0,0
2020-03-06,0,4,0,0
2020-03-07,7214,10,0,0
2020-03-08,794,7,0,1
2020-03-09,363,12,0,0
2020-03-10,1794,20,0,0
2020-03-11,56,15,0,0
2020-03-12,4635,30,0,0
2020-03-13,1829,41,0,1
2020-03-14,3811,51,0,0
2020-03-15,2071,48,0,2
2020-03-16,16097,79,0,0
2020-03-17,5780,78,0,0
2020-03-18,6556,113,0,1
2020-03-19,32333,142,28,0
2020-03-20,8066,138,11,1
2020-03-21,8885,225,12,0
2020-03-22,9002,280,19,0
2020-03-23,6357,328,27,0
2020-03-24,7557,370,16,1
2020-03-25,32886,380,16,1
2020-03-26,20419,379,22,4
2020-03-27,16279,371,53,0
2020-03-28,15251,460,19,1
2020-03-29,15479,344,2,2
2020-03-30,7654,266,66,2
2020-03-31,11756,311,54,1
2020-04-01,14029,303,73,1
2020-04-02,9944,273,154,4
2020-04-03,8475,225,63,4
2020-04-04,9519,190,51,2
2020-04-05,12253,141,102,5
2020-04-06,5519,106,61,5
2020-04-07,8037,119,1700,8
2020-04-08,8668,105,266,2
2020-04-09,10766,85,174,1
2020-04-10,8212,106,153,3
2020-04-11,9501,88,124,2
2020-04-12,6094,22,72,3
2020-04-13,8195,41,156,2
2020-04-14,4357,49,104,1
2020-04-15,4884,223,90,1
2020-04-16,8626,30,59,0
2020-04-17,11527,47,72,2
2020-04-18,14980,42,344,3
2020-04-19,14486,44,67,2
2020-04-20,10738,13,28,1
2020-04-21,8108,22,437,0
2020-04-22,12599,7,240,3
2020-04-23,14218,8,110,1
2020-04-24,15711,17,91,3
2020-04-25,11887,18,237,2
2020-04-26,12192,19,168,3
2020-04-27,10614,7,47,0
2020-04-28,13616,12,42,1
2020-04-29,13731,13,40,5
2020-04-30,19231,8,47,2
2020-05-01,25227,13,30,2
2020-05-02,22715,15,49,0
2020-05-03,21524,18,21,2
2020-05-04,17107,24,46,0
2020-05-05,14542,26,27,2
2020-05-06,23900,24,89,0
2020-05-07,33893,22,59,0
2020-05-08,34701,18,46,0
2020-05-09,38206,14,53,0
2020-05-10,32416,12,29,0
2020-05-11,27247,7,16,0
2020-05-12,22808,20,51,0
2020-05-13,31098,11,41,1
2020-05-14,34274,15,25,0
2020-05-15,40517,31,37,0
2020-05-16,31836,17,30,0
2020-05-17,26474,8,3,0
2020-05-18,19908,9,27,1
2020-05-19,23836,8,19,0
2020-05-20,25697,11,30,1
2020-05-21,26117,2,27,0
2020-05-22,32998,14,8,1
2020-05-23,21580,13,12,1
2020-05-24,32533,3,15,0
2020-05-25,19408,4,23,0
2020-05-26,44020,15,21,0
2020-05-27,50098,6,7,0
2020-05-28,29123,18,22,0
2020-05-29,30178,16,0,0
2020-05-30,30916,11,33,0
2020-05-31,26030,10,-2,0
2020-06-01,17652,8,4,0
2020-06-02,18167,17,5,0
2020-06-03,22313,8,15,0
