date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,1,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,8,0,0
2020-02-29,0,3,0,0
2020-03-01,0,0,0,0
2020-03-02,0,5,0,0
2020-03-03,0,13,0,0
2020-03-04,0,30,0,0
2020-03-05,0,25,0,0
2020-03-06,0,59,0,0
2020-03-07,0,33,0,0
2020-03-08,0,46,0,0
2020-03-09,0,101,0,0
2020-03-10,0,98,0,0
2020-03-11,0,196,0,1
2020-03-12,0,151,0,0
2020-03-13,0,152,0,1
2020-03-14,0,71,0,1
2020-03-15,0,69,0,2
2020-03-16,0,83,0,2
2020-03-17,0,119,0,1
2020-03-18,0,145,0,6
2020-03-19,0,143,0,7
2020-03-20,0,180,0,9
2020-03-21,0,136,0,8
2020-03-22,0,118,0,11
2020-03-23,0,182,0,11
2020-03-24,0,230,0,21
2020-03-25,0,314,0,22
2020-03-26,0,286,0,31
2020-03-27,0,365,0,32
2020-03-28,0,300,0,35
2020-03-29,0,280,0,38
2020-03-30,0,416,0,45
2020-03-31,0,475,0,48
2020-04-01,0,486,0,53
2020-04-02,0,554,0,70
2020-04-03,0,601,0,80
2020-04-04,0,357,0,70
2020-04-05,0,340,0,85
2020-04-06,0,389,0,90
2020-04-07,0,738,0,84
2020-04-08,0,654,0,115
2020-04-09,0,645,0,86
2020-04-10,0,454,0,90
2020-04-11,0,395,0,102
2020-04-12,0,464,0,97
2020-04-13,0,437,0,84
2020-04-14,0,479,0,92
2020-04-15,0,604,0,115
2020-04-16,0,623,0,111
2020-04-17,0,688,0,83
2020-04-18,0,532,0,86
2020-04-19,0,388,0,87
2020-04-20,0,461,0,85
2020-04-21,0,707,0,62
2020-04-22,0,722,0,77
2020-04-23,0,758,0,86
2020-04-24,0,780,0,89
2020-04-25,0,473,0,73
2020-04-26,0,300,0,74
2020-04-27,0,563,0,74
2020-04-28,0,742,0,83
2020-04-29,0,799,0,83
2020-04-30,0,635,0,78
2020-05-01,0,532,0,78
2020-05-02,0,299,0,73
2020-05-03,0,261,0,75
2020-05-04,0,477,0,84
2020-05-05,0,657,0,72
2020-05-06,0,745,0,73
2020-05-07,0,784,0,80
2020-05-08,0,700,0,60
2020-05-09,0,509,0,69
2020-05-10,0,279,0,73
2020-05-11,0,455,0,65
2020-05-12,0,754,0,61
2020-05-13,0,698,0,50
2020-05-14,0,657,0,46
2020-05-15,0,688,0,59
2020-05-16,0,358,0,49
2020-05-17,0,259,0,53
2020-05-18,0,430,0,59
2020-05-19,0,666,0,42
2020-05-20,0,808,0,52
2020-05-21,0,610,0,55
2020-05-22,0,532,0,56
2020-05-23,0,403,0,55
2020-05-24,0,210,0,45
2020-05-25,0,491,0,42
2020-05-26,0,746,0,28
2020-05-27,0,800,0,38
2020-05-28,0,774,0,40
2020-05-29,0,773,0,41
2020-05-30,0,432,0,39
2020-05-31,0,265,0,46
2020-06-01,0,648,0,39
2020-06-02,0,901,0,37
2020-06-03,0,1046,0,28
2020-06-04,0,1039,0,43
2020-06-05,0,1146,0,37
2020-06-06,0,780,0,30
2020-06-07,0,462,0,33
2020-06-08,0,677,0,38
2020-06-09,0,936,0,33
