date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,2,0,0
2020-03-15,0,8,0,0
2020-03-16,0,7,0,0
2020-03-17,0,16,0,0
2020-03-18,0,3,0,0
2020-03-19,0,6,0,0
2020-03-20,0,0,0,0
2020-03-21,0,28,0,0
2020-03-22,0,0,15,0
2020-03-23,0,7,0,0
2020-03-24,0,7,0,0
2020-03-25,0,7,0,0
2020-03-26,0,16,0,0
2020-03-27,0,0,16,1
2020-03-28,0,12,8,1
2020-03-29,0,0,0,0
2020-03-30,0,16,0,1
2020-03-31,0,0,0,0
2020-04-01,0,8,2,0
2020-04-02,0,3,2,2
2020-04-03,0,7,9,2
2020-04-04,0,2,0,0
2020-04-05,0,4,0,0
2020-04-06,0,6,13,0
2020-04-07,0,0,0,0
2020-04-08,0,2,0,2
2020-04-09,0,4,19,0
2020-04-10,0,0,0,0
2020-04-11,0,4,9,0
2020-04-12,0,6,0,0
2020-04-13,0,8,17,0
2020-04-14,0,0,0,0
2020-04-15,0,8,1,0
2020-04-16,0,7,0,0
2020-04-17,0,0,0,0
2020-04-18,0,23,2,0
2020-04-19,0,29,4,0
2020-04-20,0,0,0,0
2020-04-21,0,29,0,1
2020-04-22,0,3,5,0
2020-04-23,0,23,4,0
2020-04-24,0,7,6,0
2020-04-25,0,5,0,0
2020-04-26,0,2,5,0
2020-04-27,0,4,5,0
2020-04-28,0,0,0,0
2020-04-29,0,2,0,0
2020-04-30,0,2,0,6
2020-05-01,0,2,6,-6
2020-05-02,0,10,0,0
2020-05-03,0,12,10,0
2020-05-04,0,0,0,0
2020-05-05,0,4,0,0
2020-05-06,0,18,18,0
2020-05-07,0,2,9,0
2020-05-08,0,7,5,0
2020-05-09,0,14,0,0
2020-05-10,0,12,3,0
2020-05-11,0,8,12,0
2020-05-12,0,1,15,0
2020-05-13,0,0,0,0
2020-05-14,0,32,0,0
2020-05-15,0,4,9,0
2020-05-16,0,45,12,0
2020-05-17,0,37,0,0
2020-05-18,0,77,12,0
2020-05-19,0,131,0,0
2020-05-20,0,75,9,0
2020-05-21,0,58,0,0
2020-05-22,0,62,0,0
2020-05-23,0,66,0,0
2020-05-24,0,111,0,0
2020-05-25,0,56,40,0
2020-05-26,0,34,0,1
2020-05-27,0,34,0,0
2020-05-28,0,80,0,0
2020-05-29,0,45,0,3
2020-05-30,0,89,0,0
2020-05-31,0,51,0,0
2020-06-01,0,152,0,3
2020-06-02,0,157,32,1
2020-06-03,0,133,0,2
2020-06-04,0,135,0,0
2020-06-05,0,58,0,0
2020-06-06,0,171,51,2
2020-06-07,0,61,102,0
2020-06-08,0,96,0,0
2020-06-09,0,159,0,1
