date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,1,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,3,0,0,0
2020-01-29,1,0,0,0
2020-01-30,1,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,9,0,0,0
2020-02-05,0,0,0,0
2020-02-06,4,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,2,0,1,0
2020-02-13,4,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,10,0,0,0
2020-02-17,0,0,0,0
2020-02-18,1,0,0,0
2020-02-19,175,0,0,0
2020-02-20,2,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,4,0,0,0
2020-02-24,1,0,0,0
2020-02-25,4,0,0,0
2020-02-26,1,0,0,0
2020-02-27,0,0,0,0
2020-02-28,2,0,0,0
2020-02-29,0,0,0,0
2020-03-01,19,0,0,0
2020-03-02,182,0,0,0
2020-03-03,8,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,4,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,8,0,0,0
2020-03-11,2,0,0,0
2020-03-12,3,0,0,0
2020-03-13,6,0,0,0
2020-03-14,0,0,0,0
2020-03-15,11,0,0,0
2020-03-16,11,0,0,0
2020-03-17,18,0,0,0
2020-03-18,16,0,0,0
2020-03-19,17,0,0,0
2020-03-20,17,0,0,0
2020-03-21,0,0,0,0
2020-03-22,26,0,0,0
2020-03-23,37,1,0,0
2020-03-24,1,0,0,0
2020-03-25,77,1,0,0
2020-03-26,71,0,0,0
2020-03-27,44,1,0,0
2020-03-28,73,1,0,0
2020-03-29,42,0,0,0
2020-03-30,76,0,0,0
2020-03-31,67,0,0,0
2020-04-01,85,0,0,0
2020-04-02,40,1,0,0
2020-04-03,123,0,0,0
2020-04-04,213,3,0,0
2020-04-05,121,0,0,0
2020-04-06,248,0,0,0
2020-04-07,232,0,0,0
2020-04-08,244,0,0,0
2020-04-09,529,0,0,0
2020-04-10,630,0,0,0
2020-04-11,901,0,0,0
2020-04-12,758,3,0,0
2020-04-13,507,2,0,0
2020-04-14,608,2,0,0
2020-04-15,572,0,0,0
2020-04-16,369,0,1,0
2020-04-17,218,14,0,0
2020-04-18,555,1,0,0
2020-04-19,68,0,2,0
2020-04-20,333,0,0,0
2020-04-21,349,12,0,0
2020-04-22,251,2,3,0
2020-04-23,186,3,3,0
2020-04-24,202,1,1,0
2020-04-25,264,0,1,0
2020-04-26,265,3,4,0
2020-04-27,540,0,0,0
2020-04-28,336,2,0,0
2020-04-29,717,3,0,0
2020-04-30,487,0,0,0
2020-05-01,566,2,0,0
2020-05-02,521,0,0,0
2020-05-03,326,16,0,0
2020-05-04,216,0,0,0
2020-05-05,210,7,0,0
2020-05-06,246,17,6,0
2020-05-07,415,2,0,0
2020-05-08,981,1,9,0
2020-05-09,817,8,0,0
2020-05-10,589,0,0,0
2020-05-11,911,24,2,0
2020-05-12,1155,83,0,0
2020-05-13,2376,33,2,0
2020-05-14,1324,-1,0,0
2020-05-15,1250,18,1,0
2020-05-16,2777,24,0,1
2020-05-17,1470,4,0,1
2020-05-18,2563,80,0,0
2020-05-19,2282,27,1,0
2020-05-20,2488,25,8,0
2020-05-21,3243,30,4,1
2020-05-22,3780,59,21,0
2020-05-23,3442,68,0,0
2020-05-24,2856,19,17,0
2020-05-25,2827,79,25,1
2020-05-26,3055,90,43,0
2020-05-27,3580,114,28,0
2020-05-28,2639,156,4,1
2020-05-29,3238,170,19,1
2020-05-30,2575,189,13,0
2020-05-31,2858,171,1,2
2020-06-01,2316,239,1,0
2020-06-02,3440,288,45,0
2020-06-03,4924,201,12,1
2020-06-04,3867,334,12,1
2020-06-05,4232,278,43,1
2020-06-06,4111,323,32,2
2020-06-07,3728,213,102,0
