date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,2,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,1,0,0
2020-03-16,0,3,0,0
2020-03-17,0,2,0,0
2020-03-18,0,1,0,0
2020-03-19,0,3,0,0
2020-03-20,0,12,0,0
2020-03-21,0,0,0,0
2020-03-22,0,2,0,0
2020-03-23,0,4,0,0
2020-03-24,0,0,0,0
2020-03-25,0,6,0,0
2020-03-26,0,16,0,1
2020-03-27,0,16,0,0
2020-03-28,0,27,3,0
2020-03-29,0,15,0,2
2020-03-30,0,29,0,4
2020-03-31,0,2,0,0
2020-04-01,0,31,0,3
2020-04-02,0,47,0,4
2020-04-03,0,3,0,1
2020-04-04,0,42,0,0
2020-04-05,0,4,3,7
2020-04-06,0,30,0,0
2020-04-07,0,7,0,0
2020-04-08,0,7,0,0
2020-04-09,0,31,0,1
2020-04-10,0,39,1,0
2020-04-11,0,10,0,1
2020-04-12,0,1,0,1
2020-04-13,0,4,0,0
2020-04-14,0,10,0,1
2020-04-15,0,12,2,5
2020-04-16,0,7,0,4
2020-04-17,0,16,1,6
2020-04-18,0,15,0,5
2020-04-19,0,15,5,0
2020-04-20,0,5,10,0
2020-04-21,0,17,4,0
2020-04-22,0,16,1,0
2020-04-23,0,9,1,1
2020-04-24,0,72,27,8
2020-04-25,0,36,7,4
2020-04-26,0,0,0,0
2020-04-27,0,34,14,2
2020-04-28,0,41,0,3
2020-04-29,0,36,-6,2
2020-04-30,0,33,6,5
2020-05-01,0,33,33,4
2020-05-02,0,206,4,1
2020-05-03,0,45,2,6
2020-05-04,0,123,4,1
2020-05-05,0,92,0,10
2020-05-06,0,191,10,6
2020-05-07,0,224,22,6
2020-05-08,0,86,38,2
2020-05-09,0,59,3,1
2020-05-10,0,142,8,0
2020-05-11,0,128,3,8
2020-05-12,0,-20,5,5
2020-05-13,0,175,26,2
2020-05-14,0,63,16,10
2020-05-15,0,142,11,1
2020-05-16,0,105,14,4
2020-05-17,0,81,41,4
2020-05-18,0,152,21,4
2020-05-19,0,157,9,1
2020-05-20,0,0,0,0
2020-05-21,0,249,48,9
2020-05-22,0,273,42,11
2020-05-23,0,0,0,0
2020-05-24,0,473,29,13
2020-05-25,0,239,5,2
2020-05-26,0,212,20,6
2020-05-27,0,239,13,6
2020-05-28,0,112,13,2
2020-05-29,0,0,0,0
2020-05-30,0,342,17,5
2020-05-31,0,108,1,11
2020-06-01,0,160,12,5
2020-06-02,0,165,14,8
2020-06-03,0,163,54,9
2020-06-04,0,190,31,9
2020-06-05,0,91,29,5
2020-06-06,0,184,20,2
2020-06-07,0,172,15,8
2020-06-08,0,123,28,4
2020-06-09,0,485,47,9
