date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,2,0,0
2020-03-06,0,0,0,0
2020-03-07,0,1,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,2,0,0
2020-03-11,0,2,0,0
2020-03-12,0,4,0,0
2020-03-13,0,2,0,0
2020-03-14,0,5,0,0
2020-03-15,0,6,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,2,0
2020-03-18,0,12,0,0
2020-03-19,0,25,0,0
2020-03-20,0,26,0,0
2020-03-21,0,4,0,1
2020-03-22,0,33,0,0
2020-03-23,0,10,0,0
2020-03-24,0,30,0,2
2020-03-25,0,10,0,0
2020-03-26,0,15,0,0
2020-03-27,0,46,3,1
2020-03-28,0,21,0,1
2020-03-29,0,65,3,1
2020-03-30,0,45,9,4
2020-03-31,0,52,0,3
2020-04-01,0,39,2,0
2020-04-02,0,74,1,3
2020-04-03,0,46,7,1
2020-04-04,0,45,3,4
2020-04-05,0,30,0,2
2020-04-06,0,20,17,6
2020-04-07,0,90,21,4
2020-04-08,0,40,11,1
2020-04-09,0,54,22,1
2020-04-10,0,43,28,1
2020-04-11,0,45,10,1
2020-04-12,0,63,54,2
2020-04-13,0,28,13,0
2020-04-14,0,46,30,1
2020-04-15,0,27,17,1
2020-04-16,0,57,24,2
2020-04-17,0,47,43,3
2020-04-18,0,54,18,1
2020-04-19,0,17,9,1
2020-04-20,0,24,34,1
2020-04-21,0,33,56,2
2020-04-22,0,26,23,2
2020-04-23,0,45,25,1
2020-04-24,0,8,53,1
2020-04-25,0,65,54,2
2020-04-26,0,30,32,2
2020-04-27,0,49,35,1
2020-04-28,0,20,23,3
2020-04-29,0,92,28,2
2020-04-30,0,80,17,4
2020-05-01,0,24,28,1
2020-05-02,0,58,24,2
2020-05-03,0,18,46,5
2020-05-04,0,69,30,1
2020-05-05,0,20,56,1
2020-05-06,0,41,17,7
2020-05-07,0,40,26,4
2020-05-08,0,43,6,8
2020-05-09,0,20,99,4
2020-05-10,0,27,47,5
2020-05-11,0,24,8,6
2020-05-12,0,17,54,4
2020-05-13,0,23,60,3
2020-05-14,0,37,44,2
2020-05-15,0,18,64,6
2020-05-16,0,31,19,1
2020-05-17,0,23,81,4
2020-05-18,0,14,28,0
2020-05-19,0,17,58,1
2020-05-20,0,17,35,2
2020-05-21,0,12,39,4
2020-05-22,0,22,18,1
2020-05-23,0,19,48,0
2020-05-24,0,10,18,3
2020-05-25,0,5,16,2
2020-05-26,0,10,25,3
2020-05-27,0,19,23,2
2020-05-28,0,27,37,2
2020-05-29,0,23,22,0
2020-05-30,0,9,28,0
2020-05-31,0,16,31,0
2020-06-01,0,14,26,1
2020-06-02,0,11,22,3
2020-06-03,0,16,29,0
2020-06-04,0,43,12,2
2020-06-05,0,12,17,0
2020-06-06,0,0,0,0
2020-06-07,0,0,0,0
2020-06-08,0,98,55,1
2020-06-09,0,24,26,0
