date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,1,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,1,0
2020-02-29,0,0,0,0
2020-03-01,0,1,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,1,0,0
2020-03-06,0,12,0,0
2020-03-07,0,0,0,0
2020-03-08,0,34,0,1
2020-03-09,0,6,0,0
2020-03-10,0,4,0,0
2020-03-11,0,1,26,0
2020-03-12,0,7,0,0
2020-03-13,0,13,0,1
2020-03-14,0,29,0,0
2020-03-15,0,1,-6,0
2020-03-16,0,40,6,0
2020-03-17,0,46,5,2
2020-03-18,0,0,0,2
2020-03-19,0,60,0,0
2020-03-20,0,29,7,2
2020-03-21,0,9,2,2
2020-03-22,0,33,15,4
2020-03-23,0,39,0,5
2020-03-24,0,36,24,1
2020-03-25,0,54,15,1
2020-03-26,0,39,7,3
2020-03-27,0,41,14,6
2020-03-28,0,40,5,6
2020-03-29,0,33,11,4
2020-03-30,0,47,18,1
2020-03-31,0,54,7,5
2020-04-01,0,69,22,6
2020-04-02,0,86,22,6
2020-04-03,0,120,15,8
2020-04-04,0,85,25,5
2020-04-05,0,103,6,7
2020-04-06,0,149,12,7
2020-04-07,0,128,17,9
2020-04-08,0,110,29,9
2020-04-09,0,139,43,15
2020-04-10,0,95,36,17
2020-04-11,0,145,42,11
2020-04-12,0,126,163,13
2020-04-13,0,125,0,5
2020-04-14,0,160,0,14
2020-04-15,0,155,0,5
2020-04-16,0,168,7,13
2020-04-17,0,171,50,9
2020-04-18,0,188,55,19
2020-04-19,0,112,31,15
2020-04-20,0,189,89,11
2020-04-21,0,157,49,14
2020-04-22,0,169,65,12
2020-04-23,0,232,69,11
2020-04-24,0,201,71,7
2020-04-25,0,227,39,13
2020-04-26,0,215,62,10
2020-04-27,0,248,60,20
2020-04-28,0,260,68,22
2020-04-29,0,226,31,21
2020-04-30,0,269,46,12
2020-05-01,0,358,79,14
2020-05-02,0,298,62,9
2020-05-03,0,272,40,14
2020-05-04,0,348,70,7
2020-05-05,0,388,98,16
2020-05-06,0,387,85,17
2020-05-07,0,393,72,13
2020-05-08,0,495,58,21
2020-05-09,0,488,57,11
2020-05-10,0,436,73,11
2020-05-11,0,346,97,8
2020-05-12,0,347,154,11
2020-05-13,0,338,160,12
2020-05-14,0,398,140,15
2020-05-15,0,399,173,21
2020-05-16,0,491,151,20
2020-05-17,0,510,222,18
2020-05-18,0,535,268,15
2020-05-19,0,720,302,14
2020-05-20,0,745,252,21
2020-05-21,0,774,223,16
2020-05-22,0,783,157,11
2020-05-23,0,727,254,28
2020-05-24,0,752,179,29
2020-05-25,0,702,93,19
2020-05-26,0,789,127,14
2020-05-27,0,910,178,19
2020-05-28,0,1127,154,29
2020-05-29,0,1289,152,34
2020-05-30,0,1367,182,34
2020-05-31,0,1536,344,46
2020-06-01,0,1399,410,46
2020-06-02,0,1152,380,47
2020-06-03,0,1079,523,36
2020-06-04,0,1152,406,38
2020-06-05,0,1348,402,40
2020-06-06,0,1497,380,32
2020-06-07,0,1467,423,39
2020-06-08,0,1365,414,34
