date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,2,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,4,1,0
2020-02-02,0,0,0,0
2020-02-03,0,2,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,2,0,0
2020-02-07,0,0,0,0
2020-02-08,0,3,0,0
2020-02-09,0,0,0,0
2020-02-10,0,1,0,0
2020-02-11,0,1,5,0
2020-02-12,0,0,0,0
2020-02-13,856,1,1,0
2020-02-14,97,0,0,0
2020-02-15,131,0,0,0
2020-02-16,10,0,0,0
2020-02-17,33,0,0,0
2020-02-18,26,0,0,0
2020-02-19,30,0,0,0
2020-02-20,21,0,0,0
2020-02-21,25,0,7,0
2020-02-22,22,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,69,0,2,0
2020-02-26,61,0,0,0
2020-02-27,67,0,0,0
2020-02-28,0,0,0,0
2020-02-29,165,0,0,0
2020-03-01,62,0,0,0
2020-03-02,78,0,0,0
2020-03-03,32,0,0,0
2020-03-04,63,0,0,0
2020-03-05,76,0,0,0
2020-03-06,84,0,0,0
2020-03-07,101,2,0,0
2020-03-08,0,12,0,0
2020-03-09,0,0,0,0
2020-03-10,0,1,0,0
2020-03-11,0,7,0,0
2020-03-12,0,1,0,0
2020-03-13,0,8,0,0
2020-03-14,3126,6,0,0
2020-03-15,0,3,0,0
2020-03-16,0,5,0,0
2020-03-17,0,5,0,0
2020-03-18,9715,9,0,0
2020-03-19,0,10,0,0
2020-03-20,0,6,0,0
2020-03-21,0,3,1,0
2020-03-22,0,19,0,0
2020-03-23,2321,10,0,0
2020-03-24,7040,11,0,0
2020-03-25,6237,7,0,0
2020-03-26,1333,12,3,0
2020-03-27,3928,10,0,0
2020-03-28,3379,11,1,0
2020-03-29,0,14,4,0
2020-03-30,0,15,30,0
2020-03-31,0,9,3,0
2020-04-01,0,6,5,0
2020-04-02,0,15,12,0
2020-04-03,0,4,10,0
2020-04-04,0,3,5,0
2020-04-05,0,1,0,0
2020-04-06,49363,4,5,0
2020-04-07,17848,4,28,0
2020-04-08,3725,2,3,0
2020-04-09,4117,4,2,0
2020-04-10,4566,2,16,0
2020-04-11,3014,1,0,0
2020-04-12,2669,4,0,0
2020-04-13,3863,3,2,0
2020-04-14,4418,1,23,0
2020-04-15,0,1,2,0
2020-04-16,0,1,6,0
2020-04-17,24391,0,21,0
2020-04-18,1755,0,3,0
2020-04-19,0,0,1,0
2020-04-20,0,0,12,0
2020-04-21,0,0,2,0
2020-04-22,26286,0,7,0
2020-04-23,4050,0,1,0
2020-04-24,21913,2,-4,0
2020-04-25,976,0,5,0
2020-04-26,823,0,0,0
2020-04-27,778,0,0,0
2020-04-28,26152,0,-3,0
2020-04-29,0,0,0,0
2020-04-30,0,0,-3,0
2020-05-01,0,0,0,0
2020-05-02,0,0,0,0
2020-05-03,0,1,0,0
2020-05-04,0,0,0,0
2020-05-05,0,0,13,0
2020-05-06,0,0,0,0
2020-05-07,0,17,1,0
2020-05-08,0,0,8,0
2020-05-09,0,0,0,0
2020-05-10,0,0,0,0
2020-05-11,0,0,8,0
2020-05-12,0,0,3,0
2020-05-13,0,0,0,0
2020-05-14,0,24,8,0
2020-05-15,0,2,0,0
2020-05-16,0,4,0,0
2020-05-17,0,2,0,0
2020-05-18,0,4,3,0
2020-05-19,0,0,0,0
2020-05-20,0,0,0,0
2020-05-21,0,0,3,0
2020-05-22,0,0,1,0
2020-05-23,0,1,0,0
2020-05-24,0,0,0,0
2020-05-25,0,1,5,0
2020-05-26,0,1,0,0
2020-05-27,0,0,6,0
2020-05-28,0,0,0,0
2020-05-29,0,1,1,0
2020-05-30,0,0,0,0
2020-05-31,0,0,0,0
2020-06-01,0,0,14,0
2020-06-02,0,0,5,0
2020-06-03,0,0,4,0
2020-06-04,0,0,0,0
2020-06-05,0,0,5,0
2020-06-06,0,1,0,0
2020-06-07,0,2,0,0
