date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,1,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,1,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,1,0,0,0
2020-02-19,0,0,0,0
2020-02-20,1,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,2,0,0,0
2020-02-27,2,0,0,0
2020-02-28,5,0,0,0
2020-02-29,3,0,0,0
2020-03-01,1,0,0,0
2020-03-02,10,0,0,0
2020-03-03,6,0,0,0
2020-03-04,9,0,0,0
2020-03-05,1,0,0,0
2020-03-06,4,0,0,0
2020-03-07,7,0,0,0
2020-03-08,3,0,0,0
2020-03-09,1,0,0,0
2020-03-10,12,0,0,0
2020-03-11,10,1,0,0
2020-03-12,17,0,0,0
2020-03-13,25,4,0,0
2020-03-14,88,4,0,0
2020-03-15,65,8,0,0
2020-03-16,89,10,0,0
2020-03-17,151,16,0,0
2020-03-18,108,7,0,0
2020-03-19,162,9,2,0
2020-03-20,119,13,0,0
2020-03-21,149,4,-2,0
2020-03-22,174,5,2,0
2020-03-23,143,15,0,0
2020-03-24,164,5,-1,0
2020-03-25,128,0,1,0
2020-03-26,131,4,4,0
2020-03-27,152,0,0,0
2020-03-28,108,7,2,1
2020-03-29,136,4,2,0
2020-03-30,155,5,4,1
2020-03-31,224,21,2,0
2020-04-01,219,3,4,1
2020-04-02,250,5,0,1
2020-04-03,311,8,3,0
2020-04-04,295,7,3,1
2020-04-05,324,10,6,0
2020-04-06,394,2,5,0
2020-04-07,353,7,4,1
2020-04-08,376,4,2,1
2020-04-09,287,1,5,0
2020-04-10,397,0,5,0
2020-04-11,393,8,0,0
2020-04-12,609,12,2,0
2020-04-13,431,7,0,0
2020-04-14,342,16,5,0
2020-04-15,465,5,2,0
2020-04-16,548,0,5,0
2020-04-17,710,6,9,0
2020-04-18,522,10,9,0
2020-04-19,702,17,10,0
2020-04-20,642,33,2,0
2020-04-21,650,6,4,0
2020-04-22,774,20,3,0
2020-04-23,1141,38,2,0
2020-04-24,876,52,2,0
2020-04-25,816,40,9,0
2020-04-26,1075,63,2,0
2020-04-27,1869,65,6,0
2020-04-28,1139,31,8,0
2020-04-29,1545,30,2,0
2020-04-30,1397,14,18,0
2020-05-01,1107,27,8,0
2020-05-02,1681,15,10,0
2020-05-03,1636,13,12,0
2020-05-04,1045,33,10,1
2020-05-05,1491,20,19,1
2020-05-06,1147,26,2,0
2020-05-07,1553,27,17,0
2020-05-08,1821,11,8,0
2020-05-09,1424,12,20,0
2020-05-10,1282,16,61,0
2020-05-11,1057,6,22,0
2020-05-12,1078,20,23,0
2020-05-13,889,26,16,0
2020-05-14,1489,10,63,0
2020-05-15,938,10,32,0
2020-05-16,1081,25,43,0
2020-05-17,1254,21,18,0
2020-05-18,960,11,21,0
2020-05-19,1062,35,10,0
2020-05-20,1108,1,15,0
2020-05-21,1603,27,20,0
2020-05-22,1970,13,16,0
2020-05-23,1998,21,40,0
2020-05-24,1742,52,14,0
2020-05-25,1347,41,21,1
2020-05-26,1146,137,17,0
2020-05-27,1838,150,20,0
2020-05-28,1713,61,13,0
2020-05-29,1330,28,9,0
2020-05-30,1727,62,27,0
2020-05-31,1420,13,20,0
2020-06-01,1066,10,10,1
2020-06-02,1783,40,12,0
2020-06-03,2086,66,13,0
2020-06-04,1890,48,3,0
2020-06-05,1816,4,19,0
2020-06-06,1243,13,33,0
