date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,1,0,0
2020-03-15,0,0,0,0
2020-03-16,0,4,0,0
2020-03-17,0,2,0,0
2020-03-18,0,1,0,0
2020-03-19,0,0,0,0
2020-03-20,0,9,0,0
2020-03-21,0,0,0,0
2020-03-22,0,2,0,0
2020-03-23,0,17,0,0
2020-03-24,0,4,0,0
2020-03-25,0,1,0,0
2020-03-26,0,9,0,0
2020-03-27,0,4,0,0
2020-03-28,0,6,0,0
2020-03-29,0,10,0,0
2020-03-30,0,0,0,0
2020-03-31,0,5,0,0
2020-04-01,0,7,0,0
2020-04-02,0,2,0,0
2020-04-03,0,5,0,0
2020-04-04,0,13,0,0
2020-04-05,0,2,4,0
2020-04-06,5701,1,0,0
2020-04-07,806,0,3,0
2020-04-08,772,5,0,0
2020-04-09,720,0,0,0
2020-04-10,1036,8,0,0
2020-04-11,842,2,11,0
2020-04-12,1160,6,7,0
2020-04-13,901,1,17,0
2020-04-14,983,7,7,0
2020-04-15,923,2,5,0
2020-04-16,664,2,6,0
2020-04-17,760,5,5,0
2020-04-18,712,1,4,0
2020-04-19,722,3,7,0
2020-04-20,1299,0,0,0
2020-04-21,1449,3,8,0
2020-04-22,1038,3,0,0
2020-04-23,1343,1,3,0
2020-04-24,1046,22,0,0
2020-04-25,1275,7,1,0
2020-04-26,1025,8,4,0
2020-04-27,1214,16,1,0
2020-04-28,1505,5,2,0
2020-04-29,1705,13,3,0
2020-04-30,1140,18,6,0
2020-05-01,1365,6,5,0
2020-05-02,1197,6,11,0
2020-05-03,1047,4,4,0
2020-05-04,746,2,4,0
2020-05-05,896,0,1,0
2020-05-06,1323,7,1,0
2020-05-07,1519,3,3,0
2020-05-08,1353,2,3,0
2020-05-09,1198,7,4,0
2020-05-10,1040,4,0,0
2020-05-11,380,1,10,0
2020-05-12,574,1,3,0
2020-05-13,866,1,11,0
2020-05-14,895,0,4,0
2020-05-15,1058,0,9,0
2020-05-16,2041,2,1,0
2020-05-17,1135,3,19,0
2020-05-18,1744,5,6,0
2020-05-19,1217,11,6,0
2020-05-20,982,6,7,0
2020-05-21,1083,6,1,0
2020-05-22,1568,1,5,0
2020-05-23,1109,4,5,0
2020-05-24,1400,2,10,0
2020-05-25,892,9,1,0
2020-05-26,1074,3,6,0
2020-05-27,2059,7,1,0
2020-05-28,1766,3,0,0
2020-05-29,1340,6,2,0
2020-05-30,1368,4,3,1
2020-05-31,1092,11,6,0
2020-06-01,1083,7,6,0
2020-06-02,957,7,7,1
2020-06-03,1033,13,2,0
2020-06-04,1369,13,9,0
2020-06-05,1558,10,2,0
2020-06-06,945,11,1,0
