date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,3,0,0
2020-01-26,0,1,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,3,0,0
2020-01-30,0,1,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,2,0,0
2020-02-05,0,2,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,1,0
2020-02-08,0,4,0,0
2020-02-09,0,0,0,0
2020-02-10,0,2,0,0
2020-02-11,0,0,2,0
2020-02-12,0,0,0,0
2020-02-13,0,1,0,0
2020-02-14,653,0,0,0
2020-02-15,0,3,4,0
2020-02-16,3,0,0,0
2020-02-17,101,0,0,0
2020-02-18,40,0,6,0
2020-02-19,0,0,2,0
2020-02-20,83,0,0,0
2020-02-21,88,0,0,0
2020-02-22,0,0,0,0
2020-02-23,60,0,0,0
2020-02-24,26,0,3,0
2020-02-25,13,0,0,0
2020-02-26,24,0,0,0
2020-02-27,454,1,0,0
2020-02-28,3,0,0,0
2020-02-29,0,2,0,0
2020-03-01,0,4,0,0
2020-03-02,191,0,0,0
2020-03-03,0,7,4,0
2020-03-04,244,14,0,0
2020-03-05,0,0,0,0
2020-03-06,0,33,0,0
2020-03-07,0,10,1,0
2020-03-08,0,6,1,0
2020-03-09,703,18,0,0
2020-03-10,0,12,0,0
2020-03-11,887,20,2,0
2020-03-12,118,0,0,0
2020-03-13,0,48,0,0
2020-03-14,1208,41,9,0
2020-03-15,0,190,7,0
2020-03-16,0,138,0,0
2020-03-17,1943,107,7,2
2020-03-18,0,117,11,0
2020-03-19,2031,110,15,0
2020-03-20,1270,130,12,1
2020-03-21,0,153,27,1
2020-03-22,1132,123,25,6
2020-03-23,1835,212,0,4
2020-03-24,484,106,44,2
2020-03-25,2226,172,16,4
2020-03-26,1163,235,16,3
2020-03-27,7185,130,44,3
2020-03-28,5293,159,61,1
2020-03-29,0,150,68,8
2020-03-30,1745,156,91,2
2020-03-31,1058,140,58,6
2020-04-01,3538,142,108,2
2020-04-02,1797,208,122,5
2020-04-03,1859,217,60,3
2020-04-04,1465,150,88,4
2020-04-05,2616,179,90,4
2020-04-06,3918,131,236,1
2020-04-07,5028,170,80,1
2020-04-08,5755,156,166,2
2020-04-09,5127,109,121,2
2020-04-10,4584,118,222,3
2020-04-11,3946,184,165,3
2020-04-12,5594,153,113,3
2020-04-13,4239,134,168,1
2020-04-14,3061,170,202,5
2020-04-15,2392,85,169,1
2020-04-16,0,110,119,1
2020-04-17,9512,69,201,2
2020-04-18,4099,54,135,2
2020-04-19,3098,84,95,1
2020-04-20,4324,36,98,0
2020-04-21,0,57,54,3
2020-04-22,5539,50,103,1
2020-04-23,3651,71,90,2
2020-04-24,4316,88,121,1
2020-04-25,5248,51,99,2
2020-04-26,4521,38,100,0
2020-04-27,7407,40,95,1
2020-04-28,7901,31,75,1
2020-04-29,7404,94,55,0
2020-04-30,0,57,84,2
2020-05-01,14581,69,39,1
2020-05-02,15429,105,116,0
2020-05-03,11620,122,87,2
2020-05-04,9765,55,71,0
2020-05-05,7622,30,83,1
2020-05-06,8930,45,135,1
2020-05-07,8869,39,74,0
2020-05-08,8609,68,88,0
2020-05-09,0,54,65,1
2020-05-10,17309,67,96,0
2020-05-11,9111,70,88,1
2020-05-12,0,16,110,0
2020-05-13,0,37,58,2
2020-05-14,31294,40,70,1
2020-05-15,126964,36,88,0
2020-05-16,9830,17,73,1
2020-05-17,9127,22,59,0
2020-05-18,0,47,44,0
2020-05-19,18994,37,31,1
2020-05-20,9061,31,60,0
2020-05-21,10093,50,90,0
2020-05-22,10318,78,63,1
2020-05-23,8740,48,53,0
2020-05-24,7213,60,33,0
2020-05-25,5688,172,34,0
2020-05-26,6574,187,62,0
2020-05-27,0,15,42,0
2020-05-28,10557,10,86,0
2020-05-29,7393,103,66,0
2020-05-30,8474,30,95,0
2020-05-31,6815,57,23,0
2020-06-01,7555,38,51,0
2020-06-02,6549,20,66,0
2020-06-03,8218,93,61,0
2020-06-04,6981,277,28,0
