date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,0,0,0
2020-02-28,0,2,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,1,1,0
2020-03-05,0,2,0,0
2020-03-06,0,3,0,0
2020-03-07,0,0,2,0
2020-03-08,0,6,0,0
2020-03-09,0,0,0,0
2020-03-10,0,10,0,0
2020-03-11,0,20,3,0
2020-03-12,1921,4,0,0
2020-03-13,624,40,1,0
2020-03-14,384,34,2,0
2020-03-15,276,8,0,0
2020-03-16,503,27,0,0
2020-03-17,442,26,7,0
2020-03-18,520,76,3,0
2020-03-19,303,17,6,0
2020-03-20,3311,31,0,0
2020-03-21,631,59,27,0
2020-03-22,1052,66,12,3
2020-03-23,1256,143,0,4
2020-03-24,1401,218,15,4
2020-03-25,1842,112,7,6
2020-03-26,1532,123,8,6
2020-03-27,1455,263,21,3
2020-03-28,2210,160,24,11
2020-03-29,1797,363,67,6
2020-03-30,1643,294,3,22
2020-03-31,1551,136,11,17
2020-04-01,1955,215,32,10
2020-04-02,1874,278,15,23
2020-04-03,3174,445,16,18
2020-04-04,4435,430,46,13
2020-04-05,2531,251,45,5
2020-04-06,2364,193,32,25
2020-04-07,2591,360,54,21
2020-04-08,3629,344,68,23
2020-04-09,4595,441,119,28
2020-04-10,3628,265,82,22
2020-04-11,3842,523,29,21
2020-04-12,3056,310,94,25
2020-04-13,4876,333,62,15
2020-04-14,2893,246,137,20
2020-04-15,4730,337,166,21
2020-04-16,4802,491,140,20
2020-04-17,6176,360,151,19
2020-04-18,5186,351,222,10
2020-04-19,2620,328,162,30
2020-04-20,4880,190,125,27
2020-04-21,3061,306,136,20
2020-04-22,4805,468,253,26
2020-04-23,6979,386,72,21
2020-04-24,8266,321,339,22
2020-04-25,5043,218,73,34
2020-04-26,9873,401,164,18
2020-04-27,7316,303,87,22
2020-04-28,6475,277,263,22
2020-04-29,16684,362,165,30
2020-04-30,8381,262,448,24
2020-05-01,8314,327,311,27
2020-05-02,6852,165,219,27
2020-05-03,4968,431,322,19
2020-05-04,3560,349,400,28
2020-05-05,6774,325,185,23
2020-05-06,11297,270,334,23
2020-05-07,9474,392,356,24
2020-05-08,10667,312,279,35
2020-05-09,10776,320,489,16
2020-05-10,8693,231,139,22
2020-05-11,5470,226,194,21
2020-05-12,6964,190,440,20
2020-05-13,8621,224,276,34
2020-05-14,8413,245,1092,17
2020-05-15,8384,190,317,17
2020-05-16,9133,267,204,24
2020-05-17,6673,167,316,13
2020-05-18,3214,165,40,13
2020-05-19,8453,155,236,17
2020-05-20,10413,196,190,10
2020-05-21,9979,198,225,9
2020-05-22,10181,127,196,10
2020-05-23,8919,145,410,10
2020-05-24,6916,213,212,9
2020-05-25,8709,213,231,20
2020-05-26,8537,146,244,11
2020-05-27,11835,165,288,11
2020-05-28,12437,197,467,8
2020-05-29,11451,191,200,13
2020-05-30,4368,151,217,11
2020-05-31,13378,124,210,7
2020-06-01,4055,141,170,10
2020-06-02,0,119,100,12
2020-06-03,16153,152,274,8
2020-06-04,13445,238,119,9
