date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,31,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,1,0,0
2020-03-14,0,0,0,0
2020-03-15,0,2,0,0
2020-03-16,0,0,0,0
2020-03-17,80,0,0,0
2020-03-18,21,0,0,0
2020-03-19,41,4,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,8,0,0
2020-03-23,0,1,0,0
2020-03-24,0,9,0,0
2020-03-25,0,3,1,0
2020-03-26,427,3,0,1
2020-03-27,0,0,0,0
2020-03-28,233,7,0,0
2020-03-29,69,4,0,0
2020-03-30,172,8,0,0
2020-03-31,234,9,0,0
2020-04-01,380,22,2,0
2020-04-02,662,29,1,2
2020-04-03,362,12,0,1
2020-04-04,372,4,0,0
2020-04-05,530,16,0,0
2020-04-06,663,16,0,2
2020-04-07,696,14,3,0
2020-04-08,305,7,2,0
2020-04-09,308,5,3,1
2020-04-10,606,5,10,0
2020-04-11,491,2,2,0
2020-04-12,766,6,1,1
2020-04-13,674,11,15,1
2020-04-14,694,8,1,0
2020-04-15,803,9,12,1
2020-04-16,704,9,0,1
2020-04-17,450,12,0,0
2020-04-18,1115,16,7,1
2020-04-19,1350,8,7,2
2020-04-20,633,11,2,0
2020-04-21,832,15,5,0
2020-04-22,707,7,0,0
2020-04-23,668,17,15,0
2020-04-24,659,16,5,0
2020-04-25,0,7,4,0
2020-04-26,0,12,8,0
2020-04-27,0,8,8,0
2020-04-28,0,11,10,0
2020-04-29,0,10,5,1
2020-04-30,3530,12,15,2
2020-05-01,1434,15,6,4
2020-05-02,1195,24,2,1
2020-05-03,883,30,15,2
2020-05-04,1012,25,6,0
2020-05-05,1077,45,9,0
2020-05-06,0,47,8,2
2020-05-07,0,25,7,3
2020-05-08,3561,14,5,0
2020-05-09,1611,28,5,1
2020-05-10,1056,23,32,2
2020-05-11,841,28,12,1
2020-05-12,978,15,8,3
2020-05-13,1516,22,22,4
2020-05-14,1486,21,3,2
2020-05-15,2100,23,0,3
2020-05-16,0,49,17,5
2020-05-17,4694,57,12,0
2020-05-18,1139,25,23,0
2020-05-19,1933,51,22,0
2020-05-20,2621,66,8,0
2020-05-21,3102,80,9,0
2020-05-22,2567,52,5,0
2020-05-23,0,31,0,0
2020-05-24,4186,22,3,1
2020-05-25,2711,72,19,1
2020-05-26,2293,62,3,0
2020-05-27,3077,123,3,3
2020-05-28,2831,147,13,3
2020-05-29,3831,127,17,4
2020-05-30,0,143,26,1
2020-05-31,4533,74,14,1
2020-06-01,1518,59,4,5
2020-06-02,2892,72,17,2
2020-06-03,2112,123,54,3
2020-06-04,2640,124,39,4
2020-06-05,3177,134,51,1
2020-06-06,3632,126,63,4
2020-06-07,2833,167,46,1
