date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,2,0,0,0
2020-03-05,2,0,0,0
2020-03-06,0,1,0,0
2020-03-07,1,0,0,0
2020-03-08,0,0,0,0
2020-03-09,4,0,0,0
2020-03-10,4,0,0,0
2020-03-11,0,0,0,0
2020-03-12,4,0,0,0
2020-03-13,0,0,0,0
2020-03-14,2,0,0,0
2020-03-15,0,0,0,0
2020-03-16,3,0,0,0
2020-03-17,12,0,0,0
2020-03-18,20,0,0,0
2020-03-19,30,0,0,0
2020-03-20,21,8,1,0
2020-03-21,25,7,0,0
2020-03-22,15,0,0,0
2020-03-23,30,2,0,0
2020-03-24,33,2,0,0
2020-03-25,40,3,0,0
2020-03-26,42,0,0,0
2020-03-27,29,2,0,1
2020-03-28,43,0,0,0
2020-03-29,48,0,0,0
2020-03-30,72,5,0,0
2020-03-31,91,4,9,0
2020-04-01,57,2,0,1
2020-04-02,94,3,7,0
2020-04-03,294,1,0,1
2020-04-04,149,1,0,0
2020-04-05,167,3,3,0
2020-04-06,150,14,3,0
2020-04-07,150,7,0,0
2020-04-08,130,5,0,0
2020-04-09,130,3,1,0
2020-04-10,192,3,1,0
2020-04-11,164,0,0,0
2020-04-12,299,0,4,0
2020-04-13,207,1,0,0
2020-04-14,67,0,3,0
2020-04-15,230,4,3,0
2020-04-16,582,0,10,2
2020-04-17,308,2,3,0
2020-04-18,265,1,1,0
2020-04-19,104,0,3,0
2020-04-20,86,0,1,1
2020-04-21,219,2,3,0
2020-04-22,133,2,0,0
2020-04-23,290,0,3,0
2020-04-24,222,2,0,0
2020-04-25,339,6,3,0
2020-04-26,367,2,0,0
2020-04-27,190,0,0,0
2020-04-28,93,1,1,0
2020-04-29,441,10,1,1
2020-04-30,207,7,1,2
2020-05-01,218,7,1,0
2020-05-02,0,0,0,0
2020-05-03,325,1,1,0
2020-05-04,466,2,7,0
2020-05-05,471,2,0,0
2020-05-06,473,0,3,0
2020-05-07,432,7,8,0
2020-05-08,390,10,0,1
2020-05-09,437,8,2,0
2020-05-10,283,21,2,1
2020-05-11,184,7,0,0
2020-05-12,480,18,3,0
2020-05-13,333,20,4,0
2020-05-14,422,19,0,0
2020-05-15,244,25,0,0
2020-05-16,470,35,3,0
2020-05-17,103,3,5,0
2020-05-18,839,29,2,1
2020-05-19,373,8,1,0
2020-05-20,371,2,3,0
2020-05-21,571,14,8,0
2020-05-22,390,9,3,0
2020-05-23,830,10,12,0
2020-05-24,760,8,8,0
2020-05-25,302,5,20,1
2020-05-26,452,5,16,0
2020-05-27,528,4,6,0
2020-05-28,667,27,14,0
2020-05-29,466,6,5,0
2020-05-30,543,5,4,0
2020-05-31,374,9,5,0
2020-06-01,421,1,4,0
2020-06-02,448,2,15,0
2020-06-03,567,7,6,0
2020-06-04,297,13,3,0
2020-06-05,344,20,1,0
2020-06-06,271,2,0,0
2020-06-07,591,8,8,0
2020-06-08,237,2,3,0
2020-06-09,246,4,9,0
