date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,2,0,0
2020-03-25,0,1,0,0
2020-03-26,0,0,0,0
2020-03-27,0,5,0,0
2020-03-28,0,0,0,0
2020-03-29,0,2,0,0
2020-03-30,0,4,0,0
2020-03-31,0,1,0,1
2020-04-01,0,0,0,0
2020-04-02,0,5,0,0
2020-04-03,1183,0,0,0
2020-04-04,63,1,0,0
2020-04-05,0,0,0,0
2020-04-06,94,1,0,0
2020-04-07,0,0,0,0
2020-04-08,66,0,0,2
2020-04-09,137,1,2,0
2020-04-10,76,4,0,0
2020-04-11,230,11,0,0
2020-04-12,285,3,0,1
2020-04-13,309,21,0,0
2020-04-14,360,1,0,0
2020-04-15,433,11,0,0
2020-04-16,0,11,0,0
2020-04-17,644,3,3,0
2020-04-18,267,10,0,1
2020-04-19,370,13,2,0
2020-04-20,402,8,0,0
2020-04-21,276,2,0,0
2020-04-22,251,2,0,0
2020-04-23,328,16,2,0
2020-04-24,341,5,0,0
2020-04-25,416,2,1,0
2020-04-26,0,0,0,0
2020-04-27,684,0,6,0
2020-04-28,393,4,0,0
2020-04-29,282,0,11,1
2020-04-30,195,1,0,0
2020-05-01,155,0,4,0
2020-05-02,340,0,6,0
2020-05-03,214,4,6,0
2020-05-04,244,6,6,0
2020-05-05,257,0,0,0
2020-05-06,747,0,1,0
2020-05-07,224,15,12,0
2020-05-08,566,1,5,0
2020-05-09,390,1,1,0
2020-05-10,260,2,4,0
2020-05-11,340,0,2,0
2020-05-12,240,0,2,0
2020-05-13,420,1,3,0
2020-05-14,513,0,5,0
2020-05-15,639,1,5,0
2020-05-16,365,0,7,0
2020-05-17,562,2,1,0
2020-05-18,576,7,4,0
2020-05-19,701,2,3,0
2020-05-20,712,6,4,0
2020-05-21,1124,0,0,0
2020-05-22,201,0,8,0
2020-05-23,769,2,4,0
2020-05-24,905,0,2,0
2020-05-25,763,2,1,0
2020-05-26,1130,3,1,0
2020-05-27,1022,0,2,0
2020-05-28,1026,0,0,0
2020-05-29,923,1,4,0
2020-05-30,1227,17,0,0
2020-05-31,1437,0,8,0
2020-06-01,1174,4,0,0
2020-06-02,1672,4,5,0
2020-06-03,1778,1,2,0
2020-06-04,1886,3,3,0
2020-06-05,1845,0,3,0
2020-06-06,1887,4,5,0
2020-06-07,1892,2,0,0
2020-06-08,1389,2,3,0
