date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,1,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,0,0,0
2020-03-08,0,3,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,6,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,10,0,1
2020-03-18,88,0,0,0
2020-03-19,0,13,0,1
2020-03-20,200,38,0,0
2020-03-21,309,40,0,0
2020-03-22,191,90,0,1
2020-03-23,185,43,0,0
2020-03-24,134,67,3,3
2020-03-25,341,80,0,4
2020-03-26,282,96,0,0
2020-03-27,423,93,0,10
2020-03-28,437,138,0,8
2020-03-29,366,140,0,11
2020-03-30,299,42,1,3
2020-03-31,447,208,1,9
2020-04-01,316,175,4,6
2020-04-02,182,96,7,3
2020-04-03,342,108,0,8
2020-04-04,641,0,0,0
2020-04-05,306,257,1,14
2020-04-06,331,83,16,4
2020-04-07,538,128,3,12
2020-04-08,793,155,14,10
2020-04-09,785,238,30,10
2020-04-10,533,271,18,8
2020-04-11,806,139,10,9
2020-04-12,800,208,23,38
2020-04-13,373,200,21,4
2020-04-14,1293,119,10,6
2020-04-15,488,328,46,6
2020-04-16,1053,141,7,7
2020-04-17,1091,371,53,4
2020-04-18,1210,209,44,17
2020-04-19,1099,345,51,9
2020-04-20,291,284,53,9
2020-04-21,1288,80,47,10
2020-04-22,1019,256,118,15
2020-04-23,990,243,0,5
2020-04-24,1014,206,182,2
2020-04-25,1214,177,59,6
2020-04-26,987,209,88,5
2020-04-27,494,158,83,4
2020-04-28,1389,123,172,4
2020-04-29,1613,236,63,7
2020-04-30,1465,320,73,8
2020-05-01,1656,316,86,12
2020-05-02,1923,290,94,13
2020-05-03,1352,376,125,7
2020-05-04,959,281,165,13
2020-05-05,1004,245,134,8
2020-05-06,1619,327,55,8
2020-05-07,1584,288,104,11
2020-05-08,2048,281,222,7
2020-05-09,2024,506,298,5
2020-05-10,1672,465,179,3
2020-05-11,1038,287,107,5
2020-05-12,1792,266,351,9
2020-05-13,746,296,0,7
2020-05-14,2245,124,130,13
2020-05-15,2251,419,206,2
2020-05-16,921,371,169,4
2020-05-17,2189,204,2121,0
2020-05-18,0,411,766,6
2020-05-19,4507,498,0,7
2020-05-20,1354,254,529,5
2020-05-21,2189,180,224,2
2020-05-22,1836,332,206,8
2020-05-23,2585,433,282,2
2020-05-24,1668,379,279,0
2020-05-25,1364,272,152,2
2020-05-26,2149,191,249,8
2020-05-27,1491,459,256,6
2020-05-28,2318,345,162,11
2020-05-29,2242,463,314,3
2020-05-30,2475,377,291,10
2020-05-31,1797,377,1002,4
2020-06-01,1194,287,334,0
2020-06-02,1647,180,182,13
2020-06-03,1771,288,149,1
2020-06-04,2085,279,250,4
2020-06-05,2079,389,262,5
2020-06-06,2291,487,183,11
