date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,1,0,0
2020-03-20,0,0,0,0
2020-03-21,0,2,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,2,0,0
2020-03-25,0,4,0,0
2020-03-26,0,4,0,0
2020-03-27,0,0,0,0
2020-03-28,0,6,0,0
2020-03-29,0,5,0,0
2020-03-30,0,6,0,0
2020-03-31,0,2,0,1
2020-04-01,0,0,0,0
2020-04-02,0,9,0,1
2020-04-03,0,5,0,0
2020-04-04,0,10,2,1
2020-04-05,0,6,0,0
2020-04-06,0,7,3,1
2020-04-07,0,9,0,0
2020-04-08,0,15,4,1
2020-04-09,0,10,5,1
2020-04-10,5760,14,1,0
2020-04-11,512,1,4,0
2020-04-12,457,7,2,0
2020-04-13,501,12,1,0
2020-04-14,555,12,3,0
2020-04-15,548,10,5,0
2020-04-16,934,5,3,0
2020-04-17,924,13,5,1
2020-04-18,969,13,5,0
2020-04-19,1050,11,1,0
2020-04-20,1142,17,2,0
2020-04-21,1023,7,2,0
2020-04-22,1010,12,15,0
2020-04-23,1033,13,4,1
2020-04-24,1005,24,8,0
2020-04-25,1263,0,0,0
2020-04-26,1423,24,8,0
2020-04-27,1255,25,6,0
2020-04-28,1229,22,8,0
2020-04-29,1464,32,9,1
2020-04-30,1435,18,13,1
2020-05-01,1469,29,5,0
2020-05-02,1635,22,17,1
2020-05-03,1791,44,13,0
2020-05-04,1643,65,26,2
2020-05-05,1598,32,25,1
2020-05-06,1783,46,14,1
2020-05-07,1895,62,33,0
2020-05-08,1773,47,5,1
2020-05-09,2011,42,19,1
2020-05-10,1953,105,17,0
2020-05-11,1883,69,32,1
2020-05-12,1905,40,24,2
2020-05-13,2082,39,25,0
2020-05-14,2229,75,31,3
2020-05-15,2270,98,12,2
2020-05-16,2282,55,24,1
2020-05-17,2189,73,23,4
2020-05-18,2458,75,10,0
2020-05-19,2497,85,28,0
2020-05-20,2388,73,35,1
2020-05-21,2437,69,7,2
2020-05-22,2562,85,26,0
2020-05-23,2391,94,0,0
2020-05-24,2530,96,63,2
2020-05-25,2336,68,139,0
2020-05-26,2229,59,15,1
2020-05-27,2532,67,104,3
2020-05-28,2407,85,111,0
2020-05-29,2322,84,13,3
2020-05-30,2386,117,16,4
2020-05-31,2479,122,9,0
2020-06-01,2435,65,23,0
2020-06-02,2375,71,97,3
2020-06-03,2531,52,26,2
2020-06-04,2426,76,28,1
2020-06-05,2456,68,35,1
2020-06-06,2398,85,32,0
