date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,1,0,0
2020-03-16,0,5,0,0
2020-03-17,0,4,0,0
2020-03-18,0,5,0,0
2020-03-19,0,8,0,0
2020-03-20,0,10,0,0
2020-03-21,0,10,0,0
2020-03-22,0,0,0,0
2020-03-23,0,3,0,0
2020-03-24,0,4,0,0
2020-03-25,0,10,0,0
2020-03-26,0,15,0,0
2020-03-27,0,13,5,1
2020-03-28,0,16,0,1
2020-03-29,0,40,2,0
2020-03-30,0,5,0,0
2020-03-31,0,23,0,0
2020-04-01,0,9,5,0
2020-04-02,0,24,13,0
2020-04-03,0,22,0,0
2020-04-04,0,39,0,0
2020-04-05,0,76,5,0
2020-04-06,0,115,0,0
2020-04-07,0,63,0,0
2020-04-08,0,25,0,1
2020-04-09,0,37,8,0
2020-04-10,0,42,4,0
2020-04-11,0,143,0,1
2020-04-12,0,98,24,0
2020-04-13,0,133,19,0
2020-04-14,0,167,14,0
2020-04-15,0,137,8,0
2020-04-16,0,47,22,0
2020-04-17,0,56,27,0
2020-04-18,0,85,38,1
2020-04-19,0,75,31,0
2020-04-20,0,62,36,0
2020-04-21,0,51,96,1
2020-04-22,0,38,93,1
2020-04-23,0,42,111,0
2020-04-24,0,46,60,1
2020-04-25,0,58,86,0
2020-04-26,0,7,82,0
2020-04-27,0,35,103,0
2020-04-28,0,35,100,0
2020-04-29,0,63,104,1
2020-04-30,0,37,37,0
2020-05-01,0,47,79,0
2020-05-02,0,32,59,0
2020-05-03,0,31,48,1
2020-05-04,0,40,86,0
2020-05-05,0,18,96,0
2020-05-06,0,26,76,0
2020-05-07,0,65,79,0
2020-05-08,0,27,119,0
2020-05-09,0,24,71,0
2020-05-10,0,69,35,0
2020-05-11,0,68,107,0
2020-05-12,0,33,22,0
2020-05-13,0,93,66,1
2020-05-14,0,33,60,0
2020-05-15,0,41,22,0
2020-05-16,0,52,55,0
2020-05-17,0,15,34,1
2020-05-18,0,38,67,1
2020-05-19,0,64,24,0
2020-05-20,0,84,34,0
2020-05-21,0,25,35,0
2020-05-22,0,64,85,0
2020-05-23,0,87,40,0
2020-05-24,0,49,33,0
2020-05-25,0,25,42,0
2020-05-26,0,101,29,1
2020-05-27,0,79,32,0
2020-05-28,0,75,26,0
2020-05-29,0,24,34,0
2020-05-30,0,78,55,0
2020-05-31,0,77,54,1
2020-06-01,0,79,22,0
2020-06-02,0,58,49,0
2020-06-03,0,83,106,1
2020-06-04,0,96,73,0
2020-06-05,0,68,160,0
2020-06-06,0,87,21,1
2020-06-07,0,237,86,0
2020-06-08,0,109,3,1
2020-06-09,0,80,102,0
