date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,1,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,2,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,0,0,0
2020-03-09,312,0,0,0
2020-03-10,89,0,0,0
2020-03-11,83,0,0,0
2020-03-12,31,0,0,0
2020-03-13,35,0,0,0
2020-03-14,34,1,0,0
2020-03-15,142,2,0,0
2020-03-16,325,0,0,0
2020-03-17,659,4,0,0
2020-03-18,1209,8,0,0
2020-03-19,1291,8,0,0
2020-03-20,1554,11,0,0
2020-03-21,1176,13,0,0
2020-03-22,1256,50,0,0
2020-03-23,1050,0,0,0
2020-03-24,1544,53,12,0
2020-03-25,2592,50,10,0
2020-03-26,2117,78,5,0
2020-03-27,2067,85,10,0
2020-03-28,1809,83,13,0
2020-03-29,918,63,6,1
2020-03-30,1391,75,7,0
2020-03-31,2093,58,11,0
2020-04-01,2562,61,9,0
2020-04-02,3446,89,9,0
2020-04-03,3631,71,11,0
2020-04-04,3093,82,24,0
2020-04-05,3709,89,29,0
2020-04-06,2908,67,20,0
2020-04-07,4049,54,65,0
2020-04-08,3990,50,41,0
2020-04-09,4520,29,35,0
2020-04-10,3061,44,56,1
2020-04-11,2421,29,49,2
2020-04-12,1660,18,49,0
2020-04-13,1572,19,75,1
2020-04-14,2100,17,82,4
2020-04-15,3661,20,100,0
2020-04-16,4241,15,42,0
2020-04-17,4677,8,46,2
2020-04-18,4146,13,51,0
2020-04-19,3081,9,45,1
2020-04-20,3203,9,62,0
2020-04-21,5289,5,32,1
2020-04-22,6480,6,30,1
2020-04-23,6961,5,59,3
2020-04-24,6777,5,23,1
2020-04-25,5966,9,24,0
2020-04-26,2939,-1,38,1
2020-04-27,2146,3,34,0
2020-04-28,2637,2,15,0
2020-04-29,5867,2,12,0
2020-04-30,5328,3,11,0
2020-05-01,5691,6,11,1
2020-05-02,4634,2,3,0
2020-05-03,2473,0,10,0
2020-05-04,3232,-1,26,0
2020-05-05,4772,2,14,1
2020-05-06,7323,1,16,0
2020-05-07,7812,1,15,0
2020-05-08,7204,2,21,0
2020-05-09,7287,2,3,0
2020-05-10,3865,3,15,0
2020-05-11,2893,0,12,0
2020-05-12,5961,0,4,0
2020-05-13,7019,0,9,0
2020-05-14,6723,1,10,0
2020-05-15,7150,0,7,0
2020-05-16,4211,1,5,0
2020-05-17,2570,0,0,0
2020-05-18,3125,0,0,0
2020-05-19,4882,4,14,0
2020-05-20,6113,0,5,0
2020-05-21,5408,1,3,0
2020-05-22,5604,0,0,0
2020-05-23,3302,0,1,0
2020-05-24,2163,0,0,0
2020-05-25,1841,0,5,0
2020-05-26,4279,0,1,0
2020-05-27,4255,0,12,1
2020-05-28,4162,0,7,0
2020-05-29,3020,0,0,0
2020-05-30,2111,0,0,0
2020-05-31,626,0,0,0
2020-06-01,654,0,0,0
2020-06-02,1262,0,0,0
2020-06-03,2649,0,0,0
2020-06-04,2813,0,0,0
